"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot",6,22,179,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling",6,22,179,1,""
"axon-modelling-5.0.2","org.axonframework.modelling.annotation",6,10,179,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",6,6,179,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection",6,3,179,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",6,3,179,1,""
"axon-test-5.0.2","org.axonframework.test.server",6,2,179,1,""
"axon-common-5.0.2","org.axonframework.common",2,31,149,1,""
"axon-spring-boot-autoconfigure-5.0.2","org.axonframework.extension.springboot",2,22,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception",2,19,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.annotation",2,18,149,1,""
"axon-modelling-5.0.2","org.axonframework.modelling",2,16,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",2,13,149,1,""
"axon-common-5.0.2","org.axonframework.common.jdbc",2,11,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",2,8,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.tracing",2,7,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork.transaction",2,5,149,1,""
"axon-common-5.0.2","org.axonframework.common.jpa",2,4,149,1,""
"axon-common-5.0.2","org.axonframework.common.function",2,2,149,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.conversion",2,2,149,1,""
"axon-test-5.0.2","org.axonframework.test.matchers",1,23,139,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.interception",1,19,139,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.util",1,12,139,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query",1,11,139,1,""
"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation",1,10,139,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay.annotation",1,10,139,1,""
"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",1,6,139,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",1,5,139,1,""
"axon-messaging-5.0.2","org.axonframework.messaging.core.conversion",1,2,139,1,""
