"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-messaging-5.0.2",4,"eventhandling,interception,gateway,sequencing",""
0,"axon-test-5.0.2",3,"test,fixture,matchers",""
1,"axon-common-5.0.2",1,"property",""
1,"axon-messaging-5.0.2",27,"commandhandling,annotation,interception,gateway,retry,tracing,configuration,replay,queryhandling,distributed,core,reflection,attributes",""
1,"axon-modelling-5.0.2",3,"entity,annotation,child",""
1,"axon-test-5.0.2",1,"util",""
1,"axon-tracing-opentelemetry-5.0.2",1,"opentelemetry",""
2,"axon-common-5.0.2",6,"common,util,caching,digest,lifecycle,lock",""
2,"axon-eventsourcing-5.0.2",1,"reflection",""
2,"axon-messaging-5.0.2",1,"distributed",""
2,"axon-server-connector-5.0.2",4,"connector,util,query,command",""
2,"axon-spring-boot-autoconfigure-5.0.2",1,"connection",""
2,"axon-test-5.0.2",1,"server",""
3,"axon-common-5.0.2",1,"annotation",""
3,"axon-update-5.0.2",5,"update,detection,common,api,configuration",""
4,"axon-conversion-5.0.2",4,"conversion,converter,avro,json",""
4,"axon-messaging-5.0.2",3,"conversion,timeout",""
4,"axon-spring-boot-autoconfigure-5.0.2",6,"springboot,actuator,axonserver,autoconfig,util,jpa",""
5,"axon-common-5.0.2",2,"infra,configuration",""
5,"axon-eventsourcing-5.0.2",2,"eventsourcing,configuration",""
5,"axon-messaging-5.0.2",6,"monitoring,interception,configuration,correlation",""
5,"axon-metrics-micrometer-5.0.2",2,"micrometer,reservoir",""
5,"axon-modelling-5.0.2",4,"modelling,annotation,configuration,repository",""
6,"axon-common-5.0.2",2,"jdbc,jpa",""
6,"axon-eventsourcing-5.0.2",1,"jdbc",""
6,"axon-messaging-5.0.2",12,"processing,store,inmemory,jdbc,jpa,pooled,segmenting,subscribing,errorhandling,configuration,unitofwork,transaction",""
7,"axon-common-5.0.2",3,"io,tx,function",""
7,"axon-eventsourcing-5.0.2",4,"annotation,eventstore,inmemory,jpa",""
7,"axon-messaging-5.0.2",4,"streaming,token,annotation,eventstreaming",""
7,"axon-server-connector-5.0.2",1,"event",""
