"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",78,353,386,1793,116,1485,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",67,151,267,749,116,1485,"Logger,LoggerFactory",""
"com.fasterxml",15,33,89,199,116,1485,"JsonCreator,JsonProperty,CBORMapper,ObjectMapper,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonIgnore,JsonTypeInfo$As",""
"javax.persistence",15,27,82,311,116,1485,"LockModeType,EntityManager,Lob,MappedSuperclass,Id,Column,Basic,Entity,Table",""
"jakarta.persistence",10,25,73,299,116,1485,"EntityManager,LockModeType,Id,Column,Entity,Basic,Lob,Table,Index",""
"io.axoniq",9,69,202,997,116,1485,"ErrorMessage,InstructionAck$Builder,InstructionAck,AxonServerConnectionFactory,ContextConnection,AxonServerConnection,ControlChannel,NodeInfo,NodeInfo$Builder",""
"org.springframework",8,65,276,587,116,1485,"ConfigurationProperties,Status,AbstractHealthIndicator,Health$Builder,SimpleStatusAggregator,NestedConfigurationProperty,ConnectionDetails,ContainerConnectionSource,ContainerConnectionDetailsFactory",""
"io.grpc",5,21,73,151,116,1485,"StreamObserver,Channel,ManagedChannelBuilder,SslContextBuilder,ClientInterceptor,GrpcSslContexts,ClientCall,Metadata,ForwardingClientCall$SimpleForwardingClientCall",""
"org.hamcrest",5,27,59,370,116,1485,"Matcher,Matchers,Description,StringDescription,CoreMatchers,BaseMatcher,TypeSafeMatcher",""
"reactor.core",5,28,53,203,116,1485,"Schedulers,Scheduler,Flux,SignalType,Mono,BaseSubscriber,FluxSink,MonoSink,EmitterProcessor",""
"com.google",4,11,14,24,116,1485,"MessageLite,ByteString,Strings,JsonParser,JsonObject,JsonArray,JsonElement",""
"com.github",3,7,21,107,116,1485,"Scheduler,Task,TaskInstance,SchedulerState,Tasks$OneTimeTaskBuilder,ExecutionContext,ScheduledExecution,TaskWithDataDescriptor,TaskInstanceId",""
"com.thoughtworks",3,10,33,121,116,1485,"XStream,CannotResolveClassException,Mapper,HierarchicalStreamReader,CollectionConverter,HierarchicalStreamWriter,UnmarshallingContext,MarshallingContext,MapConverter",""
"org.jobrunr",3,5,9,41,116,1485,"JobScheduler,IllegalJobStateChangeException,StateName,JobBuilder",""
"org.apache",2,12,41,137,116,1485,"SchemaStore,SchemaStore$Cache,SpecificRecordBase,AvroRuntimeException,GenericRecord,BinaryMessageEncoder,BinaryMessageDecoder,SpecificData,SchemaCompatibility$SchemaPairCompatibility",""
"org.axonframework",2,10,22,70,116,1485,"SpringParameterResolverFactoryBean,SpringConfigurer,MessageHandlerLookup,SpringResourceInjector,SpringSagaLookup,SpringAggregateLookup,HandlerDefinitionFactoryBean,SpringAxonConfiguration,AvroSchemaPackages",""
"org.junit",2,4,8,14,116,1485,"Assertions,Statement,TestRule,Description,BeforeEachCallback,AfterEachCallback,ExtensionContext",""
"org.quartz",2,9,36,187,116,1485,"JobDataMap,Scheduler,TriggerBuilder,JobKey,GroupMatcher,JobDetail,Trigger,SchedulerException,SchedulerContext",""
"com.lmax",1,7,14,46,116,1485,"EventHandler,RingBuffer,Disruptor,EventHandlerGroup,LifecycleAware,ExceptionHandler,BlockingWaitStrategy,WaitStrategy,ProducerType",""
"io.micrometer",1,1,2,6,116,1485,"MeterRegistry,SimpleMeterRegistry",""
"io.opentelemetry",1,5,21,74,116,1485,"ContextPropagators,TextMapPropagator,GlobalOpenTelemetry,Tracer,TextMapSetter,TextMapGetter,Span,StatusCode,SpanBuilder",""
"jakarta.validation",1,2,5,15,116,1485,"ValidatorFactory,Validation,ConstraintViolation,Validator",""
"javax.cache",1,2,12,48,116,1485,"CacheEntryUpdatedListener,CacheEntryListener,CacheEntryCreatedListener,CacheEntryExpiredListener,Factory,CacheEntryListenerConfiguration,CacheEntryRemovedListener,CacheEntryListenerException,CacheEntryEvent",""
"javax.validation",1,2,5,15,116,1485,"Validator,Validation,ConstraintViolation,ValidatorFactory",""
"net.sf",1,2,8,54,116,1485,"Element,Ehcache,CacheEventListener,RegisteredEventListeners,CacheException",""
"nu.xom",1,3,5,15,116,1485,"Builder,ParsingException,Document",""
"org.dom4j",1,3,4,14,116,1485,"Document,STAXEventReader",""
"org.ehcache",1,3,10,45,116,1485,"EventType,EventOrdering,CacheEventListener,CacheRuntimeConfiguration,EventFiring,Ehcache,CacheEvent",""
"org.testcontainers",1,3,13,42,116,1485,"GenericContainer,DockerImageName,Wait,HttpWaitStrategy,MountableFile,ContainerLaunchException",""
