"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,100,100,100,100,0,"axon-tracing-opentelemetry-4.11.0",""
"jakarta.validation",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,2,2,2,2,2,0,0.24721878862793573,0.24721878862793573,0.24721878862793573,0.24721878862793573,0,"axon-messaging-4.11.0",""
"javax.cache",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,2,2,2,2,2,0,0.24721878862793573,0.24721878862793573,0.24721878862793573,0.24721878862793573,0,"axon-messaging-4.11.0",""
"javax.validation",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,2,2,2,2,2,0,0.24721878862793573,0.24721878862793573,0.24721878862793573,0.24721878862793573,0,"axon-messaging-4.11.0",""
"net.sf",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,2,2,2,2,2,0,0.24721878862793573,0.24721878862793573,0.24721878862793573,0.24721878862793573,0,"axon-messaging-4.11.0",""
"nu.xom",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,3,3,3,3,3,0,0.37082818294190356,0.37082818294190356,0.37082818294190356,0.37082818294190356,0,"axon-messaging-4.11.0",""
"org.axonframework",1,2,2,2,2,2,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,10,10,10,10,10,0,11.363636363636365,11.363636363636365,11.363636363636365,11.363636363636365,0,"axon-spring-boot-autoconfigure-4.11.0",""
"org.dom4j",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,3,3,3,3,3,0,0.37082818294190356,0.37082818294190356,0.37082818294190356,0.37082818294190356,0,"axon-messaging-4.11.0",""
"org.ehcache",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,3,3,3,3,3,0,0.37082818294190356,0.37082818294190356,0.37082818294190356,0.37082818294190356,0,"axon-messaging-4.11.0",""
"org.hamcrest",1,5,5,5,5,5,0,62.5,62.5,62.5,62.5,0,27,27,27,27,27,0,31.034482758620687,31.034482758620687,31.034482758620687,31.034482758620687,0,"axon-test-4.11.0",""
"org.junit",1,2,2,2,2,2,0,25,25,25,25,0,4,4,4,4,4,0,4.597701149425287,4.597701149425287,4.597701149425287,4.597701149425287,0,"axon-test-4.11.0",""
"org.quartz",1,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,9,9,9,9,9,0,1.1124845488257107,1.1124845488257107,1.1124845488257107,1.1124845488257107,0,"axon-messaging-4.11.0",""
"org.springframework",1,6,6,6,6,6,0,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,0,28,28,28,28,28,0,31.81818181818182,31.81818181818182,31.81818181818182,31.81818181818182,0,"axon-spring-boot-autoconfigure-4.11.0",""
"org.testcontainers",1,1,1,1,1,1,0,12.5,12.5,12.5,12.5,0,3,3,3,3,3,0,3.4482758620689653,3.4482758620689653,3.4482758620689653,3.4482758620689653,0,"axon-test-4.11.0",""
"reactor.util",1,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,4,4,4,4,4,0,0.49443757725587145,0.49443757725587145,0.49443757725587145,0.49443757725587145,0,"axon-messaging-4.11.0",""
