"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: Artifact_Dependencies/Most_used_internal_dependencies_acreoss_artifacts.cypher"
"axon-messaging-4.10.3",42,379,53,324,32.73,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.gateway,org.axonframework.common","SimpleCommandBus$Builder,CommandMessage,GenericCommandMessage,LoggingDuplicateCommandHandlerResolver,AnnotationCommandHandlerAdapter",""
"axon-modelling-4.10.3",12,58,8,52,25.93,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.inmemory","ApplyMore,CommandTargetResolver,Aggregate,CreationPolicyAggregateFactory,RepositorySpanFactory",""
"axon-configuration-4.10.3",8,26,1,14,64.29,"org.axonframework.config","ConfigurationScopeAwareProvider,Configuration,SubscribableMessageSourceDefinition,EventProcessingModule,Configurer",""
"axon-eventsourcing-4.10.3",7,28,6,35,21.05,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","NoSnapshotTriggerDefinition,EventSourcingRepository$Builder,AggregateFactory,AggregateSnapshotter,Snapshotter",""
"axon-server-connector-4.10.3",3,8,4,25,28.0,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.event.axon","TargetContextResolver,AxonServerConnectionManager,AxonServerConfiguration,ManagedChannelCustomizer,AxonServerConfiguration$PersistentStreamSettings",""
"axon-tracing-opentelemetry-4.10.3",1,1,1,2,0.0,"org.axonframework.tracing.opentelemetry","OpenTelemetrySpanFactory,OpenTelemetrySpanFactory$Builder",""
"axon-disruptor-4.10.3",1,1,1,1,0.0,"org.axonframework.disruptor.commandhandling","DisruptorCommandBus",""
"axon-test-4.10.3",1,2,1,1,0.0,"org.axonframework.test.server","AxonServerContainer",""
