"sourceModuleName","dependentModuleName","dependentElementsCount","dependentModuleElementsCount","elementUsagePercentage","dependentElementFullNameExamples","dependentElementNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_elements_compared_to_all_existing_are_used_by_dependent_modules_for_Typescript.cypher"
"memoryStorage","react-router",1,178,0.0056179775280898875,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/sessions"".SessionStorage","SessionStorage",""
"mode","react-router",1,170,0.0058823529411764705,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/mode.ts"".ServerMode","ServerMode",""
"urls","react-router",1,170,0.0058823529411764705,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/history.ts"".Path","Path",""
"route-data","react-router",1,170,0.0058823529411764705,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/server-runtime/data.ts"".AppLoadContext","AppLoadContext",""
"navigation","react-router",1,170,0.0058823529411764705,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/context.ts"".Navigator","Navigator",""
"urls","utils",1,91,0.01098901098901099,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".stripBasename","stripBasename",""
"links","utils",1,91,0.01098901098901099,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".DataRouteMatch","DataRouteMatch",""
"headers","utils",1,91,0.01098901098901099,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".DataRouteMatch","DataRouteMatch",""
"route-module-annotations","react-router",2,170,0.011764705882352941,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/links.ts"".LinkDescriptor,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".MetaDescriptor","LinkDescriptor,MetaDescriptor",""
"internal","react-router",2,170,0.011764705882352941,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/links.ts"".LinkDescriptor,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".MetaDescriptor","LinkDescriptor,MetaDescriptor",""
"route-modules","react-router",3,178,0.016853932584269662,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".RSCRouteManifest,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/rsc/server.rsc.ts"".RSCRenderPayload,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/dom/ssr/routeModules.ts"".RouteModules","RSCRouteManifest,RSCRenderPayload,RouteModules",""
"routeMatching","react-router",3,170,0.01764705882352941,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".DataRouteObject,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".Params,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".RouteMatch","DataRouteObject,Params,RouteMatch",""
"dom","utils",2,91,0.02197802197802198,"""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".stripBasename,""/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.3/source/react-router-7.18.3/packages/react-router/lib/router/utils.ts"".HTMLFormMethod","stripBasename,HTMLFormMethod",""
