"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Typescript_modules.cypher"
"react-router-7.18.3","dom-export",7,0,19,0,""
"react-router-7.18.3","react-router",5,0,9,4,""
"react-router-7.18.3","react-router",40,0,109,4,""
"react-router-7.18.3","react-router",170,0,377,13,""
"react-router-7.18.3","actions",1,0,3,0,""
"react-router-7.18.3","context",19,0,12,10,""
"react-router-7.18.3","errors",4,0,2,0,""
"react-router-7.18.3","href",1,0,2,0,""
"react-router-7.18.3","dom",14,0,6,0,""
"react-router-7.18.3","global",2,0,0,0,""
"react-router-7.18.3","data",1,0,0,0,""
"react-router-7.18.3","entry",5,0,13,0,""
"react-router-7.18.3","fog-of-war",8,0,6,5,""
"react-router-7.18.3","invariant",1,0,0,0,""
"react-router-7.18.3","links",8,0,0,9,""
"react-router-7.18.3","markup",1,0,1,0,""
"react-router-7.18.3","routeModules",21,0,27,6,""
"react-router-7.18.3","history",25,0,40,0,""
"react-router-7.18.3","instrumentation",9,0,14,0,""
"react-router-7.18.3","links",3,0,6,0,""
"react-router-7.18.3","navigation",3,0,1,0,""
"react-router-7.18.3","router",35,0,53,1,""
"react-router-7.18.3","url",3,0,6,0,""
"react-router-7.18.3","utils",91,0,182,3,""
"react-router-7.18.3","route-modules",2,0,0,0,""
"react-router-7.18.3","server",23,0,40,17,""
"react-router-7.18.3","browser",1,0,1,0,""
"react-router-7.18.3","server",1,0,0,0,""
"react-router-7.18.3","build",5,0,11,0,""
"react-router-7.18.3","cookies",6,0,19,6,""
"react-router-7.18.3","crypto",2,0,2,0,""
"react-router-7.18.3","data",2,0,7,0,""
"react-router-7.18.3","dev",3,0,4,3,""
"react-router-7.18.3","entry",1,0,1,0,""
"react-router-7.18.3","errors",5,0,4,0,""
"react-router-7.18.3","headers",2,0,3,1,""
"react-router-7.18.3","invariant",1,0,0,0,""
"react-router-7.18.3","mode",2,0,5,0,""
"react-router-7.18.3","routeMatching",2,0,2,0,""
"react-router-7.18.3","routes",3,0,4,9,""
"react-router-7.18.3","server",3,0,4,0,""
"react-router-7.18.3","serverHandoff",2,0,2,0,""
"react-router-7.18.3","sessions",11,0,3,11,""
"react-router-7.18.3","single-fetch",8,0,5,4,""
"react-router-7.18.3","urls",1,0,3,0,""
"react-router-7.18.3","warnings",1,0,2,0,""
"react-router-7.18.3","cookieStorage",1,0,2,2,""
"react-router-7.18.3","memoryStorage",1,0,2,1,""
"react-router-7.18.3","future",2,0,3,0,""
"react-router-7.18.3","internal",2,0,0,0,""
"react-router-7.18.3","params",1,0,0,0,""
"react-router-7.18.3","register",4,0,1,0,""
"react-router-7.18.3","route-data",7,0,6,0,""
"react-router-7.18.3","route-module-annotations",1,0,1,0,""
"react-router-7.18.3","route-module",1,0,3,0,""
"react-router-7.18.3","serializes-to",1,0,1,0,""
"react-router-7.18.3","utils",6,0,1,0,""
"react-router-7.18.3","flatten",1,0,1,0,""
"react-router-7.18.3","turbo-stream",2,0,1,0,""
"react-router-7.18.3","unflatten",1,0,1,0,""
"react-router-7.18.3","utils",24,0,46,0,""
"react-router-7.18.3","defineRoutes",3,0,2,0,""
"react-router-7.18.3","react-router-remix-routes-option-adapter",1,0,0,0,""
"react-router-7.18.3","manifest",3,0,4,0,""
"react-router-7.18.3","normalizeSlashes",1,0,1,3,""
"react-router-7.18.3","react-router-express",3,0,3,0,""
"react-router-7.18.3","server",6,0,3,22,""
"react-router-7.18.3","flatRoutes",13,0,1,15,""
"react-router-7.18.3","react-router-fs-routes",1,0,0,5,""
"react-router-7.18.3","manifest",3,0,3,0,""
"react-router-7.18.3","normalizeSlashes",1,0,2,3,""
"react-router-7.18.3","copy-template",2,0,2,33,""
"react-router-7.18.3","create-react-router",2,0,0,28,""
"react-router-7.18.3","loading-indicator",1,0,1,12,""
"react-router-7.18.3","prompt",1,0,1,2,""
"react-router-7.18.3","prompts-confirm",3,0,1,5,""
"react-router-7.18.3","prompts-multi-select",2,0,1,5,""
"react-router-7.18.3","prompts-prompt-base",2,0,8,14,""
"react-router-7.18.3","prompts-select",3,0,3,6,""
"react-router-7.18.3","prompts-text",2,0,1,8,""
"react-router-7.18.3","utils",28,0,36,28,""
"react-router-7.18.3","config",4,0,5,0,""
"react-router-7.18.3","invariant",1,0,0,0,""
"react-router-7.18.3","manifest",2,0,2,0,""
"react-router-7.18.3","routes",8,0,9,0,""
"react-router-7.18.3","vite",2,0,0,0,""
"react-router-7.18.3","commands",5,0,5,16,""
"react-router-7.18.3","detectPackageManager",1,0,1,1,""
"react-router-7.18.3","run",1,0,0,9,""
"react-router-7.18.3","useJavascript",1,0,1,6,""
"react-router-7.18.3","config",14,0,17,40,""
"react-router-7.18.3","format",4,0,1,0,""
"react-router-7.18.3","is-react-router-repo",1,0,2,5,""
"react-router-7.18.3","routes",15,0,25,28,""
"react-router-7.18.3","context",2,0,3,0,""
"react-router-7.18.3","generate",5,0,5,24,""
"react-router-7.18.3","typegen",3,0,5,10,""
"react-router-7.18.3","params",1,0,1,0,""
"react-router-7.18.3","route",2,0,2,0,""
"react-router-7.18.3","babel",2,0,8,1,""
"react-router-7.18.3","build",2,0,1,8,""
"react-router-7.18.3","cache",2,0,4,0,""
"react-router-7.18.3","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.18.3","cloudflare",1,0,0,0,""
"react-router-7.18.3","combine-urls",1,0,1,0,""
"react-router-7.18.3","dev",2,0,1,11,""
"react-router-7.18.3","has-dependency",1,0,2,1,""
