"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2131,869,901,"/axon-eventsourcing-5.1.2.jar uses /axon-modelling-5.1.2.jar,/axon-server-connector-5.1.2.jar uses /axon-modelling-5.1.2.jar,/org/axonframework/modelling/configuration uses /org/axonframework/modelling/entity,/org/axonframework/modelling/entity/annotation uses /org/axonframework/modelling/entity/child",""
1,94,82,37,"/org/axonframework/modelling/annotation uses /org/axonframework/modelling,/org/axonframework/modelling/configuration uses /org/axonframework/modelling,/org/axonframework/modelling/entity uses /org/axonframework/modelling,/org/axonframework/modelling uses /org/axonframework/modelling/annotation",""
2,2202,623,451,"/org/axonframework/modelling/entity/annotation uses /org/axonframework/modelling,/org/axonframework/modelling/entity/child uses /org/axonframework/modelling,/org/axonframework/modelling/entity/annotation uses /org/axonframework/modelling/annotation,/org/axonframework/modelling/annotation uses /org/axonframework/modelling/entity/annotation",""
4,2067,671,283,"/io/axoniq/framework/axonserver/connector/shared uses /org/axonframework/modelling,/org/axonframework/eventsourcing/configuration uses /org/axonframework/modelling,/org/axonframework/eventsourcing uses /org/axonframework/modelling,/org/axonframework/eventsourcing/handler uses /org/axonframework/modelling",""
