"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@remix-run",4,37,195,261,4,89,"<createMemoryRouter> of module <react-router> imports <createMemoryHistory> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <InitialEntry> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <Router> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <DataStrategyFunction> from external namespace <@remix-run>",""
"@types",4,35,111,167,4,89,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<useFetcher> of module <react-router-dom> imports <React.forwardRef> from external namespace <@types>,<useFetcher> of module <react-router-dom> imports <React.useState> from external namespace <@types>,<useFetcher> of module <react-router-dom> imports <React.ForwardRefExoticComponent.displayName> from external namespace <@types>",""
"@ungap",1,2,2,4,4,89,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
