"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_module_usage_overall_for_Typescript.cypher"
"@remix-run/router",4,37,190,254,4,88,"<PatchRoutesOnNavigationFunction> of module <react-router> imports <AgnosticPatchRoutesOnNavigationFunctionArgs> from external module <router>,<createMemoryRouter> of module <react-router> imports <DataStrategyFunction> from external module <router>,<createMemoryRouter> of module <react-router> imports <createMemoryHistory> from external module <router>,<createMemoryRouter> of module <react-router> imports <Router.initialize> from external module <router>",""
"@types/react",4,34,97,149,4,88,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external module <react>,<FetcherWithComponents> of module <react-router-dom> imports <React.ForwardRefExoticComponent> from external module <react>,<FetcherWithComponents> of module <react-router-dom> imports <React.RefAttributes> from external module <react>,<NavLink> of module <react-router-dom> imports <React.forwardRef> from external module <react>",""
"@types/react-native",1,5,14,18,4,88,"<useDeepLinking> of module <react-router-native> imports <LinkingStatic.getInitialURL> from external module <react-native>,<useDeepLinking> of module <react-router-native> imports <Linking> from external module <react-native>,<useDeepLinking> of module <react-router-native> imports <LinkingStatic.addEventListener> from external module <react-native>,<useDeepLinking> of module <react-router-native> imports <LinkingStatic.removeEventListener> from external module <react-native>",""
"@ungap/url-search-params",1,2,2,4,4,88,"<useSearchParams> of module <react-router-native> imports <url-search-params> from external module <url-search-params>,<createSearchParams> of module <react-router-native> imports <url-search-params> from external module <url-search-params>",""
