"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-modelling-4.11.0",,,true,,,1,13,5,13,1,1,1,"/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/common/lock","axon-modelling-4.11.0 -> axon-messaging-4.11.0","",""
"axon-server-connector-4.11.0",,,false,,,1,13,5,13,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/heartbeat","axon-server-connector-4.11.0 -> axon-server-connector-4.11.0","",""
"axon-server-connector-4.11.0",,,false,,,2,40,3,40,1,1,1,"/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/util","axon-server-connector-4.11.0 -> axon-server-connector-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,false,,,1,13,5,13,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/autoconfig,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/legacyjpa","axon-spring-boot-autoconfigure-4.11.0 -> axon-spring-boot-autoconfigure-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,false,,,2,40,3,40,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/service/connection,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot/util/jpa","axon-spring-boot-autoconfigure-4.11.0 -> axon-spring-boot-autoconfigure-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,false,,,3,15,2,15,2,1,2,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/actuator,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/springboot","axon-spring-boot-autoconfigure-4.11.0 -> axon-spring-boot-autoconfigure-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,true,,,1,13,5,13,4,1,4,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing/eventstore/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/deadletter/legacyjpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling/tokenstore/legacyjpa","axon-spring-boot-autoconfigure-4.11.0 -> axon-modelling-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-messaging-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,true,,,2,40,3,40,34,1,34,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/tracing/opentelemetry,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/command,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/jdbc,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventsourcing","axon-spring-boot-autoconfigure-4.11.0 -> axon-tracing-opentelemetry-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-modelling-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-server-connector-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,true,,,3,15,2,15,12,1,12,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/modelling/saga/repository/jpa,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/axonserver/connector","axon-spring-boot-autoconfigure-4.11.0 -> axon-modelling-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-server-connector-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-messaging-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-test-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,true,,,4,7,1,7,7,1,7,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common/digest,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common/transaction,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/lifecycle,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/messaging/timeout","axon-spring-boot-autoconfigure-4.11.0 -> axon-messaging-4.11.0,axon-spring-boot-autoconfigure-4.11.0 -> axon-configuration-4.11.0","",""
"axon-spring-boot-autoconfigure-4.11.0",,,true,,,5,8,1,8,8,1,8,"/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/commandhandling,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/common,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/deadline,/org/axonframework/springboot/autoconfig/legacyjpa -> /org/axonframework/eventhandling","axon-spring-boot-autoconfigure-4.11.0 -> axon-messaging-4.11.0","",""
"axon-test-4.11.0",,,false,,,1,13,5,13,3,2,3,"/org/axonframework/test/aggregate -> /org/axonframework/test/deadline,/org/axonframework/test/saga -> /org/axonframework/test/eventscheduler,/org/axonframework/test/saga -> /org/axonframework/test/utils","axon-test-4.11.0 -> axon-test-4.11.0","",""
"axon-test-4.11.0",,,false,,,2,40,3,40,1,1,1,"/org/axonframework/test/aggregate -> /org/axonframework/test/matchers","axon-test-4.11.0 -> axon-test-4.11.0","",""
"axon-test-4.11.0",,,false,,,3,15,2,15,1,1,1,"/org/axonframework/test/aggregate -> /org/axonframework/test","axon-test-4.11.0 -> axon-test-4.11.0","",""
