"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
,,,,,,1,30,10,9,30,10,9,"/axon-spring-boot-autoconfigure-5.0.3.jar -> /axon-test-5.0.3.jar,/axon-test-5.0.3.jar -> /axon-messaging-5.0.3.jar,/axon-spring-boot-autoconfigure-5.0.3.jar -> /axon-messaging-5.0.3.jar,/axon-tracing-opentelemetry-5.0.3.jar -> /axon-messaging-5.0.3.jar","","",""
,,,,,,2,10,5,6,10,5,6,"/axon-metrics-micrometer-5.0.3.jar -> /axon-test-5.0.3.jar,/axon-metrics-micrometer-5.0.3.jar -> /axon-eventsourcing-5.0.3.jar,/axon-metrics-micrometer-5.0.3.jar -> /axon-server-connector-5.0.3.jar,/axon-metrics-micrometer-5.0.3.jar -> /axon-update-5.0.3.jar","","",""
,,,,,,3,1,1,1,1,1,1,"/axon-metrics-micrometer-5.0.3.jar -> /axon-modelling-5.0.3.jar","","",""
