"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted.cypher"
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.api.trace",9,47,6,16,6,266.6666666666667,"SpanBuilder,Span,SpanKind,Tracer,StatusCode,SpanContext",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.context.propagation",9,16,6,16,6,266.6666666666667,"TextMapPropagator,TextMapSetter,TextMapGetter,ContextPropagators",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.context",2,7,6,16,6,266.6666666666667,"Context,Scope",""
"axon-tracing-opentelemetry-5.1.1","org.slf4j",2,7,6,16,6,266.6666666666667,"LoggerFactory,Logger",""
"axon-tracing-opentelemetry-5.1.1","io.opentelemetry.api",1,2,6,16,6,266.6666666666667,"GlobalOpenTelemetry",""
"axon-tracing-opentelemetry-5.1.1","org.jspecify.annotations",1,1,6,16,6,266.6666666666667,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure.condition",15,23,26,45,26,173.0769230769231,"ConditionalOnClass,ConditionalOnBean,ConditionalOnMissingBean,ConditionalOnProperty",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.actuate.health",7,24,26,45,26,173.0769230769231,"Status,SimpleStatusAggregator,Health$Builder,AbstractHealthIndicator",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure",7,7,26,45,26,173.0769230769231,"AutoConfiguration,AutoConfigureBefore",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.context.properties",6,6,26,45,26,173.0769230769231,"EnableConfigurationProperties,ConfigurationProperties",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.context.annotation",6,12,26,45,26,173.0769230769231,"Bean",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.jspecify.annotations",5,5,26,45,26,173.0769230769231,"NullMarked",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter",4,15,26,45,26,173.0769230769231,"SequencedDeadLetterQueueFactory,DeadLetterQueueConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.testcontainers.service.connection",4,9,26,45,26,173.0769230769231,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter.jdbc",3,12,26,45,26,173.0769230769231,"DeadLetterSchema,JdbcSequencedDeadLetterQueue,JdbcSequencedDeadLetterQueue$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.1","org.springframework.boot.autoconfigure.service.connection",3,3,26,45,26,173.0769230769231,"ConnectionDetails",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.deadletter",2,2,26,45,26,173.0769230769231,"SequencedDeadLetterQueue",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.messaging.eventhandling.deadletter.jpa",2,7,26,45,26,173.0769230769231,"JpaSequencedDeadLetterQueue$Builder,JpaSequencedDeadLetterQueue",""
