"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-common-5.1.1",15,175,6,15,100,"org.jspecify",15,15,100,8.571428571428571,"org.axonframework.common,org.axonframework.common.lifecycle,org.axonframework.common.property,org.axonframework.common.digest,org.axonframework.common.function,org.axonframework.common.io,org.axonframework.common.caching,org.axonframework.common.infra,org.axonframework.common.jdbc,org.axonframework.common.tx,org.axonframework.common.util,org.axonframework.common.jpa,org.axonframework.common.lock,org.axonframework.common.annotation,org.axonframework.common.configuration","org.axonframework.common.package-info,org.axonframework.common.lifecycle.package-info,org.axonframework.common.property.package-info,org.axonframework.common.digest.package-info,org.axonframework.common.function.package-info,org.axonframework.common.io.package-info,org.axonframework.common.caching.package-info,org.axonframework.common.infra.package-info,org.axonframework.common.jdbc.package-info",""
"axon-common-5.1.1",15,175,6,15,100,"org.slf4j",4,8,26.666666666666668,4.571428571428571,"org.axonframework.common,org.axonframework.common.lifecycle,org.axonframework.common.property,org.axonframework.common.configuration","org.axonframework.common.IdentifierFactory,org.axonframework.common.TypeReflectionUtils,org.axonframework.common.TypeReflectionUtils$VarMap,org.axonframework.common.lifecycle.ShutdownLatch,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.common.configuration.DefaultComponentRegistry,org.axonframework.common.configuration.DefaultAxonApplication$AxonConfigurationImpl,org.axonframework.common.configuration.DefaultAxonApplication",""
"axon-common-5.1.1",15,175,6,15,100,"com.fasterxml",1,1,6.666666666666667,0.5714285714285714,"org.axonframework.common.infra","org.axonframework.common.infra.JacksonComponentDescriptor",""
"axon-common-5.1.1",15,175,6,15,100,"jakarta.persistence",1,4,6.666666666666667,2.2857142857142856,"org.axonframework.common.jpa","org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.common.jpa.FactoryBasedEntityManagerProvider,org.axonframework.common.jpa.EntityManagerProvider",""
"axon-common-5.1.1",15,175,6,15,100,"javax.cache",1,2,6.666666666666667,1.1428571428571428,"org.axonframework.common.caching","org.axonframework.common.caching.JCacheAdapter$JCacheListenerAdapter,org.axonframework.common.caching.JCacheAdapter",""
"axon-common-5.1.1",15,175,6,15,100,"org.ehcache",1,3,6.666666666666667,1.7142857142857142,"org.axonframework.common.caching","org.axonframework.common.caching.EhCacheAdapter$CacheEventListenerAdapter,org.axonframework.common.caching.EhCacheAdapter$1,org.axonframework.common.caching.EhCacheAdapter",""
"axon-conversion-5.1.1",5,41,5,5,100,"org.jspecify",5,5,100,12.195121951219512,"org.axonframework.conversion,org.axonframework.conversion.jackson,org.axonframework.conversion.avro,org.axonframework.conversion.converter,org.axonframework.conversion.jackson2","org.axonframework.conversion.package-info,org.axonframework.conversion.jackson.package-info,org.axonframework.conversion.avro.package-info,org.axonframework.conversion.converter.package-info,org.axonframework.conversion.jackson2.package-info",""
"axon-conversion-5.1.1",5,41,5,5,100,"org.slf4j",4,4,80,9.75609756097561,"org.axonframework.conversion,org.axonframework.conversion.jackson,org.axonframework.conversion.avro,org.axonframework.conversion.jackson2","org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.jackson2.Jackson2Converter",""
"axon-conversion-5.1.1",5,41,5,5,100,"com.fasterxml",1,5,20,12.195121951219512,"org.axonframework.conversion.jackson2","org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson2.Jackson2Converter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter",""
"axon-conversion-5.1.1",5,41,5,5,100,"org.apache",1,9,20,21.95121951219512,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SchemaIncompatibilityChecker,org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.AvroConverterStrategy",""
"axon-conversion-5.1.1",5,41,5,5,100,"tools.jackson",1,5,20,12.195121951219512,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"org.jspecify",11,11,100.00000000000001,8.59375,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.snapshot.inmemory,org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.configuration","org.axonframework.eventsourcing.package-info,org.axonframework.eventsourcing.snapshot.api.package-info,org.axonframework.eventsourcing.snapshot.inmemory.package-info,org.axonframework.eventsourcing.snapshot.store.package-info,org.axonframework.eventsourcing.handler.package-info,org.axonframework.eventsourcing.eventstore.package-info,org.axonframework.eventsourcing.eventstore.inmemory.package-info,org.axonframework.eventsourcing.eventstore.jpa.package-info,org.axonframework.eventsourcing.annotation.package-info",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"org.slf4j",4,9,36.36363636363637,7.03125,"org.axonframework.eventsourcing.handler,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.handler.SnapshottingEntityLifecycleHandler,org.axonframework.eventsourcing.eventstore.DefaultEventStoreTransaction,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"IdTypeParameterResolver",1,1,9.090909090909092,0.78125,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"ScannedEntityCreator",1,1,9.090909090909092,0.78125,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"WrappedEventCriteriaBuilderMethod",1,1,9.090909090909092,0.78125,"org.axonframework.eventsourcing.annotation","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver",""
"axon-eventsourcing-5.1.1",11,128,6,11,100,"jakarta.persistence",1,4,9.090909090909092,3.125,"org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-messaging-5.1.1",57,633,8,57,100,"org.jspecify",57,57,100,9.004739336492891,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.interception,org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.eventhandling.gateway,org.axonframework.messaging.eventhandling.processing,org.axonframework.messaging.eventhandling.processing.subscribing,org.axonframework.messaging.eventhandling.processing.errorhandling,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.eventhandling.configuration,org.axonframework.messaging.core,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.core.unitofwork.transaction,org.axonframework.messaging.core.unitofwork.transaction.jdbc,org.axonframework.messaging.core.unitofwork.transaction.jpa,org.axonframework.messaging.core.unitofwork.annotation,org.axonframework.messaging.core.timeout,org.axonframework.messaging.core.conversion,org.axonframework.messaging.core.sequencing,org.axonframework.messaging.core.correlation,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.interception.annotation,org.axonframework.messaging.core.retry,org.axonframework.messaging.core.reflection,org.axonframework.messaging.core.annotation,org.axonframework.messaging.core.configuration,org.axonframework.messaging.core.configuration.reflection,org.axonframework.messaging.tracing,org.axonframework.messaging.tracing.attributes,org.axonframework.messaging.queryhandling,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.queryhandling.tracing,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.configuration,org.axonframework.messaging.eventstreaming,org.axonframework.messaging.monitoring,org.axonframework.messaging.monitoring.interception,org.axonframework.messaging.monitoring.configuration","org.axonframework.messaging.commandhandling.package-info,org.axonframework.messaging.commandhandling.interception.package-info,org.axonframework.messaging.commandhandling.retry.package-info,org.axonframework.messaging.commandhandling.tracing.package-info,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.commandhandling.annotation.package-info,org.axonframework.messaging.commandhandling.configuration.package-info,org.axonframework.messaging.eventhandling.package-info,org.axonframework.messaging.eventhandling.conversion.package-info",""
"axon-messaging-5.1.1",57,633,8,57,100,"org.slf4j",13,29,22.807017543859647,4.581358609794629,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.core.timeout,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.annotation,org.axonframework.messaging.queryhandling","org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.interception.CommandSequencingInterceptor,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SequencingEventHandlingComponent,org.axonframework.messaging.eventhandling.processing.streaming.pooled.CoordinatorTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MergeTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator",""
"axon-messaging-5.1.1",57,633,8,57,100,"reactor.core",5,8,8.771929824561402,1.263823064770932,"org.axonframework.messaging.core,org.axonframework.messaging.core.annotation,org.axonframework.messaging.queryhandling,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.queryhandling.annotation","org.axonframework.messaging.core.MonoUtils,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils,org.axonframework.messaging.queryhandling.MonoSinkWrapper,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember",""
"axon-messaging-5.1.1",57,633,8,57,100,"com.fasterxml",3,6,5.263157894736842,0.9478672985781991,"org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.core","org.axonframework.messaging.eventhandling.processing.streaming.token.MergedTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.eventhandling.processing.streaming.token.store.ConfigToken,org.axonframework.messaging.core.RemoteExceptionDescription",""
"axon-messaging-5.1.1",57,633,8,57,100,"org.reactivestreams",3,6,5.263157894736842,0.9478672985781991,"org.axonframework.messaging.core,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.queryhandling.annotation","org.axonframework.messaging.core.FluxMessageStream$1,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember",""
"axon-messaging-5.1.1",57,633,8,57,100,"jakarta.persistence",2,7,3.508771929824561,1.1058451816745656,"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.core.unitofwork.transaction.jpa","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStoreConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.JpaTokenStore,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager$2,org.axonframework.messaging.core.unitofwork.transaction.jpa.EntityManagerTransactionManager,org.axonframework.messaging.core.unitofwork.transaction.jpa.JpaTransactionalExecutorProvider$1",""
"axon-messaging-5.1.1",57,633,8,57,100,"jakarta.validation",1,2,1.7543859649122806,0.315955766192733,"org.axonframework.messaging.core.interception","org.axonframework.messaging.core.interception.BeanValidationInterceptor,org.axonframework.messaging.core.interception.JSR303ViolationException",""
"axon-messaging-5.1.1",57,633,8,57,100,"reactor.util",1,2,1.7543859649122806,0.315955766192733,"org.axonframework.messaging.queryhandling.gateway","org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.queryhandling.gateway.QueryGateway",""
"axon-metrics-micrometer-5.1.1",3,19,4,3,100,"io.micrometer",3,13,100,68.42105263157896,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.reservoir,org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1",""
"axon-metrics-micrometer-5.1.1",3,19,4,3,100,"org.jspecify",3,3,100,15.789473684210527,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.reservoir,org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.package-info,org.axonframework.extension.metrics.micrometer.reservoir.package-info,org.axonframework.extension.metrics.micrometer.springboot.package-info",""
"axon-metrics-micrometer-5.1.1",3,19,4,3,100,"org.axonframework",1,1,33.333333333333336,5.2631578947368425,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.1.1",3,19,4,3,100,"org.springframework",1,2,33.333333333333336,10.526315789473685,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties",""
