"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_spread.cypher"
"org.slf4j",10,37,1,13,3.5,3.7,3.529242915351047,20,100,32.46753246753247,43.44087491455913,27.68636970531074,74,1,29,5.5,7.4,8.527081042837057,1.2658227848101267,25,5.806304304897314,8.992885347775298,7.686736834401533,"axon-eventsourcing-5.1.1,axon-update-5.1.1,axon-tracing-opentelemetry-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,3.508771929824561,20,7.878787878787879,9.816586921850082,7.163310171100851,15,1,6,4,3.75,2.0615528128088303,0.9478672985781991,3.8461538461538463,2.705357142857143,2.5511838576115826,1.2446298403628095,"axon-eventsourcing-5.1.1,axoniq-spring-boot-autoconfigure-5.1.1,axon-common-5.1.1,axon-messaging-5.1.1",""
"com.fasterxml",3,3,1,1,1,1,0,1.7543859649122806,20,6.666666666666667,9.473684210526315,9.441139682156988,8,1,5,2,2.6666666666666665,2.0816659994661326,0.315955766192733,12.195121951219512,0.5714285714285714,4.360835429613605,6.785893497949681,"axon-common-5.1.1,axon-conversion-5.1.1,axon-messaging-5.1.1",""
"io.axoniq",2,12,2,10,6,6,5.656854249492381,40,100,70,70,42.42640687119285,50,8,42,25,25,24.041630560342615,30.76923076923077,53.16455696202532,41.966893865628045,41.966893865628045,15.835887017809736,"axoniq-spring-boot-autoconfigure-5.1.1,axon-server-connector-5.1.1",""
"reactor.core",2,6,1,5,3,3,2.8284271247461903,8.771929824561402,10,9.385964912280702,9.385964912280702,0.8683767488255861,9,1,8,4.5,4.5,4.949747468305833,1.263823064770932,1.2658227848101267,1.2648229247905294,1.2648229247905294,0.0014140156001891122,"axon-server-connector-5.1.1,axon-messaging-5.1.1",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.78125,0.78125,0.78125,0.78125,0,"axon-eventsourcing-5.1.1",""
"ScannedEntityCreator",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.78125,0.78125,0.78125,0.78125,0,"axon-eventsourcing-5.1.1",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0,1,1,1,1,1,0,0.78125,0.78125,0.78125,0.78125,0,"axon-eventsourcing-5.1.1",""
"com.google",1,6,6,6,6,6,0,60,60,60,60,0,9,9,9,9,9,0,11.39240506329114,11.39240506329114,11.39240506329114,11.39240506329114,0,"axon-server-connector-5.1.1",""
"io.grpc",1,6,6,6,6,6,0,60,60,60,60,0,9,9,9,9,9,0,11.39240506329114,11.39240506329114,11.39240506329114,11.39240506329114,0,"axon-server-connector-5.1.1",""
"io.micrometer",1,3,3,3,3,3,0,100,100,100,100,0,13,13,13,13,13,0,68.42105263157896,68.42105263157896,68.42105263157896,68.42105263157896,0,"axon-metrics-micrometer-5.1.1",""
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,0,"axon-tracing-opentelemetry-5.1.1",""
"jakarta.validation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.315955766192733,0.315955766192733,0.315955766192733,0.315955766192733,0,"axon-messaging-5.1.1",""
