"artifactName","externalTypePackage","numberOfCaller","numberOfCalls","numberOfAllTypes","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_types_per_artifact_using_requires.cypher"
"axon-common-5.1.1","org.jspecify.annotations",15,15,175,"NullMarked",""
"axon-common-5.1.1","org.slf4j",14,49,175,"Logger,LoggerFactory",""
"axon-common-5.1.1","org.ehcache.event",8,30,175,"EventOrdering,EventFiring,CacheEventListener,CacheEvent,EventType",""
"axon-common-5.1.1","javax.cache.event",8,26,175,"CacheEntryUpdatedListener,CacheEntryCreatedListener,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryListener,CacheEntryEvent,CacheEntryEventFilter,CacheEntryListenerException",""
"axon-common-5.1.1","jakarta.persistence",5,11,175,"EntityManager,EntityManagerFactory",""
"axon-common-5.1.1","javax.cache.configuration",3,9,175,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.1.1","com.fasterxml.jackson.databind",3,14,175,"ObjectMapper,SerializationFeature,JsonNode",""
"axon-common-5.1.1","com.fasterxml.jackson.databind.node",2,16,175,"ObjectNode,ArrayNode",""
"axon-common-5.1.1","org.ehcache.core",1,13,175,"Ehcache",""
"axon-common-5.1.1","org.ehcache.config",1,2,175,"CacheRuntimeConfiguration",""
"axon-common-5.1.1","javax.cache",1,13,175,"Cache",""
"axon-conversion-5.1.1","org.apache.avro",16,54,41,"SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaIncompatibilityType,Schema,SchemaNormalization,SchemaCompatibility,AvroRuntimeException,InvalidAvroMagicException,InvalidNumberEncodingException",""
"axon-conversion-5.1.1","tools.jackson.databind",8,39,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.1","org.slf4j",8,39,41,"Logger,LoggerFactory",""
"axon-conversion-5.1.1","com.fasterxml.jackson.databind",8,42,41,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.1.1","org.apache.avro.message",8,28,41,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"axon-conversion-5.1.1","org.apache.avro.generic",7,29,41,"GenericDatumReader,GenericRecord,GenericData",""
"axon-conversion-5.1.1","org.jspecify.annotations",5,5,41,"NullMarked",""
"axon-conversion-5.1.1","org.apache.avro.specific",4,14,41,"SpecificRecordBase,SpecificData",""
"axon-conversion-5.1.1","tools.jackson.databind.node",3,12,41,"ObjectNode,JsonNodeType",""
"axon-conversion-5.1.1","tools.jackson.core",3,6,41,"JacksonException",""
"axon-conversion-5.1.1","com.fasterxml.jackson.databind.node",3,12,41,"ObjectNode,JsonNodeType",""
"axon-conversion-5.1.1","tools.jackson.databind.json",2,5,41,"JsonMapper$Builder,JsonMapper",""
"axon-conversion-5.1.1","org.apache.avro.io",1,3,41,"DecoderFactory",""
"axon-conversion-5.1.1","org.apache.commons.lang3.tuple",1,4,41,"Pair",""
"axon-conversion-5.1.1","com.fasterxml.jackson.core",1,1,41,"JsonProcessingException",""
"axon-eventsourcing-5.1.1","org.slf4j",16,41,128,"Logger,LoggerFactory",""
"axon-eventsourcing-5.1.1","jakarta.persistence",15,52,128,"EntityExistsException,Entity,Table,Index,Id,GeneratedValue,GenerationType,SequenceGenerator,Basic,Lob,Column,EntityManager,TypedQuery",""
"axon-eventsourcing-5.1.1","org.jspecify.annotations",11,11,128,"NullMarked",""
"axon-eventsourcing-5.1.1","WrappedEventCriteriaBuilderMethod",1,1,128,"WrappedEventCriteriaBuilderMethod",""
"axon-eventsourcing-5.1.1","ScannedEntityCreator",1,4,128,"ScannedEntityCreator",""
"axon-eventsourcing-5.1.1","IdTypeParameterResolver",1,1,128,"IdTypeParameterResolver",""
"axon-messaging-5.1.1","org.jspecify.annotations",57,57,633,"NullMarked",""
"axon-messaging-5.1.1","org.slf4j",54,202,633,"Logger,LoggerFactory",""
"axon-messaging-5.1.1","com.fasterxml.jackson.annotation",19,33,633,"JsonIgnore,JsonCreator,JsonProperty,JsonTypeInfo$Id,JsonTypeInfo,JsonGetter",""
"axon-messaging-5.1.1","jakarta.persistence",19,115,633,"Entity,IdClass,Lob,Column,Basic,Id,LockModeType,EntityManager,TypedQuery,Query,EntityTransaction,EntityManagerFactory",""
"axon-messaging-5.1.1","reactor.core.publisher",13,45,633,"Flux,Mono,FluxSink,MonoSink",""
"axon-messaging-5.1.1","org.reactivestreams",7,26,633,"Publisher,Subscriber,Subscription",""
"axon-messaging-5.1.1","jakarta.validation",5,16,633,"ConstraintViolation,ValidatorFactory,Validation,Validator",""
"axon-messaging-5.1.1","reactor.util.concurrent",2,4,633,"Queues",""
"axon-metrics-micrometer-5.1.1","io.micrometer.core.instrument",37,141,19,"Timer$Builder,MeterRegistry,Clock,Tag,Tags,Gauge$Builder,Gauge,Timer,Counter",""
"axon-metrics-micrometer-5.1.1","org.jspecify.annotations",3,3,19,"NullMarked",""
"axon-metrics-micrometer-5.1.1","org.springframework.boot.autoconfigure",3,3,19,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter",""
"axon-metrics-micrometer-5.1.1","org.springframework.boot.autoconfigure.condition",3,6,19,"ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnProperty",""
"axon-metrics-micrometer-5.1.1","io.micrometer.core.instrument.simple",2,4,19,"SimpleMeterRegistry",""
"axon-metrics-micrometer-5.1.1","org.springframework.boot.context.properties",2,2,19,"ConfigurationProperties,EnableConfigurationProperties",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.springboot.autoconfig",1,1,19,"AxonAutoConfiguration",""
"axon-metrics-micrometer-5.1.1","org.springframework.context.annotation",1,3,19,"Bean",""
"axon-modelling-5.1.1","org.jspecify.annotations",7,7,99,"NullMarked",""
"axon-modelling-5.1.1","org.slf4j",4,17,99,"Logger,LoggerFactory",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc.event.dcb",36,132,79,"AddSnapshotRequest$Builder,Snapshot$Builder,GetLastSnapshotRequest$Builder,AddSnapshotRequest,Snapshot,GetLastSnapshotRequest,GetLastSnapshotResponse,AddSnapshotResponse,SourceEventsResponse,SequencedEvent,GetSequenceAtResponse,GetHeadResponse,GetTailResponse,TaggedEvent,Event,StreamEventsResponse,AppendEventsResponse,ConsistencyCondition$Builder,SourceEventsRequest$Builder,StreamEventsRequest$Builder,Criterion$Builder,TagsAndNamesCriterion$Builder,Tag$Builder,ConsistencyCondition,SourceEventsRequest,StreamEventsRequest,Criterion,TagsAndNamesCriterion,Tag,TaggedEvent$Builder,Event$Builder",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc",34,220,79,"ErrorMessage,MetaDataValue$Builder,SerializedObject$Builder,MetaDataValue,SerializedObject,ErrorMessage$Builder,MetaDataValue$DataCase,ProcessingInstruction$Builder,ProcessingKey,ProcessingInstruction",""
"axon-server-connector-5.1.1","io.grpc",26,60,79,"Status$Code,StatusRuntimeException,Status,ManagedChannelBuilder,ClientInterceptor,Metadata$Key,Metadata$AsciiMarshaller,Metadata,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,MethodDescriptor,CallOptions,Channel",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.connector",23,128,79,"AxonServerConnection,ResultStream,AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,Registration,ReplyChannel,FlowControl",""
"axon-server-connector-5.1.1","org.slf4j",19,70,79,"Logger,LoggerFactory",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc.query",14,98,79,"QueryUpdate,QueryResponse,QueryRequest,SubscriptionQuery,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate$Builder",""
"axon-server-connector-5.1.1","io.axoniq.axonserver.grpc.control",13,86,79,"EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo,NodeInfo$Builder,NodeInfo,TopologyChange,CommandSubscription,QuerySubscription,UpdateType",""
"axon-server-connector-5.1.1","org.jspecify.annotations",10,10,79,"NullMarked",""
"axon-server-connector-5.1.1","com.google.protobuf",9,39,79,"ByteString,MessageLite",""
