"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2719,1080,1216,"/axon-server-connector-4.12.1.jar uses /axon-configuration-4.12.1.jar,/axon-spring-boot-autoconfigure-4.12.1.jar uses /axon-configuration-4.12.1.jar,/org/axonframework/config/UpdateCheckerConfigurerModule.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/config/DefaultConfigurer.class uses /org/axonframework/config/ConfigurerModule.class",""
1,95,85,41,"/org/axonframework/actuator/axonserver uses /org/axonframework/actuator,/org/axonframework/springboot/autoconfig uses /org/axonframework/springboot,/org/axonframework/springboot/util uses /org/axonframework/springboot,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot/autoconfig",""
2,2583,786,487,"/org/axonframework/springboot/autoconfig uses /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot,/org/axonframework/springboot/autoconfig uses /org/axonframework/springboot/service/connection,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot/util",""
4,2655,460,562,"/org/axonframework/axonserver/connector/ServerConnectorConfigurerModule.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/AxonTimeoutAutoConfiguration.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/AxonAutoConfiguration.class uses /org/axonframework/config/ConfigurerModule.class,/org/axonframework/springboot/autoconfig/InfraConfiguration.class uses /org/axonframework/config/ConfigurerModule.class",""
