"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: Internal_Dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.common.BuilderUtils","BuilderUtils","Type,File,Java,ByteCode,Class,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity8,Mark4TypeLeidenCommunity8,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut0,Mark4TypeHDBSCAN69",52,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","Type,File,Java,ByteCode,Class,Throwable,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity6,Mark4TypeLeidenCommunity5,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut4,Mark4TypeHDBSCAN123",43,""
"org.axonframework.messaging.Message","Message","Type,File,Java,ByteCode,GenericDeclaration,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity10,Mark4TypeLeidenCommunity10,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut64,Mark4TypeHDBSCAN-1",42,""
"org.axonframework.messaging.MetaData","MetaData","Type,File,Java,ByteCode,Class,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity11,Mark4TypeLeidenCommunity6,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut1,Mark4TypeHDBSCAN69",40,""
"org.axonframework.serialization.Serializer","Serializer","Type,File,Java,ByteCode,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity11,Mark4TypeLeidenCommunity6,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut4,Mark4TypeHDBSCAN-1",37,""
"org.axonframework.eventhandling.EventMessage","EventMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity0,Mark4TypeLeidenCommunity0,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut4,Mark4TypeHDBSCAN-1",36,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","Type,File,Java,ByteCode,GenericDeclaration,Interface,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity10,Mark4TypeLeidenCommunity10,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut58,Mark4TypeHDBSCAN-1",33,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","Type,File,Java,ByteCode,Interface,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity7,Mark4TypeLeidenCommunity8,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut4,Mark4TypeHDBSCAN71",31,""
"org.axonframework.common.Assert","Assert","Type,File,Java,ByteCode,Class,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity10,Mark4TypeLeidenCommunity10,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut32,Mark4TypeHDBSCAN45",29,""
"org.axonframework.serialization.SerializedObject","SerializedObject","Type,File,Java,ByteCode,GenericDeclaration,Interface,Mark4TopCentralityPageRank,Mark4TopCentralityArticleRank,Mark4TopCentralityBetweenness,Mark4TopCentralityHarmonic,Mark4TopCentralityCloseness,Mark4TopCentralityHyperlinkInducedTopicSearchAuthority,Mark4TopCentralityHyperlinkInducedTopicSearchHub,Mark4TypeWeaklyConnectedComponent0,Mark4TypeLabelPropagation0,Mark4TypeLouvainCommunity11,Mark4TypeLeidenCommunity6,Mark4TypeKCoreDecomposition10,Mark4TypeMaximumKCut9,Mark4TypeHDBSCAN-1",28,""
