"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-spring-boot-autoconfigure-4.11.2",9,""
"axon-configuration-4.11.2",1,""
"axon-disruptor-4.11.2",1,""
"axon-eventsourcing-4.11.2",9,""
"axon-modelling-4.11.2",10,""
"axon-server-connector-4.11.2",11,""
"axon-tracing-opentelemetry-4.11.2",1,""
"axon-test-4.11.2",8,""
"axon-messaging-4.11.2",66,""
