"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-common-5.0.0","jakarta.annotation",66,346,150,"Nonnull,Nullable",""
"axon-common-5.0.0","org.slf4j",14,49,150,"Logger,LoggerFactory",""
"axon-common-5.0.0","javax.cache.event",8,26,150,"CacheEntryEventFilter,CacheEntryCreatedListener,CacheEntryUpdatedListener,CacheEntryRemovedListener,CacheEntryListener,CacheEntryListenerException,CacheEntryEvent,CacheEntryExpiredListener",""
"axon-common-5.0.0","org.ehcache.event",8,30,150,"CacheEventListener,EventType,EventOrdering,EventFiring,CacheEvent",""
"axon-common-5.0.0","com.fasterxml.jackson.databind",3,14,150,"JsonNode,SerializationFeature,ObjectMapper",""
"axon-common-5.0.0","javax.cache.configuration",3,9,150,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.0.0","com.fasterxml.jackson.databind.node",2,16,150,"ArrayNode,ObjectNode",""
"axon-common-5.0.0","jakarta.persistence",2,4,150,"EntityManager",""
"axon-common-5.0.0","javax.cache",1,13,150,"Cache",""
"axon-common-5.0.0","org.ehcache.config",1,2,150,"CacheRuntimeConfiguration",""
"axon-common-5.0.0","org.ehcache.core",1,13,150,"Ehcache",""
"axon-conversion-5.0.0","jakarta.annotation",44,204,30,"Nonnull,Nullable",""
"axon-conversion-5.0.0","org.apache.avro",16,54,30,"AvroRuntimeException,Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException,SchemaCompatibility$SchemaCompatibilityResult,SchemaNormalization,InvalidAvroMagicException,SchemaCompatibility$SchemaIncompatibilityType",""
"axon-conversion-5.0.0","com.fasterxml.jackson.databind",8,42,30,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.0.0","org.apache.avro.message",8,28,30,"BinaryMessageEncoder,SchemaStore,BinaryMessageDecoder,BadHeaderException",""
"axon-conversion-5.0.0","org.apache.avro.generic",7,30,30,"GenericRecord,GenericDatumReader,GenericData",""
"axon-conversion-5.0.0","org.slf4j",6,29,30,"Logger,LoggerFactory",""
"axon-conversion-5.0.0","org.apache.avro.specific",4,14,30,"SpecificRecordBase,SpecificData",""
"axon-conversion-5.0.0","com.fasterxml.jackson.databind.node",3,12,30,"ObjectNode,JsonNodeType",""
"axon-conversion-5.0.0","com.fasterxml.jackson.core",1,1,30,"JsonProcessingException",""
"axon-conversion-5.0.0","org.apache.avro.io",1,3,30,"DecoderFactory",""
"axon-conversion-5.0.0","org.apache.commons.lang3.tuple",1,4,30,"Pair",""
"axon-eventsourcing-5.0.0","jakarta.annotation",74,330,100,"Nonnull,Nullable",""
"axon-eventsourcing-5.0.0","jakarta.persistence",15,53,100,"EntityManager,TypedQuery,Id,GeneratedValue,Column,Index,GenerationType,Lob,SequenceGenerator,Entity,Table,Basic,EntityExistsException",""
"axon-eventsourcing-5.0.0","org.slf4j",10,30,100,"Logger,LoggerFactory",""
"axon-eventsourcing-5.0.0","IdTypeParameterResolver",1,1,100,"IdTypeParameterResolver",""
"axon-eventsourcing-5.0.0","ScannedEntityCreator",1,4,100,"ScannedEntityCreator",""
"axon-eventsourcing-5.0.0","WrappedEventCriteriaBuilderMethod",1,1,100,"WrappedEventCriteriaBuilderMethod",""
"axon-messaging-5.0.0","jakarta.annotation",490,2804,570,"Nonnull,Nullable",""
"axon-messaging-5.0.0","org.slf4j",54,180,570,"Logger,LoggerFactory",""
"axon-messaging-5.0.0","com.fasterxml.jackson.annotation",18,34,570,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonIgnore",""
"axon-messaging-5.0.0","reactor.core.publisher",14,49,570,"Flux,Mono,FluxSink,MonoSink",""
"axon-messaging-5.0.0","jakarta.persistence",11,64,570,"Entity,Lob,Basic,IdClass,Column,Id,LockModeType,EntityManager,Query,TypedQuery",""
"axon-messaging-5.0.0","org.reactivestreams",8,27,570,"Publisher,Subscription,Subscriber",""
"axon-messaging-5.0.0","jakarta.validation",5,16,570,"Validation,Validator,ConstraintViolation,ValidatorFactory",""
"axon-messaging-5.0.0","reactor.util.concurrent",2,4,570,"Queues",""
"axon-metrics-micrometer-5.0.0","io.micrometer.core.instrument",38,140,13,"Clock,Tags,Tag,MeterRegistry,Timer$Builder,Timer,Counter,Gauge,Gauge$Builder",""
"axon-metrics-micrometer-5.0.0","jakarta.annotation",5,6,13,"Nonnull",""
"axon-metrics-micrometer-5.0.0","org.slf4j",2,4,13,"Logger,LoggerFactory",""
"axon-metrics-micrometer-5.0.0","io.micrometer.core.instrument.simple",1,2,13,"SimpleMeterRegistry",""
"axon-modelling-5.0.0","jakarta.annotation",86,554,93,"Nonnull,Nullable",""
"axon-modelling-5.0.0","org.slf4j",6,32,93,"Logger,LoggerFactory",""
"axon-server-connector-5.0.0","io.axoniq.axonserver.grpc",40,271,72,"ErrorMessage,MetaDataValue$Builder,MetaDataValue$DataCase,MetaDataValue,ErrorMessage$Builder,SerializedObject,SerializedObject$Builder,ProcessingInstruction$Builder,ProcessingKey,InstructionAck$Builder,InstructionAck,ProcessingInstruction",""
"axon-server-connector-5.0.0","jakarta.annotation",33,199,72,"Nonnull,Nullable",""
"axon-server-connector-5.0.0","io.axoniq.axonserver.grpc.event.dcb",28,104,72,"GetHeadResponse,Event,GetTailResponse,GetSequenceAtResponse,TaggedEvent,AppendEventsResponse,Tag,TaggedEvent$Builder,Event$Builder,Tag$Builder,ConsistencyCondition$Builder,ConsistencyCondition,Criterion,SourceEventsRequest$Builder,SourceEventsRequest,StreamEventsRequest$Builder,Criterion$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest,TagsAndNamesCriterion,SourceEventsResponse,SequencedEvent,StreamEventsResponse",""
