"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"jakarta.annotation",98,671,858,4780,113,1195,"Nonnull,Nullable",""
"org.slf4j",38,74,133,454,113,1195,"LoggerFactory,Logger",""
"io.axoniq.axonserver.connector",5,16,23,124,113,1195,"AxonServerConnection,AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,Registration,FlowControl,ReplyChannel,ResultStream",""
"io.axoniq.axonserver.grpc",5,18,40,271,113,1195,"MetaDataValue$DataCase,MetaDataValue$Builder,MetaDataValue,ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,SerializedObject,ProcessingKey",""
"jakarta.persistence",5,13,33,129,113,1195,"EntityManagerFactory,PersistenceContext,EntityManager,LockModeType,Query,TypedQuery,IdClass,Column,Id",""
"reactor.core.publisher",5,8,14,49,113,1195,"MonoSink,Mono,Flux,FluxSink",""
"com.fasterxml.jackson.annotation",3,6,18,34,113,1195,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonIgnore,JsonGetter",""
"com.fasterxml.jackson.databind",3,9,14,67,113,1195,"ObjectMapper,SerializationFeature,JsonNode,JavaType",""
"io.grpc",3,7,23,51,113,1195,"ManagedChannelBuilder,ClientInterceptor,Metadata$Key,Metadata,Status$Code,StatusRuntimeException,Status,Metadata$AsciiMarshaller,Channel",""
"org.hamcrest",3,22,44,194,113,1195,"CoreMatchers,StringDescription,Matcher,Description,BaseMatcher,TypeSafeMatcher",""
"org.reactivestreams",3,6,8,27,113,1195,"Publisher,Subscription,Subscriber",""
"org.springframework.boot.actuate.health",3,4,7,24,113,1195,"Status,SimpleStatusAggregator,AbstractHealthIndicator,Health$Builder",""
"com.fasterxml.jackson.databind.node",2,3,5,28,113,1195,"ObjectNode,ArrayNode,JsonNodeType",""
"io.axoniq.axonserver.grpc.control",2,6,13,86,113,1195,"UpdateType,NodeInfo,NodeInfo$Builder,TopologyChange,CommandSubscription,QuerySubscription,EventProcessorInfo,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder",""
"io.grpc.stub",2,3,4,11,113,1195,"StreamObserver,ClientResponseObserver,ClientCallStreamObserver",""
"io.micrometer.core.instrument",2,12,38,140,113,1195,"MeterRegistry,Tag,Tags,Counter,Clock,Timer$Builder,Gauge$Builder,Gauge,Timer",""
"org.apache.avro",2,5,17,56,113,1195,"Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,InvalidAvroMagicException,InvalidNumberEncodingException,SchemaCompatibility",""
"org.apache.avro.message",2,9,12,38,113,1195,"SchemaStore,SchemaStore$Cache,BadHeaderException,BinaryMessageDecoder,BinaryMessageEncoder",""
"org.axonframework.extension.spring.config",2,4,9,35,113,1195,"EventProcessorSettings$ProcessorMode,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings$SubscribingEventProcessorSettings,MessageHandlerLookup,SpringEventSourcedEntityLookup,EventProcessorSettings$MapWrapper,SpringAxonApplication,SpringComponentRegistry,SpringLifecycleRegistry",""
"org.springframework.boot.autoconfigure",2,18,29,30,113,1195,"AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",2,27,41,71,113,1195,"ConditionalOnProperty,AllNestedConditions,ConditionalOnBean,ConditionalOnClass,ConditionalOnMissingBean,AnyNestedCondition,ConditionalOnExpression,SearchStrategy,ConditionOutcome",""
"org.springframework.context.annotation",2,25,31,57,113,1195,"Bean,ConfigurationCondition$ConfigurationPhase,Role,Conditional,Primary,ImportBeanDefinitionRegistrar,Import,ConfigurationCondition,ConditionContext",""
"com.google.gson",1,1,4,7,113,1195,"JsonArray,JsonParser,JsonElement,JsonObject",""
"io.axoniq.axonserver.connector.event",1,5,8,38,113,1195,"EventStream,AppendEventsTransaction,DcbEventChannel$AppendEventsTransaction,DcbEventChannel,AggregateEventStream,EventChannel",""
"io.axoniq.axonserver.connector.query",1,3,6,19,113,1195,"QueryHandler$UpdateHandler,QueryHandler,SubscriptionQueryResult,QueryChannel,QueryDefinition",""
"io.axoniq.axonserver.grpc.command",1,3,8,63,113,1195,"CommandResponse,Command,Command$Builder,CommandResponse$Builder",""
"io.axoniq.axonserver.grpc.event",1,3,5,31,113,1195,"Event,EventWithToken,Confirmation,Event$Builder",""
