"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"io.axoniq.axonserver.grpc.query",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,6.944444444444445,6.944444444444445,6.944444444444445,6.944444444444445,0,"axon-server-connector-5.0.0",""
"io.grpc",1,3,3,3,3,3,0,60,60,60,60,0,7,7,7,7,7,0,9.722222222222221,9.722222222222221,9.722222222222221,9.722222222222221,0,"axon-server-connector-5.0.0",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.grpc.stub",1,2,2,2,2,2,0,40,40,40,40,0,3,3,3,3,3,0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0,"axon-server-connector-5.0.0",""
"io.micrometer.core.instrument",1,2,2,2,2,2,0,100,100,100,100,0,12,12,12,12,12,0,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,0,"axon-metrics-micrometer-5.0.0",""
"io.micrometer.core.instrument.simple",1,1,1,1,1,1,0,50,50,50,50,0,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,"axon-metrics-micrometer-5.0.0",""
"io.opentelemetry.api",1,1,1,1,1,1,0,100,100,100,100,0,1,1,1,1,1,0,20,20,20,20,0,"axon-tracing-opentelemetry-5.0.0",""
"io.opentelemetry.api.trace",1,1,1,1,1,1,0,100,100,100,100,0,3,3,3,3,3,0,60,60,60,60,0,"axon-tracing-opentelemetry-5.0.0",""
"io.opentelemetry.context",1,1,1,1,1,1,0,100,100,100,100,0,2,2,2,2,2,0,40,40,40,40,0,"axon-tracing-opentelemetry-5.0.0",""
"io.opentelemetry.context.propagation",1,1,1,1,1,1,0,100,100,100,100,0,4,4,4,4,4,0,80,80,80,80,0,"axon-tracing-opentelemetry-5.0.0",""
"jakarta.validation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0,"axon-messaging-5.0.0",""
"javax.cache",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,1,1,1,1,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,"axon-common-5.0.0",""
"javax.cache.configuration",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,2,2,2,2,2,0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0,"axon-common-5.0.0",""
"javax.cache.event",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,1,1,1,1,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,"axon-common-5.0.0",""
"org.apache.avro.generic",1,1,1,1,1,1,0,25,25,25,25,0,6,6,6,6,6,0,20,20,20,20,0,"axon-conversion-5.0.0",""
"org.apache.avro.io",1,1,1,1,1,1,0,25,25,25,25,0,1,1,1,1,1,0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,"axon-conversion-5.0.0",""
"org.apache.avro.specific",1,1,1,1,1,1,0,25,25,25,25,0,2,2,2,2,2,0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,"axon-conversion-5.0.0",""
"org.apache.commons.lang3.tuple",1,1,1,1,1,1,0,25,25,25,25,0,1,1,1,1,1,0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,"axon-conversion-5.0.0",""
"org.awaitility",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"org.awaitility.core",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"org.axonframework.extension.spring",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.axonframework.extension.spring.authorization",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.axonframework.extension.spring.config",1,2,2,2,2,2,0,28.571428571428573,28.571428571428573,28.571428571428573,28.571428571428573,0,4,4,4,4,4,0,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.axonframework.extension.spring.conversion.avro",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.axonframework.extension.spring.messaging.unitofwork",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.ehcache.config",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,1,1,1,1,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,"axon-common-5.0.0",""
"org.ehcache.core",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,1,1,1,1,1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,"axon-common-5.0.0",""
"org.ehcache.event",1,1,1,1,1,1,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,3,3,3,3,3,0,2,2,2,2,0,"axon-common-5.0.0",""
"org.hamcrest",1,3,3,3,3,3,0,60,60,60,60,0,22,22,22,22,22,0,30.136986301369863,30.136986301369863,30.136986301369863,30.136986301369863,0,"axon-test-5.0.0",""
"org.junit.jupiter.api",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"org.reactivestreams",1,3,3,3,3,3,0,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,0,6,6,6,6,6,0,1.0526315789473684,1.0526315789473684,1.0526315789473684,1.0526315789473684,0,"axon-messaging-5.0.0",""
"org.springframework.beans",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.beans.factory",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.beans.factory.config",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.beans.factory.support",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.actuate.health",1,3,3,3,3,3,0,42.85714285714286,42.85714285714286,42.85714285714286,42.85714285714286,0,4,4,4,4,4,0,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.autoconfigure",1,2,2,2,2,2,0,28.571428571428573,28.571428571428573,28.571428571428573,28.571428571428573,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.autoconfigure.condition",1,2,2,2,2,2,0,28.571428571428573,28.571428571428573,28.571428571428573,28.571428571428573,0,7,7,7,7,7,0,10.606060606060606,10.606060606060606,10.606060606060606,10.606060606060606,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.autoconfigure.orm.jpa",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1.5151515151515151,1.5151515151515151,1.5151515151515151,1.5151515151515151,0,"axon-spring-boot-autoconfigure-5.0.0",""
"org.springframework.boot.autoconfigure.service.connection",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,3,3,3,3,3,0,4.545454545454545,4.545454545454545,4.545454545454545,4.545454545454545,0,"axon-spring-boot-autoconfigure-5.0.0",""
