"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: Community_Detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,183,"org.axonframework.disruptor.commandhandling.AggregateBlacklistedException,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$1,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1,org.axonframework.disruptor.commandhandling.FirstLevelCache$1,org.axonframework.disruptor.commandhandling.EventPublisher$1,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$1,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$1,org.axonframework.modelling.command.inspection.AggregateMetaModelFactory",""
0.9,8,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$1,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$1,org.axonframework.axonserver.connector.event.axon.PersistentStreamConnection$SegmentConnection$ProcessingState,org.axonframework.axonserver.connector.event.axon.PersistentStreamConnection$SegmentConnection$RetryState,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterJdbcConverter,org.axonframework.eventhandling.pooled.WorkPackage$ProcessingEntry,org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition",""
0.87,1,"org.axonframework.queryhandling.GenericSubscriptionQueryMessage",""
0.86,2,"org.axonframework.modelling.command.inspection.AnnotatedAggregate$LazyIdentifierDomainEventMessage,org.axonframework.config.MessageMonitorFactory",""
0.83,20,"org.axonframework.modelling.saga.SagaInitializationPolicy,org.axonframework.axonserver.connector.query.AxonServerQueryBus$QueryResponseSpliterator,org.axonframework.axonserver.connector.event.axon.DefaultPersistentStreamMessageSourceFactory,org.axonframework.messaging.annotation.DefaultParameterResolverFactory$AnnotatedMetaDataParameterResolver,org.axonframework.commandhandling.distributed.commandfilter.DenyAll,org.axonframework.deadline.SimpleDeadlineManager$DeadlineId,org.axonframework.eventhandling.DirectEventProcessingStrategy,org.axonframework.eventhandling.MultiStreamableMessageSource$SourceIdAwareBlockingStream,org.axonframework.eventhandling.async.EventProcessorTask$ShutdownCallback",""
0.81,1,"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer",""
0.8,7,"org.axonframework.commandhandling.gateway.CommandGatewayFactory$CompositeCallback,org.axonframework.messaging.deadletter.ShouldEnqueue,org.axonframework.eventhandling.pooled.Coordinator$EventFilter,org.axonframework.eventhandling.pooled.WorkPackage$EventFilter,org.axonframework.config.EventProcessingModule$1,org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory$Builder,org.axonframework.test.aggregate.AggregateTestFixture$DefaultRepositoryProvider",""
0.76,3,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Node,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Node",""
0.73,3,"org.axonframework.springboot.EventProcessorProperties$ProcessorSettings,org.axonframework.commandhandling.AsynchronousCommandBus,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter",""
0.71,1,"org.axonframework.queryhandling.DefaultQueryUpdateEmitterSpanFactory$Builder",""
0.7,9,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.eventsourcing.AbstractSnapshotter$CreateSnapshotTask,org.axonframework.axonserver.connector.util.GrpcPayloadSerializer$1,org.axonframework.axonserver.connector.DispatchInterceptors,org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration,org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.messaging.deadletter.SequencedDeadLetterProcessor,org.axonframework.test.saga.ContinuedGivenState,org.axonframework.test.saga.RecordingListenerInvocationErrorHandler",""
0.67,105,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.FirstLevelCache$WeakValue,org.axonframework.tracing.opentelemetry.MetadataContextGetter,org.axonframework.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.modelling.command.inspection.ChildEntityDefinition,org.axonframework.modelling.command.inspection.CreationPolicyMember,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$1,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory,org.axonframework.modelling.command.ForwardMatchingInstances$NoProperty",""
0.64,1,"org.axonframework.serialization.UnknownSerializedType",""
0.62,2,"org.axonframework.axonserver.connector.processor.StreamingEventProcessorInfoMessage,org.axonframework.eventhandling.MultiStreamableMessageSource$IdentifiedStreamableMessageSource",""
0.61,2,"org.axonframework.messaging.unitofwork.MessageProcessingContext,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventConsumer",""
0.6,27,"org.axonframework.modelling.command.inspection.ChildEntity,org.axonframework.modelling.command.DefaultRepositorySpanFactory$Builder,org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory$Builder,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory$Builder,org.axonframework.eventsourcing.FilteringEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.axonserver.connector.query.QueryPriorityCalculator",""
0.58,1,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventConsumer",""
0.57,10,"org.axonframework.commandhandling.MonitorAwareCallback,org.axonframework.modelling.command.DefaultRepositorySpanFactory,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory,org.axonframework.serialization.SerializedMetaData,org.axonframework.axonserver.connector.event.axon.GrpcMetaDataAwareSerializer,org.axonframework.commandhandling.DefaultCommandBusSpanFactory$Builder,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterStatementFactory,org.axonframework.eventhandling.pooled.ClaimTask,org.axonframework.eventhandling.pooled.SplitTask",""
0.56,2,"org.axonframework.eventhandling.GenericTrackedEventMessage,org.axonframework.messaging.deadletter.EnqueuePolicy",""
0.55,1,"org.axonframework.eventhandling.GenericTrackedDomainEventMessage",""
0.54,2,"org.axonframework.queryhandling.DefaultQueryBusSpanFactory$Builder,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder",""
0.53,20,"org.axonframework.commandhandling.callbacks.NoOpCallback,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateConstructorCommandHandler,org.axonframework.modelling.saga.repository.jdbc.SagaSqlSchema,org.axonframework.axonserver.connector.event.axon.PersistentStreamMessageSourceFactory,org.axonframework.axonserver.connector.event.axon.AxonServerEventStoreFactory,org.axonframework.serialization.avro.AvroSerializerStrategy,org.axonframework.eventhandling.async.SequentialPerAggregatePolicy,org.axonframework.deadline.DefaultDeadlineManagerSpanFactory$Builder,org.axonframework.commandhandling.callbacks.LoggingCallback",""
0.52,5,"org.axonframework.eventhandling.LoggingErrorHandler,org.axonframework.eventhandling.DefaultEventBusSpanFactory$Builder,org.axonframework.axonserver.connector.command.AxonServerCommandBus$CommandProcessingTask,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore$Builder,org.axonframework.messaging.annotation.AnnotatedHandlerInspector$ChainedMessageHandlerInterceptorMember",""
0.51,2,"org.axonframework.queryhandling.QueryInvocationErrorHandler,org.axonframework.config.SagaConfiguration",""
0.5,67,"org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException,org.axonframework.disruptor.commandhandling.CommandHandlingEntry$RepeatingCommandHandler,org.axonframework.common.caching.NoCache,org.axonframework.disruptor.commandhandling.FirstLevelCache,org.axonframework.disruptor.commandhandling.EventPublisher$ReportResultTask,org.axonframework.modelling.saga.SagaCreationPolicy,org.axonframework.commandhandling.CommandMessageHandler,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.inspection.AnnotatedChildEntity",""
0.49,6,"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.queryhandling.GenericStreamingQueryMessage,org.axonframework.queryhandling.StreamingQueryMessage,org.axonframework.queryhandling.DefaultQueryUpdateEmitterSpanFactory,org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler$Builder,org.axonframework.queryhandling.GenericQueryMessage",""
0.48,3,"org.axonframework.axonserver.connector.util.GrpcMetaData,org.axonframework.eventhandling.gateway.DefaultEventGateway$Builder,org.axonframework.messaging.interceptors.TransactionManagingInterceptor",""
0.47,17,"org.axonframework.commandhandling.DuplicateCommandHandlerResolution,org.axonframework.eventsourcing.eventstore.AbstractEventStore$Builder,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler,org.axonframework.commandhandling.DefaultCommandBusSpanFactory,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration,org.axonframework.springboot.autoconfig.NoOpTransactionAutoConfiguration,org.axonframework.eventhandling.replay.ReplayContextParameterResolverFactory$ReplayContextParameterResolver,org.axonframework.messaging.annotation.MultiHandlerDefinition,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy",""
0.46,4,"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder,org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine,org.axonframework.eventhandling.pooled.MergeTask,org.axonframework.test.saga.FixtureExecutionResult",""
0.45,3,"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder,org.axonframework.messaging.deadletter.GenericDeadLetter,org.axonframework.config.SagaConfigurer",""
0.44,7,"org.axonframework.eventhandling.DefaultEventBusSpanFactory,org.axonframework.springboot.EventProcessorProperties,org.axonframework.messaging.MessageDecorator,org.axonframework.commandhandling.distributed.CommandBusConnector,org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler$Builder,org.axonframework.eventhandling.WrappedToken,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry",""
0.43,13,"org.axonframework.modelling.saga.AssociationResolver,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AlwaysCreateAggregateCommandHandler,org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory$InspectedSagaModel,org.axonframework.modelling.saga.repository.CachingSagaStore,org.axonframework.config.TagsConfiguration,org.axonframework.axonserver.connector.util.GrpcPayloadSerializer,org.axonframework.axonserver.connector.query.AxonServerQueryBus$ResponseProcessingTask,org.axonframework.queryhandling.DefaultQueryGateway$Builder,org.axonframework.serialization.xml.XStreamSerializer$Builder",""
0.42,11,"org.axonframework.eventsourcing.AggregateCacheEntry,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCommandHandler,org.axonframework.eventhandling.MultiStreamableMessageSource,org.axonframework.queryhandling.GenericQueryResponseMessage,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.queryhandling.DefaultQueryBusSpanFactory,org.axonframework.commandhandling.distributed.DispatchMessage,org.axonframework.commandhandling.gateway.AbstractCommandGateway$Builder,org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker",""
0.41,1,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration",""
0.4,47,"org.axonframework.tracing.SpanUtils,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.messaging.Scope,org.axonframework.common.lock.NullLockFactory,org.axonframework.modelling.command.LockAwareAggregate,org.axonframework.eventsourcing.conflictresolution.NoConflictResolver,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder",""
0.39,7,"org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory,org.axonframework.eventsourcing.eventstore.AbstractEventStore,org.axonframework.axonserver.connector.event.axon.EventProcessorInfoConfiguration,org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.serialization.json.JacksonSerializer$Builder,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder,org.axonframework.commandhandling.distributed.UnresolvedRoutingKeyPolicy",""
0.38,21,"org.axonframework.modelling.command.CommandTargetResolver,org.axonframework.modelling.command.AnnotationCommandTargetResolver$Builder,org.axonframework.messaging.unitofwork.AbstractUnitOfWork,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.modelling.saga.repository.LockingSagaRepository$Builder,org.axonframework.eventsourcing.GenericAggregateFactory,org.axonframework.eventhandling.EventData,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Builder,org.axonframework.eventhandling.EventTrackerStatus",""
0.37,3,"org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.eventhandling.EventHandlerInvoker,org.axonframework.eventhandling.TrackingEventProcessorConfiguration",""
0.36,17,"org.axonframework.modelling.command.AggregateScopeDescriptor,org.axonframework.tracing.opentelemetry.OpenTelemetrySpanFactory,org.axonframework.modelling.saga.SagaMethodMessageHandlingMember,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver,org.axonframework.eventhandling.TrackedEventData,org.axonframework.axonserver.connector.util.ExceptionSerializer,org.axonframework.axonserver.connector.util.GrpcObjectSerializer,org.axonframework.queryhandling.QueryBusSpanFactory",""
0.35,9,"org.axonframework.modelling.command.LockingRepository$Builder,org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder,org.axonframework.messaging.correlation.CorrelationDataProvider,org.axonframework.commandhandling.gateway.DefaultCommandGateway$Builder,org.axonframework.deadline.DefaultDeadlineManagerSpanFactory,org.axonframework.commandhandling.GenericCommandMessage,org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler,org.axonframework.eventhandling.TrackerStatus",""
0.34,3,"org.axonframework.messaging.GenericResultMessage,org.axonframework.serialization.upcasting.event.InitialEventRepresentation,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration",""
0.33,107,"org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork,org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$MethodCreationPolicyHandlingMember,org.axonframework.messaging.ScopeAware,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.AggregateInvocationException,org.axonframework.commandhandling.RoutingKey,org.axonframework.modelling.saga.MetaDataAssociationResolver",""
0.32,19,"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.modelling.command.inspection.EntityModel,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityMapDefinition,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityCollectionDefinition,org.axonframework.messaging.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.eventsourcing.conflictresolution.ConflictResolver,org.axonframework.eventsourcing.SnapshotterSpanFactory,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine",""
0.31,14,"org.axonframework.messaging.annotation.ClasspathParameterResolverFactory,org.axonframework.modelling.command.ForwardingMode,org.axonframework.modelling.saga.repository.inmemory.InMemorySagaStore,org.axonframework.eventhandling.AbstractEventBus$Builder,org.axonframework.eventhandling.TrackingEventStream,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.queryhandling.QueryUpdateEmitter,org.axonframework.axonserver.connector.event.axon.AxonServerEventStore$AxonIQEventStorageEngine$Builder,org.axonframework.config.Component",""
0.3,24,"org.axonframework.messaging.unitofwork.ExecutionResult,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$Builder,org.axonframework.modelling.command.AggregateCreationPolicy,org.axonframework.messaging.annotation.MessageInterceptingMember,org.axonframework.modelling.saga.repository.jdbc.SagaSchema,org.axonframework.modelling.saga.repository.CachingSagaStore$Builder,org.axonframework.eventsourcing.EventStreamUtils",""
0.29,34,"org.axonframework.eventsourcing.SnapshotTriggerDefinition,org.axonframework.modelling.command.VersionedAggregateIdentifier,org.axonframework.messaging.unitofwork.UnitOfWork$Phase,org.axonframework.modelling.command.AbstractRepository$Builder,org.axonframework.modelling.command.ApplyMore,org.axonframework.common.property.PropertyAccessStrategy,org.axonframework.modelling.command.inspection.AnnotatedCommandHandlerInterceptor,org.axonframework.modelling.saga.SagaManagerSpanFactory,org.axonframework.modelling.saga.AssociationValues",""
0.28,12,"org.axonframework.messaging.annotation.ClasspathHandlerDefinition,org.axonframework.eventsourcing.NoSnapshotTriggerDefinition,org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory,org.axonframework.commandhandling.CommandMessageHandlingMember,org.axonframework.eventhandling.ListenerInvocationErrorHandler,org.axonframework.modelling.saga.AnnotatedSagaManager,org.axonframework.serialization.LazyDeserializingObject,org.axonframework.eventhandling.ReplayToken,org.axonframework.serialization.Converter",""
0.27,25,"org.axonframework.modelling.command.RepositorySpanFactory,org.axonframework.common.lock.LockFactory,org.axonframework.eventhandling.GenericDomainEventMessage,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jdbc.JdbcUtils,org.axonframework.eventsourcing.SnapshotTrigger,org.axonframework.eventsourcing.snapshotting.RevisionSnapshotFilter,org.axonframework.axonserver.connector.query.subscription.AxonServerSubscriptionQueryResult,org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor",""
0.26,10,"org.axonframework.tracing.SpanAttributesProvider,org.axonframework.messaging.annotation.WrappedMessageHandlingMember,org.axonframework.modelling.saga.AnnotatedSaga,org.axonframework.eventsourcing.AggregateSnapshotter$Builder,org.axonframework.eventsourcing.CachingEventSourcingRepository,org.axonframework.axonserver.connector.util.GrpcMetaDataConverter,org.axonframework.messaging.deadletter.SequencedDeadLetterQueue,org.axonframework.serialization.JavaSerializer,org.axonframework.commandhandling.gateway.DefaultCommandGateway",""
0.25,22,"org.axonframework.disruptor.commandhandling.CommandHandlingEntry,org.axonframework.modelling.command.AggregateLifecycle,org.axonframework.common.lock.Lock,org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore$Builder,org.axonframework.eventsourcing.EventSourcingRepository$Builder,org.axonframework.eventsourcing.snapshotting.SnapshotFilter,org.axonframework.queryhandling.SubscriptionQueryResult,org.axonframework.axonserver.connector.event.axon.PersistentStreamConnection,org.axonframework.eventhandling.scheduling.EventScheduler",""
0.24,24,"org.axonframework.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember,org.axonframework.modelling.command.GenericJpaRepository$Builder,org.axonframework.modelling.saga.ResourceInjector,org.axonframework.modelling.saga.AnnotatedSagaManager$Builder,org.axonframework.eventhandling.EventMessageHandler,org.axonframework.eventhandling.EventUtils,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter",""
0.23,8,"org.axonframework.messaging.DefaultInterceptorChain,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine,org.axonframework.axonserver.connector.query.GrpcBackedResponseMessage,org.axonframework.config.ConfigurationScopeAwareProvider,org.axonframework.commandhandling.distributed.DistributedCommandBus$Builder,org.axonframework.deadline.SimpleDeadlineManager,org.axonframework.messaging.ScopeAwareProvider,org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository",""
0.22,24,"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition,org.axonframework.modelling.command.GenericJpaRepository,org.axonframework.common.lock.PessimisticLockFactory,org.axonframework.modelling.saga.Saga,org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.JpaSagaStore,org.axonframework.eventsourcing.AggregateSnapshotter$SnapshotAggregate",""
0.21,17,"org.axonframework.eventsourcing.AggregateFactory,org.axonframework.modelling.command.AnnotationCommandTargetResolver,org.axonframework.modelling.command.legacyjpa.GenericJpaRepository$Builder,org.axonframework.modelling.saga.SagaLifecycle,org.axonframework.modelling.saga.repository.SagaStore,org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore,org.axonframework.messaging.StreamableMessageSource,org.axonframework.eventhandling.GlobalSequenceTrackingToken",""
