"artifact","all","public","min","max","average","percentile25","percentile50","percentile75","percentile90","Source Cypher File: Visibility/Global_relative_visibility_statistics_for_types.cypher"
"axon-common-5.0.1",150,123,0.6153846153846154,1,0.8766555940616535,0.782608695652174,1,1,1,""
"axon-conversion-5.0.1",30,27,0.7,1,0.925,0.925,1,1,1,""
"axon-eventsourcing-5.0.1",100,66,0.2,0.9,0.5997209140066283,0.4807692307692308,0.6666666666666666,0.734920634920635,0.8133333333333334,""
"axon-messaging-5.0.1",570,432,0.25,1,0.8083989402410454,0.75,0.8461538461538461,1,1,""
"axon-metrics-micrometer-5.0.1",13,10,0.75,1,0.875,0.8125,0.875,0.9375,0.975,""
"axon-modelling-5.0.1",93,85,0.6923076923076923,1,0.9039072039072039,0.8675213675213675,0.9,1,1,""
"axon-server-connector-5.0.1",72,58,0.6428571428571429,0.8928571428571429,0.7884948384948386,0.7272727272727273,0.8333333333333334,0.8461538461538461,0.8741758241758242,""
"axon-spring-boot-autoconfigure-5.0.1",70,54,0.5588235294117647,1,0.9012605042016807,0.875,1,1,1,""
"axon-test-5.0.1",73,59,0.6,1,0.8199064983637214,0.7096774193548387,0.8333333333333334,0.9565217391304348,0.9826086956521739,""
"axon-tracing-opentelemetry-5.0.1",5,5,1,1,1,1,1,1,1,""
"axon-update-5.0.1",23,23,1,1,1,1,1,1,1,""
