"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,149,68,86,"./index.ts uses ./copy-template.ts,./index.ts uses ./loading-indicator.ts,./index.ts uses ./prompt.ts,./prompt.ts uses ./prompts-confirm.ts",""
3,39,22,30,"./index.ts uses ./sessions/arcTableSessionStorage.ts,./lib/errors.ts uses ./index.ts,./lib/context.ts uses ./index.ts,./lib/server-runtime/single-fetch.ts uses ./lib/actions.ts",""
4,121,43,40,"./lib/rsc/server.rsc.ts uses ./dom-export.ts,./lib/rsc/route-modules.ts uses ./dom-export.ts,./lib/rsc/server.rsc.ts uses ./index-react-server-client.ts,./lib/rsc/route-modules.ts uses ./index-react-server.ts",""
5,50,23,18,"./lib/server-runtime/sessions/memoryStorage.ts uses ./index-react-server.ts,./lib/dom/ssr/fog-of-war.ts uses ./index-react-server.ts,./lib/dom/ssr/routeModules.ts uses ./index-react-server.ts,./lib/server-runtime/sessions/cookieStorage.ts uses ./index-react-server.ts",""
6,1,1,1,"./lib/server-runtime/single-fetch.ts uses ./vendor/turbo-stream-v2/turbo-stream.ts",""
