"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.messaging.core","core","axon-messaging-5.0.3",1029.2333333333331,5.979258247494039,12840,12499,341,""
"org.axonframework.messaging.core.unitofwork","unitofwork","axon-messaging-5.0.3",375.78333333333336,1.5599626022394504,11733,11625,108,""
"org.axonframework.messaging.core.annotation","annotation","axon-messaging-5.0.3",1192.8000000000002,0.9843016754532822,979,512,467,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token","axon-messaging-5.0.3",131.66666666666666,0.6277176670261931,444,425,19,""
