"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-common-5.1.2","org.axonframework.common.annotation","annotation",0.0011488970588235295,0.028901734104046242,0,0.03125,0,5,4347,5,168,0,29,2,62,0,7,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.00890668409870894,0.07924528301886792,0.13846153846153847,0.08823529411764706,0.2,109,12129,21,244,9,56,6,62,1,4,""
"axon-common-5.1.2","org.axonframework.common.infra","infra",0.019424460431654675,0.07575757575757576,0.09375,0.061224489795918366,0,27,1363,10,122,3,29,3,46,0,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core","core",0.028067931500035528,0.1650485436893204,0.17307692307692307,0.0975609756097561,0.25,395,13678,85,430,18,86,8,74,2,6,""
"axon-common-5.1.2","org.axonframework.common","common",0.030723488602576808,0.056666666666666664,0,0.012658227848101266,0,31,978,17,283,0,22,1,78,0,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.0389344262295082,0.125,0.3333333333333333,0.18181818181818182,0.4,19,469,9,63,4,8,4,18,2,3,""
"axon-conversion-5.1.2","org.axonframework.conversion","conversion",0.042134831460674156,0.13793103448275862,0.2631578947368421,0.11764705882352941,0.16666666666666666,30,682,12,75,5,14,4,30,1,5,""
"axon-common-5.1.2","org.axonframework.common.configuration","configuration",0.09375809375809376,0.28502415458937197,0.3,0.1388888888888889,0,362,3499,59,148,24,56,5,31,0,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","eventhandling",0.17655973730740085,0.22885572139303484,0.44642857142857145,0.1875,0.2857142857142857,699,3260,46,155,25,31,9,39,2,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","commandhandling",0.2055363321799308,0.28225806451612906,0.4634146341463415,0.1875,0.2857142857142857,297,1148,35,89,19,22,6,26,2,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","monitoring",0.21359223300970873,0.19047619047619047,0.5714285714285714,0.3076923076923077,0.3333333333333333,22,81,8,34,4,3,4,9,1,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","conversion",0.22580645161290322,0.1724137931034483,0.5714285714285714,0.22727272727272727,0.3333333333333333,21,72,5,24,4,3,5,17,2,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.2494061757719715,0.30864197530864196,0.46153846153846156,0.35294117647058826,0.25,105,316,25,56,12,14,6,11,1,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2702702702702703,0.2,1,0.4444444444444444,0.5,10,27,4,16,2,0,4,5,1,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",0.3,0.3,0,0.3333333333333333,0.6666666666666666,3,7,3,7,0,0,3,6,2,1,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",0.3333333333333333,0.4444444444444444,0,0.3333333333333333,0,4,8,4,5,0,0,2,4,0,1,""
"axon-common-5.1.2","org.axonframework.common.util","util",0.3333333333333333,0.2857142857142857,0,0.3333333333333333,0,3,6,2,5,0,0,2,4,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","tracing",0.3333333333333333,0.32075471698113206,0.5333333333333333,0.45454545454545453,0.5,68,136,17,36,8,7,5,6,1,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","springboot",0.35294117647058826,0.4,0,0.5,1,6,11,4,6,0,0,2,2,1,0,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","repository",0.36363636363636365,0.35294117647058826,0.5714285714285714,0.38461538461538464,0.6666666666666666,56,98,12,22,8,6,5,8,2,1,""
"axon-common-5.1.2","org.axonframework.common.tx","tx",0.375,0.23076923076923078,0.6666666666666666,0.2,0,6,10,3,10,2,1,2,8,0,2,""
"axon-update-5.1.2","org.axonframework.update.api","api",0.3793103448275862,0.38461538461538464,0,0.4,1,11,18,5,8,0,1,2,3,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.38095238095238093,0.38461538461538464,0.75,0.5,0,8,13,5,8,3,1,4,4,0,0,""
