"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","numberAbstractClasses","weightedAbstractTypes","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Abstractness_for_Java.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","correlation",0.42857142857142855,3,7,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","queryhandling",0.44,11,25,0,11,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","gateway",0.4444444444444444,4,9,0,4,""
"axon-test-5.1.2","org.axonframework.test.fixture","fixture",0.44545454545454544,15,33,1,14.7,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","eventhandling",0.4666666666666667,9,18,2,8.4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.47058823529411764,8,17,0,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","commandhandling",0.47368421052631576,9,19,0,9,""
"axon-common-5.1.2","org.axonframework.common.jdbc","jdbc",0.4785714285714286,7,14,1,6.7,""
"axon-common-5.1.2","org.axonframework.common.configuration","configuration",0.49803921568627446,26,51,2,25.4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.5,6,12,0,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","annotation",0.5,6,12,0,6,""
"axon-common-5.1.2","org.axonframework.common.annotation","annotation",0.5,3,6,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","gateway",0.5,3,6,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing","processing",0.5,2,4,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.5,2,4,0,2,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","snapshot",0.5,1,2,0,1,""
"axon-update-5.1.2","org.axonframework.update.common","common",0.5,1,2,0,1,""
"axon-common-5.1.2","org.axonframework.common.io","io",0.5,1,2,0,1,""
"axon-common-5.1.2","org.axonframework.common.digest","digest",0.5,1,2,0,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",0.5,1,2,0,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0.5,1,2,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry","retry",0.5,1,2,0,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","configuration",0.5714285714285714,8,14,0,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","replay",0.5833333333333334,7,12,0,7,""
"axon-test-5.1.2","org.axonframework.test.extension","extension",0.6,3,5,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","annotation",0.625,5,8,0,5,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","repository",0.6666666666666666,6,9,0,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",0.6666666666666666,4,6,0,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion","conversion",0.6666666666666666,2,3,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","gateway",0.6666666666666666,2,3,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","conversion",0.6666666666666666,2,3,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","configuration",0.7333333333333333,11,15,0,11,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","annotation",0.75,9,12,0,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","configuration",0.8,4,5,0,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","configuration",0.8,4,5,0,4,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator","actuator",0.85,2,2,1,1.7,""
"axon-common-5.1.2","org.axonframework.common.function","function",1,3,3,0,3,""
"axon-common-5.1.2","org.axonframework.common.tx","tx",1,2,2,0,2,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",1,2,2,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",1,2,2,0,2,""
