"artifactName","fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","numberAbstractClasses","weightedAbstractTypes","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Abstractness_for_Java.cypher"
"axon-modelling-5.1.2","org","org",0,0,0,0,0,""
"axon-modelling-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-server-connector-5.1.2","io","io",0,0,0,0,0,""
"axon-server-connector-5.1.2","io.axoniq","axoniq",0,0,0,0,0,""
"axon-server-connector-5.1.2","io.axoniq.framework","framework",0,0,0,0,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver","axonserver",0,0,0,0,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector","connector",0,0,0,0,0,""
"axon-update-5.1.2","org","org",0,0,0,0,0,""
"axon-update-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-common-5.1.2","org","org",0,0,0,0,0,""
"axon-common-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-test-5.1.2","org","org",0,0,0,0,0,""
"axon-test-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-tracing-opentelemetry-5.1.2","org","org",0,0,0,0,0,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension","extension",0,0,0,0,0,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing","tracing",0,0,0,0,0,""
"axon-eventsourcing-5.1.2","org","org",0,0,0,0,0,""
"axon-eventsourcing-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot","snapshot",0,0,0,0,0,""
"axon-metrics-micrometer-5.1.2","org","org",0,0,0,0,0,""
"axon-metrics-micrometer-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension","extension",0,0,0,0,0,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics","metrics",0,0,0,0,0,""
"axon-conversion-5.1.2","org","org",0,0,0,0,0,""
"axon-conversion-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-messaging-5.1.2","org","org",0,0,0,0,0,""
"axon-messaging-5.1.2","org.axonframework","axonframework",0,0,0,0,0,""
"axon-messaging-5.1.2","org.axonframework.messaging","messaging",0,0,0,0,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io","io",0,0,0,0,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq","axoniq",0,0,0,0,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework","framework",0,0,0,0,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service","service",0,0,0,0,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","event",0.06666666666666667,1,15,0,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.07142857142857142,1,14,0,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","micrometer",0.08333333333333333,1,12,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","interception",0.1111111111111111,1,9,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","timeout",0.1111111111111111,1,9,0,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","autoconfig",0.1111111111111111,1,9,0,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","shared",0.125,1,8,0,1,""
"axon-test-5.1.2","org.axonframework.test.matchers","matchers",0.14166666666666666,4,24,2,3.4,""
"axon-update-5.1.2","org.axonframework.update.api","api",0.14285714285714285,1,7,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","interception",0.14285714285714285,1,7,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing.attributes","attributes",0.14285714285714285,1,7,0,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","springboot",0.14285714285714285,1,7,0,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","api",0.15384615384615385,2,13,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","sequencing",0.16666666666666666,2,12,0,2,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",0.16666666666666666,1,6,0,1,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",0.16666666666666666,1,6,0,1,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","jackson",0.16666666666666666,1,6,0,1,""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","converter",0.16666666666666666,1,6,0,1,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","jackson2",0.16666666666666666,1,6,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","interception",0.16666666666666666,1,6,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",0.16666666666666666,1,6,0,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","query",0.18888888888888888,2,9,1,1.7,""
"axon-common-5.1.2","org.axonframework.common","common",0.19117647058823528,8,34,5,6.5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.2,2,10,0,2,""
"axon-update-5.1.2","org.axonframework.update.detection","detection",0.2,1,5,0,1,""
"axon-test-5.1.2","org.axonframework.test","test",0.2,1,5,0,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot","springboot",0.2,1,5,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0.2,1,5,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","interception",0.22727272727272727,5,22,0,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","query",0.25,1,4,0,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","command",0.25,1,4,0,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","command",0.25,1,4,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","interception",0.25,1,4,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.25,1,4,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","reflection",0.25,1,4,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.2576923076923077,7,26,1,6.7,""
"axon-messaging-5.1.2","org.axonframework.messaging.core","core",0.271264367816092,26,87,8,23.6,""
"axon-common-5.1.2","org.axonframework.common.lock","lock",0.2727272727272727,3,11,0,3,""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","avro",0.2727272727272727,3,11,0,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.2833333333333333,2,6,1,1.7,""
"axon-common-5.1.2","org.axonframework.common.caching","caching",0.2846153846153846,4,13,1,3.7,""
"axon-modelling-5.1.2","org.axonframework.modelling","modelling",0.29411764705882354,5,17,0,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","configuration",0.3,3,10,0,3,""
"axon-test-5.1.2","org.axonframework.test.util","util",0.30833333333333335,4,12,1,3.7,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.31333333333333335,5,15,1,4.7,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","eventstore",0.3153846153846154,17,52,2,16.4,""
"axon-conversion-5.1.2","org.axonframework.conversion","conversion",0.3333333333333333,4,12,0,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","annotation",0.3333333333333333,4,12,0,4,""
"axon-common-5.1.2","org.axonframework.common.infra","infra",0.3333333333333333,3,9,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.3333333333333333,3,9,0,3,""
"axon-update-5.1.2","org.axonframework.update","update",0.3333333333333333,2,6,0,2,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","api",0.3333333333333333,2,6,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","tracing",0.3333333333333333,2,6,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.3333333333333333,2,6,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.3333333333333333,2,6,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0.3333333333333333,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection","reflection",0.3333333333333333,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",0.3333333333333333,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",0.3333333333333333,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","configuration",0.3333333333333333,1,3,0,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","axonserver",0.3333333333333333,1,3,0,1,""
"axon-common-5.1.2","org.axonframework.common.property","property",0.33999999999999997,4,10,2,3.4,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","annotation",0.3471698113207547,19,53,2,18.4,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","annotation",0.3526315789473684,7,19,1,6.7,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","entity",0.35714285714285715,5,14,0,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","retry",0.35714285714285715,5,14,0,5,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","annotation",0.36363636363636365,4,11,0,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","annotation",0.3684210526315789,7,19,0,7,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.375,6,16,0,6,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","configuration",0.375,3,8,0,3,""
"axon-update-5.1.2","org.axonframework.update.configuration","configuration",0.375,3,8,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","tracing",0.375,3,8,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","tracing",0.375,3,8,0,3,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","util",0.39166666666666666,5,12,1,4.7,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","configuration",0.4,6,15,0,6,""
"axon-common-5.1.2","org.axonframework.common.jpa","jpa",0.4,2,5,0,2,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection","connection",0.4,2,5,0,2,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","child",0.4266666666666667,7,15,2,6.4,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","tracing",0.42857142857142855,6,14,0,6,""
"axon-common-5.1.2","org.axonframework.common.util","util",0.42857142857142855,3,7,0,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","eventsourcing",0.42857142857142855,3,7,0,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","reflection",0.42857142857142855,3,7,0,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","handler",0.42857142857142855,3,7,0,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","monitoring",0.42857142857142855,3,7,0,3,""
