"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core","core",13678,44658,430,86,74,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","unitofwork",12129,42312,244,56,62,4,""
"axon-common-5.1.2","org.axonframework.common.annotation","annotation",4347,4681,168,29,62,7,""
"axon-common-5.1.2","org.axonframework.common.configuration","configuration",3499,19424,148,56,31,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","eventhandling",3260,11525,155,31,39,5,""
"axon-common-5.1.2","org.axonframework.common.infra","infra",1363,1666,122,29,46,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","commandhandling",1148,4247,89,22,26,5,""
"axon-common-5.1.2","org.axonframework.common","common",978,2477,283,22,78,9,""
"axon-conversion-5.1.2","org.axonframework.conversion","conversion",682,2575,75,14,30,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","annotation",509,1695,119,11,23,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",469,2329,63,8,18,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","queryhandling",443,1697,64,14,14,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","eventstreaming",316,893,56,14,11,3,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","eventstore",275,903,71,10,12,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","tracing",136,478,36,7,6,1,""
"axon-test-5.1.2","org.axonframework.test.fixture","fixture",134,376,29,1,2,0,""
"axon-modelling-5.1.2","org.axonframework.modelling","modelling",126,284,36,9,10,2,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","entity",119,398,26,5,6,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",117,892,35,6,10,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","repository",98,452,22,6,8,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","child",89,230,28,7,3,0,""
