"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabel","numberOfUsingPackages","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","Interface InternalJavaType",59,""
"org.axonframework.common.annotation.Internal","Internal","Annotation InternalJavaType",58,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","Interface InternalJavaType",45,""
"org.axonframework.messaging.core.Message","Message","Interface InternalJavaType",45,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","Interface InternalJavaType",37,""
"org.axonframework.messaging.core.MessageStream","MessageStream","Interface GenericDeclaration",36,""
"org.axonframework.messaging.core.MessageType","MessageType","Record InternalJavaType",34,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","Record InternalJavaType",33,""
"org.axonframework.common.configuration.Configuration","Configuration","Interface InternalJavaType",27,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","Class GenericDeclaration",27,""
"org.axonframework.common.FutureUtils","FutureUtils","Class InternalJavaType",27,""
"org.axonframework.messaging.core.MessageStream$Empty","MessageStream$Empty","Interface GenericDeclaration",26,""
"org.axonframework.conversion.Converter","Converter","Interface InternalJavaType",25,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","Interface InternalJavaType",23,""
"org.axonframework.common.Assert","Assert","Class InternalJavaType",21,""
"org.axonframework.common.BuilderUtils","BuilderUtils","Class InternalJavaType",20,""
"org.axonframework.common.configuration.ComponentRegistry","ComponentRegistry","Interface InternalJavaType",20,""
"org.axonframework.messaging.core.MessageStream$Entry","MessageStream$Entry","Interface GenericDeclaration",20,""
"org.axonframework.messaging.core.annotation.ParameterResolverFactory","ParameterResolverFactory","Interface InternalJavaType",19,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","Interface InternalJavaType",18,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","Interface GenericDeclaration",18,""
"org.axonframework.messaging.core.MessageTypeResolver","MessageTypeResolver","Interface InternalJavaType",18,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken","TrackingToken","Interface InternalJavaType",17,""
"org.axonframework.common.configuration.ConfigurationEnhancer","ConfigurationEnhancer","Interface InternalJavaType",16,""
"org.axonframework.messaging.core.conversion.MessageConverter","MessageConverter","Interface InternalJavaType",16,""
"org.axonframework.messaging.core.Metadata","Metadata","Class InternalJavaType",16,""
"org.axonframework.common.ObjectUtils","ObjectUtils","Class InternalJavaType",16,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","Class Throwable",15,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","Class InternalJavaType",15,""
"org.axonframework.messaging.core.Context","Context","Interface InternalJavaType",13,""
"org.axonframework.common.annotation.AnnotationUtils","AnnotationUtils","Class InternalJavaType",11,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","Class InternalJavaType",11,""
"org.axonframework.messaging.commandhandling.CommandBus","CommandBus","Interface InternalJavaType",11,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage","Interface InternalJavaType",11,""
"org.axonframework.common.configuration.ComponentBuilder","ComponentBuilder","Interface GenericDeclaration",11,""
"org.axonframework.common.configuration.ComponentDefinition","ComponentDefinition","Interface GenericDeclaration",11,""
"org.axonframework.common.configuration.ComponentDefinition$IncompleteComponentDefinition","ComponentDefinition$IncompleteComponentDefinition","Interface GenericDeclaration",11,""
"org.axonframework.messaging.eventhandling.conversion.EventConverter","EventConverter","Interface InternalJavaType",11,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","Interface GenericDeclaration",11,""
"org.axonframework.common.TypeReference","TypeReference","Class GenericDeclaration",11,""
"org.axonframework.common.AxonException","AxonException","Class InternalJavaType",10,""
"org.axonframework.messaging.core.MessageHandlerInterceptor","MessageHandlerInterceptor","Interface GenericDeclaration",10,""
"org.axonframework.messaging.queryhandling.QueryMessage","QueryMessage","Interface InternalJavaType",10,""
"org.axonframework.messaging.eventhandling.EventHandlingComponent","EventHandlingComponent","Interface InternalJavaType",9,""
"org.axonframework.messaging.core.GenericMessage","GenericMessage","Class InternalJavaType",9,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","Interface GenericDeclaration",9,""
"org.axonframework.common.StringUtils","StringUtils","Class InternalJavaType",9,""
"org.axonframework.messaging.commandhandling.CommandHandler","CommandHandler","Interface InternalJavaType",8,""
"org.axonframework.messaging.core.MessageHandlerInterceptorChain","MessageHandlerInterceptorChain","Interface GenericDeclaration",8,""
"org.axonframework.messaging.monitoring.MessageMonitor","MessageMonitor","Interface GenericDeclaration",8,""
"org.axonframework.common.Registration","Registration","Interface InternalJavaType",8,""
"org.axonframework.common.tx.TransactionalExecutor","TransactionalExecutor","Interface GenericDeclaration",8,""
"org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory","UnitOfWorkFactory","Interface InternalJavaType",8,""
"org.axonframework.conversion.ConversionException","ConversionException","Class Throwable",7,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","Interface InternalJavaType",7,""
"org.axonframework.messaging.eventhandling.GenericEventMessage","GenericEventMessage","Class InternalJavaType",7,""
"org.axonframework.messaging.core.annotation.HandlerEnhancerDefinition","HandlerEnhancerDefinition","Interface InternalJavaType",7,""
"org.axonframework.messaging.core.MessageDispatchInterceptor","MessageDispatchInterceptor","Interface GenericDeclaration",7,""
"org.axonframework.common.configuration.Module","Module","Interface InternalJavaType",7,""
"org.axonframework.common.configuration.ModuleBuilder","ModuleBuilder","Interface GenericDeclaration",7,""
"org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage","SubscriptionQueryUpdateMessage","Interface InternalJavaType",7,""
"org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember","WrappedMessageHandlingMember","Class GenericDeclaration",7,""
"org.axonframework.common.AxonTransientException","AxonTransientException","Class InternalJavaType",6,""
"org.axonframework.common.configuration.BaseModule","BaseModule","Class GenericDeclaration",6,""
"org.axonframework.messaging.core.annotation.HandlerDefinition","HandlerDefinition","Interface InternalJavaType",6,""
"org.axonframework.common.Priority","Priority","Annotation InternalJavaType",6,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$ErrorHandler","ProcessingLifecycle$ErrorHandler","Interface InternalJavaType",6,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$Phase","ProcessingLifecycle$Phase","Interface InternalJavaType",6,""
"org.axonframework.messaging.eventhandling.replay.ResetContext","ResetContext","Interface InternalJavaType",6,""
