"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","configuration",9,32,4,4,1,0,""
"axon-common-5.1.2","org.axonframework.common.jdbc","jdbc",8,37,6,0,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",8,23,7,0,6,2,""
"axon-test-5.1.2","org.axonframework.test.matchers","matchers",8,27,4,0,1,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",7,18,7,0,6,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","configuration",7,22,7,0,7,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","correlation",7,25,3,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",7,20,3,2,2,1,""
"axon-common-5.1.2","org.axonframework.common.function","function",6,13,5,1,5,1,""
"axon-common-5.1.2","org.axonframework.common.property","property",6,19,3,0,3,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","annotation",6,17,2,0,2,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","handler",6,16,2,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","reflection",6,6,6,0,5,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",6,15,4,2,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","configuration",6,86,4,1,3,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","annotation",6,13,5,0,4,1,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",5,30,3,0,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","gateway",5,14,3,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","interception",5,10,1,0,1,0,""
"axon-common-5.1.2","org.axonframework.common.jpa","jpa",4,13,3,0,2,1,""
"axon-common-5.1.2","org.axonframework.common.util","util",4,12,3,0,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","annotation",4,8,4,1,4,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","gateway",4,9,3,0,2,0,""
"axon-update-5.1.2","org.axonframework.update.detection","detection",4,7,2,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","command",3,8,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","query",3,6,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","util",3,11,3,0,3,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","configuration",3,3,3,1,3,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","annotation",3,6,3,1,3,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","configuration",3,3,3,1,3,2,""
"axon-update-5.1.2","org.axonframework.update.configuration","configuration",3,16,3,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","configuration",2,2,2,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","event",2,9,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator","actuator",2,7,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","axonserver",2,7,1,0,1,0,""
"axon-common-5.1.2","org.axonframework.common.io","io",2,4,2,0,2,1,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",2,12,2,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","interception",2,4,1,0,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","retry",2,5,1,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","interception",2,4,2,0,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","annotation",2,3,2,1,2,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","gateway",2,4,1,0,1,0,""
"axon-test-5.1.2","org.axonframework.test.fixture","fixture",2,6,2,1,1,0,""
"axon-test-5.1.2","org.axonframework.test.util","util",2,4,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","command",1,8,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","query",1,8,1,0,1,0,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","snapshot",1,2,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service","service",1,5,1,0,1,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection","connection",1,5,1,0,1,0,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","jackson",1,2,1,0,1,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","reflection",1,1,1,0,1,0,""
