"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_and_set_Instability_for_Java_Including_Subpackages.cypher"
"axon-common-5.1.2","org.axonframework.common.annotation","annotation",0.0006899724011039559,0.01775147928994083,0,0.016129032258064516,0,3,4345,3,166,0,29,1,61,0,7,""
"axon-common-5.1.2","org.axonframework.common.infra","infra",0.003692762186115214,0.025,0,0.0425531914893617,0,5,1349,3,117,0,29,2,45,0,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","unitofwork",0.01664005378603244,0.07024793388429752,0.5,0.14705882352941177,0.2857142857142857,198,11701,17,225,56,56,10,58,2,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core","core",0.022736479643508202,0.20824295010845986,0.398989898989899,0.297029702970297,0.2222222222222222,449,19299,96,365,79,119,30,71,2,7,""
"axon-common-5.1.2","org.axonframework.common.configuration","configuration",0.03643724696356275,0.10344827586206896,0.44,0.11764705882352941,0,126,3332,12,104,44,56,4,30,0,8,""
"axon-conversion-5.1.2","org.axonframework.conversion","conversion",0.0464,0.1111111111111111,0.5,0.10714285714285714,0,29,596,6,48,14,14,3,25,0,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","conversion",0.12345679012345678,0.14814814814814814,0.5,0.2,0.3333333333333333,10,71,4,23,3,3,4,16,2,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.14065934065934066,0.3,0.5,0.45454545454545453,0.4,64,391,21,49,8,8,10,12,2,3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","eventstreaming",0.14563106796116504,0.19230769230769232,0.5,0.3333333333333333,0.25,45,264,10,42,14,14,5,10,1,3,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",0.16666666666666666,0.25,0,0.25,0,1,5,1,3,0,0,1,3,0,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","repository",0.16666666666666666,0.22727272727272727,0.45454545454545453,0.36363636363636365,0.5,17,85,5,17,5,6,4,7,1,1,""
"axon-common-5.1.2","org.axonframework.common.util","util",0.2,0.25,0,0.25,0,1,4,1,3,0,0,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","tracing",0.2074074074074074,0.3,0.46153846153846156,0.5,0.5,28,107,9,21,6,7,4,4,1,1,""
"axon-common-5.1.2","org.axonframework.common.tx","tx",0.23076923076923078,0.23076923076923078,0.5,0.2,0,3,10,3,10,1,1,2,8,0,2,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.23076923076923078,0.3333333333333333,0.5,0.5,0,3,10,3,6,1,1,3,3,0,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","annotation",0.23722627737226276,0.3305785123966942,0.5,0.3125,0.25,130,418,40,81,11,11,10,22,1,3,""
"axon-common-5.1.2","org.axonframework.common.property","property",0.25,0.4,0,0.25,0,2,6,2,3,0,0,1,3,0,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","eventhandling",0.25473264696114245,0.5138888888888888,0.5714285714285714,0.42857142857142855,0.25,767,2244,111,105,52,39,21,28,2,6,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","api",0.26666666666666666,0.18181818181818182,0.5,0.25,0.5,4,11,2,9,3,3,2,6,1,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","commandhandling",0.2727272727272727,0.536,0.5306122448979592,0.4117647058823529,0.2857142857142857,285,760,67,58,26,23,14,20,2,5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",0.3,0.3,0,0.3333333333333333,0.6666666666666666,3,7,3,7,0,0,3,6,2,1,""
"axon-update-5.1.2","org.axonframework.update.api","api",0.3157894736842105,0.16666666666666666,0.5,0.3333333333333333,0,6,13,1,5,1,1,1,2,0,0,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot","snapshot",0.3181818181818182,0.3076923076923077,0.5,0.4444444444444444,0.6666666666666666,7,15,4,9,3,3,4,5,2,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion","conversion",0.32,0.2727272727272727,0.5,0.3125,0.3333333333333333,8,17,6,16,1,1,5,11,2,4,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator","actuator",0.3333333333333333,0.5,0,0.5,0,1,2,1,1,0,0,1,1,0,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.34838709677419355,0.45652173913043476,0.5,0.5,0.5,54,101,21,25,6,6,9,9,1,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","api",0.38461538461538464,0.47368421052631576,0,0.3333333333333333,0.6666666666666666,15,24,9,10,0,0,4,8,2,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","util",0.4,0.4,1,0.25,0,2,3,2,3,1,0,1,3,0,0,""
"axon-common-5.1.2","org.axonframework.common.jdbc","jdbc",0.42857142857142855,0.4,0,0.5714285714285714,0,6,8,4,6,0,0,4,3,0,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","child",0.46938775510204084,0.5151515151515151,0.5,0.8,1,46,52,17,16,7,7,8,2,2,0,""
"axon-update-5.1.2","org.axonframework.update.common","common",0.5,0.5,0,0.5,0,1,1,1,1,0,0,1,1,0,0,""
"axon-common-5.1.2","org.axonframework.common.jpa","jpa",0.5555555555555556,0.5714285714285714,0,0.6666666666666666,0,5,4,4,3,0,0,4,2,0,1,""
"axon-update-5.1.2","org.axonframework.update.detection","detection",0.5555555555555556,0.5,0,0.6666666666666666,1,5,4,2,2,0,0,2,1,1,0,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.55765595463138,0.7168141592920354,0.48,0.625,0.3333333333333333,295,234,81,32,12,13,20,12,2,4,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","queryhandling",0.5689277899343544,0.6847826086956522,0.5714285714285714,0.5217391304347826,0.3333333333333333,260,197,63,29,16,12,12,11,2,4,""
"axon-test-5.1.2","org.axonframework.test.matchers","matchers",0.5789473684210527,0.6363636363636364,0,0.8333333333333334,1,11,8,7,4,0,0,5,1,2,0,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","axonserver",0.6,0.6666666666666666,0,0.6666666666666666,1,3,2,2,1,0,0,2,1,1,0,""
