"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: domains/internal-dependencies/queries/visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","timeout",6,9,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","token",6,9,0.6666666666666666,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.autoconfig","autoconfig",6,9,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway","gateway",4,6,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.tracing","tracing",4,6,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","transaction",4,6,0.6666666666666666,""
"axon-common-5.1.2","org.axonframework.common.function","function",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration","configuration",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion","conversion",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion","conversion",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway","gateway",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection","reflection",2,3,0.6666666666666666,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver","axonserver",2,3,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core","core",57,87,0.6551724137931034,""
"axon-modelling-5.1.2","org.axonframework.modelling.configuration","configuration",9,14,0.6428571428571429,""
"axon-common-5.1.2","org.axonframework.common.caching","caching",8,13,0.6153846153846154,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","event",9,15,0.6,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.configuration","configuration",3,5,0.6,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.configuration","configuration",3,5,0.6,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot","springboot",3,5,0.6,""
"axon-test-5.1.2","org.axonframework.test.extension","extension",3,5,0.6,""
"axon-test-5.1.2","org.axonframework.test","test",3,5,0.6,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection","connection",3,5,0.6,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","reflection",4,7,0.5714285714285714,""
"axon-common-5.1.2","org.axonframework.common.infra","infra",5,9,0.5555555555555556,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","query",5,9,0.5555555555555556,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming","eventstreaming",9,17,0.5294117647058824,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared","shared",4,8,0.5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api","api",3,6,0.5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.interception","interception",2,4,0.5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command","command",2,4,0.5,""
"axon-common-5.1.2","org.axonframework.common.digest","digest",1,2,0.5,""
"axon-common-5.1.2","org.axonframework.common.io","io",1,2,0.5,""
"axon-common-5.1.2","org.axonframework.common.tx","tx",1,2,0.5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",1,2,0.5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.store","store",1,2,0.5,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry","retry",1,2,0.5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming","streaming",1,2,0.5,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",1,2,0.5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","snapshot",1,2,0.5,""
"axon-update-5.1.2","org.axonframework.update.common","common",1,2,0.5,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator","actuator",1,2,0.5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","configuration",7,15,0.4666666666666667,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception","interception",10,22,0.45454545454545453,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","jpa",6,14,0.42857142857142855,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception","interception",3,7,0.42857142857142855,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jpa","jpa",2,6,0.3333333333333333,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",1,3,0.3333333333333333,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.annotation","annotation",1,3,0.3333333333333333,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc","jdbc",1,3,0.3333333333333333,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.configuration","configuration",3,10,0.3,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",1,4,0.25,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",6,26,0.23076923076923078,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception","interception",2,9,0.2222222222222222,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,6,0.16666666666666666,""
