"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: domains/internal-dependencies/queries/visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling","commandhandling",18,19,0.9473684210526315,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.annotation","annotation",18,19,0.9473684210526315,""
"axon-modelling-5.1.2","org.axonframework.modelling","modelling",16,17,0.9411764705882353,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","configuration",14,15,0.9333333333333333,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","child",14,15,0.9333333333333333,""
"axon-common-5.1.2","org.axonframework.common.jdbc","jdbc",13,14,0.9285714285714286,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api","api",12,13,0.9230769230769231,""
"axon-test-5.1.2","org.axonframework.test.matchers","matchers",22,24,0.9166666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay","replay",11,12,0.9166666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing","sequencing",11,12,0.9166666666666666,""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","avro",10,11,0.9090909090909091,""
"axon-common-5.1.2","org.axonframework.common.property","property",9,10,0.9,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",9,10,0.9,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","queryhandling",22,25,0.88,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing","tracing",7,8,0.875,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.tracing","tracing",7,8,0.875,""
"axon-update-5.1.2","org.axonframework.update.configuration","configuration",7,8,0.875,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",13,15,0.8666666666666667,""
"axon-common-5.1.2","org.axonframework.common.util","util",6,7,0.8571428571428571,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing.attributes","attributes",6,7,0.8571428571428571,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.correlation","correlation",6,7,0.8571428571428571,""
"axon-update-5.1.2","org.axonframework.update.api","api",6,7,0.8571428571428571,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot","springboot",6,7,0.8571428571428571,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","annotation",45,53,0.8490566037735849,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","eventhandling",15,18,0.8333333333333334,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","annotation",10,12,0.8333333333333334,""
"axon-test-5.1.2","org.axonframework.test.util","util",10,12,0.8333333333333334,""
"axon-common-5.1.2","org.axonframework.common.annotation","annotation",5,6,0.8333333333333334,""
"axon-common-5.1.2","org.axonframework.common.lifecycle","lifecycle",5,6,0.8333333333333334,""
"axon-conversion-5.1.2","org.axonframework.conversion.converter","converter",5,6,0.8333333333333334,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson","jackson",5,6,0.8333333333333334,""
"axon-conversion-5.1.2","org.axonframework.conversion.jackson2","jackson2",5,6,0.8333333333333334,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring.interception","interception",5,6,0.8333333333333334,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",5,6,0.8333333333333334,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",5,6,0.8333333333333334,""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","opentelemetry",5,6,0.8333333333333334,""
"axon-update-5.1.2","org.axonframework.update","update",5,6,0.8333333333333334,""
"axon-common-5.1.2","org.axonframework.common","common",28,34,0.8235294117647058,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","annotation",9,11,0.8181818181818182,""
"axon-common-5.1.2","org.axonframework.common.jpa","jpa",4,5,0.8,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",4,5,0.8,""
"axon-update-5.1.2","org.axonframework.update.detection","detection",4,5,0.8,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","eventstore",41,52,0.7884615384615384,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","tracing",11,14,0.7857142857142857,""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","entity",11,14,0.7857142857142857,""
"axon-common-5.1.2","org.axonframework.common.configuration","configuration",40,51,0.7843137254901961,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.gateway","gateway",7,9,0.7777777777777778,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository","repository",7,9,0.7777777777777778,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork","unitofwork",12,16,0.75,""
"axon-conversion-5.1.2","org.axonframework.conversion","conversion",9,12,0.75,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","util",9,12,0.75,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","annotation",6,8,0.75,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.configuration","configuration",6,8,0.75,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",3,4,0.75,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing","processing",3,4,0.75,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection","reflection",3,4,0.75,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.command","command",3,4,0.75,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query","query",3,4,0.75,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","annotation",14,19,0.7368421052631579,""
"axon-common-5.1.2","org.axonframework.common.lock","lock",8,11,0.7272727272727273,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry","retry",10,14,0.7142857142857143,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","eventsourcing",5,7,0.7142857142857143,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.handler","handler",5,7,0.7142857142857143,""
"axon-messaging-5.1.2","org.axonframework.messaging.monitoring","monitoring",5,7,0.7142857142857143,""
"axon-test-5.1.2","org.axonframework.test.fixture","fixture",23,33,0.696969696969697,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","annotation",8,12,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay.annotation","annotation",8,12,0.6666666666666666,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","annotation",8,12,0.6666666666666666,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","micrometer",8,12,0.6666666666666666,""
