"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",52,93,586,1405,136,626,"<relative> of module <routes> imports <resolve> from external namespace <>,<relative> of module <routes> imports <resolve> from external namespace <>,<reactRouterVitePlugin> of module <vite> imports <Environment.config> from external namespace <>,<reactRouterVitePlugin> of module <vite> imports <isRunnableDevEnvironment> from external namespace <>",""
"@types",49,92,350,1157,136,626,"<index> of module <routes> imports <pick> from external namespace <@types>,<index> of module <routes> imports <pick> from external namespace <@types>,<layout> of module <routes> imports <pick> from external namespace <@types>,<layout> of module <routes> imports <pick> from external namespace <@types>",""
"@babel",5,6,67,147,136,626,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <MemberExpression.object> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ExpressionStatement.expression> from external namespace <@babel>",""
"@remix-run",5,3,5,7,136,626,"<reactRouterVitePlugin> of module <vite> imports <sendResponse> from external namespace <@remix-run>,<reactRouterVitePlugin> of module <plugin> imports <sendResponse> from external namespace <@remix-run>,<cloudflareDevProxyVitePlugin> of module <cloudflare> imports <sendResponse> from external namespace <@remix-run>,<cloudflareDevProxyVitePlugin> of module <cloudflare-dev-proxy> imports <sendResponse> from external namespace <@remix-run>",""
"@cloudflare",3,5,52,68,136,626,"<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Headers.delete> from external namespace <@cloudflare>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Response.body> from external namespace <@cloudflare>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <Request.headers> from external namespace <@cloudflare>,<createPagesFunctionHandler> of module <react-router-cloudflare> imports <EventContext> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,136,626,"<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.get> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.delete> from external namespace <@architect>,<createArcTableSessionStorage> of module <react-router-architect> imports <ArcTable.put> from external namespace <@architect>",""
"@mjackson",2,2,4,10,136,626,"<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>",""
