"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"node",20,233,1,79,3,11.650000000000002,22.56983315004904,31,1,8,1,1.5499999999999996,1.6050905860647504,0.7352941176470589,5.882352941176471,0.7352941176470589,1.1397058823529413,1.1802136662240812,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/config",""
"@types/process",17,39,1,5,2,2.2941176470588234,1.5315313367000096,22,1,4,1,1.2941176470588238,0.7717436331412897,0.7352941176470589,2.9411764705882355,0.7352941176470589,0.9515570934256056,0.5674585537803601,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/detectPackageManager",""
"dist",15,73,1,26,4,4.866666666666667,6.289068369192766,30,1,5,1,2,1.3627702877384937,0.7352941176470589,3.6764705882352944,0.7352941176470589,1.470588235294118,1.0020369762783041,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@types/path",12,38,1,7,2,3.166666666666667,2.2896340848319503,21,1,5,1,1.7499999999999998,1.2154310870109943,0.7352941176470589,3.6764705882352944,0.7352941176470589,1.286764705882353,0.8936993286845549,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/profiler",""
"node:fs",8,18,1,4,2,2.25,1.0350983390135313,12,1,3,1,1.5,0.9258200997725514,0.7352941176470589,2.2058823529411766,0.7352941176470589,1.1029411764705883,0.6807500733621702,"@react-router/vite,@react-router/plugin,@react-router/profiler,@react-router/flatRoutes",""
"@types/globals",7,7,1,1,1,1,0,11,1,3,1,1.5714285714285714,0.7867957924694431,0.7352941176470589,2.2058823529411766,0.7352941176470589,1.1554621848739497,0.5785263179922376,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/run",""
"picocolors",7,8,1,2,1,1.1428571428571428,0.3779644730092272,11,1,3,1,1.5714285714285714,0.7867957924694431,0.7352941176470589,2.2058823529411766,0.7352941176470589,1.1554621848739497,0.5785263179922376,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/typegen",""
"promises",7,28,1,7,4,4,2.309401076758503,15,1,4,2,2.142857142857143,1.3451854182690985,0.7352941176470589,2.9411764705882355,1.4705882352941178,1.5756302521008405,0.9891069251978667,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/typegen",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.7352941176470589,2.2058823529411766,0.7352941176470589,0.9803921568627452,0.6003651330350928,"@react-router/vite,@react-router/plugin,@react-router/generate,@react-router/babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.7352941176470589,1.4705882352941178,0.7352941176470589,0.857843137254902,0.3001825665175464,"@react-router/vite,@react-router/plugin,@react-router/react-router-node,@react-router/fileStorage",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,48,2,16,8,9.6,6.2289646009589745,6,1,2,1,1.2,0.4472135954999579,0.7352941176470589,1.4705882352941178,0.7352941176470589,0.8823529411764707,0.3288335261029103,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@remix-run/dist",5,5,1,1,1,1,0,5,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin,@react-router/cloudflare,@react-router/cloudflare-dev-proxy",""
"@types/react",5,33,1,12,6,6.6,4.8270073544588685,38,1,15,5,7.6,6.465291950097845,0.7352941176470589,11.029411764705884,3.6764705882352944,5.5882352941176485,4.753891139777829,"react-router,context,server,fog-of-war",""
"http",5,9,1,2,2,1.8,0.4472135954999579,7,1,2,1,1.4,0.5477225575051662,0.7352941176470589,1.4705882352941178,0.7352941176470589,1.0294117647058825,0.40273717463615155,"@react-router/vite,@react-router/plugin,@react-router/node-adapter,@react-router/react-router-node",""
"node:path",5,5,1,1,1,1,0,10,1,3,2,2,1,0.7352941176470589,2.2058823529411766,1.4705882352941178,1.4705882352941178,0.7352941176470589,"@react-router/profiler,@react-router/normalizeSlashes,@react-router/flatRoutes,@react-router/react-router-fs-routes",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.7352941176470589,2.2058823529411766,0.7352941176470589,1.1029411764705883,0.7352941176470589,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/config",""
"fs",4,11,2,3,3,2.75,0.5,5,1,2,1,1.25,0.5,0.7352941176470589,1.4705882352941178,0.7352941176470589,0.9191176470588236,0.36764705882352944,"@react-router/vite,@react-router/plugin,@react-router/flatRoutes,utils",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7352941176470589,3.6764705882352944,2.9411764705882355,2.450980392156863,1.530636764313333,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7352941176470589,1.4705882352941178,1.4705882352941178,1.2254901960784315,0.4245222567570778,"@react-router/vite,@react-router/plugin,@react-router/useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/remove-exports,@react-router/styles,@react-router/with-props",""
"lexer",3,3,1,1,1,1,0,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7352941176470589,1.4705882352941178,1.4705882352941178,1.2254901960784315,0.4245222567570778,"@react-router/vite,@react-router/plugin,@react-router/virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.7352941176470589,2.9411764705882355,1.4705882352941178,1.715686274509804,1.1231803173911372,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896258,3,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin,copy-template",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/remove-exports,@react-router/with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.4705882352941178,0,"@react-router/react-router-node,@react-router/server",""
"@types/api-gateway-proxy",2,17,3,14,8.5,8.5,7.7781745930520225,7,2,5,3.5,3.5,2.1213203435596424,1.4705882352941178,3.6764705882352944,2.573529411764706,2.573529411764706,1.5597943702644432,"@react-router/react-router-architect,@react-router/server",""
"@types/express",2,18,3,15,9,9,8.48528137423857,6,2,4,3,3,1.4142135623730951,1.4705882352941178,2.9411764705882355,2.2058823529411766,2.2058823529411766,1.039862913509629,"@react-router/react-router-express,@react-router/server",""
"@types/express-serve-static-core",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4705882352941178,2.2058823529411766,1.8382352941176472,1.8382352941176472,0.5199314567548144,"@react-router/react-router-express,@react-router/server",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/react-router-architect,@react-router/server",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4705882352941178,2.2058823529411766,1.8382352941176472,1.8382352941176472,0.5199314567548144,"@react-router/react-router-express,@react-router/server",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,2.2058823529411766,2.2058823529411766,2.2058823529411766,2.2058823529411766,0,"@react-router/react-router-node,@react-router/stream",""
"async_hooks",2,2,1,1,1,1,0,6,3,3,3,3,0,2.2058823529411766,2.2058823529411766,2.2058823529411766,2.2058823529411766,0,"server,react-router",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/cloudflare,@react-router/cloudflare-dev-proxy",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin",""
