"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: External_Dependencies/Package_json_dependencies_occurrence.cypher"
"react-dom",45,0,"integration-vite-5-template,integration,integration-vite-6-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-rsc-vite-framework,integration-cloudflare-dev-proxy-template,integration-rsc-vite,integration-vite-rolldown-template","","react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/integration,react-router-7.11.0/integration/helpers/vite-6-template",""
"react",45,0,"integration-vite-5-template,integration,integration-vite-6-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-rsc-vite-framework,integration-cloudflare-dev-proxy-template,integration-rsc-vite,integration-vite-rolldown-template","","react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/integration,react-router-7.11.0/integration/helpers/vite-6-template",""
"react-router",25,0,"react-router-dom,integration-vite-5-template,integration,integration-vite-6-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-rsc-vite-framework,integration-cloudflare-dev-proxy-template,integration-rsc-vite","","react-router-7.11.0/packages/react-router-dom,react-router-7.11.0/packages/create-react-router/__tests__/fixtures/basic,react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/integration/helpers/vite-5-template",""
"react-router-dom",23,0,"search-params,basic-data-router,ssr-data-router,basic,basic,auth,multi-app,modal-route-with-outlet,notes","","react-router-7.11.0/packages/create-react-router/__tests__/fixtures/basic,react-router-7.11.0/examples/search-params,react-router-7.11.0/examples/basic-data-router,react-router-7.11.0/examples/ssr-data-router",""
"isbot",21,0,"@react-router/dev,integration-vite-5-template,integration,integration-vite-6-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-cloudflare-dev-proxy-template,integration-vite-rolldown-template,@playground/framework-express","","react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/packages/react-router-dev,react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/integration",""
"@react-router/node",20,0,"@react-router/express,@react-router/dev,integration-vite-5-template,@react-router/serve,integration,integration-vite-6-template,integration-vite-7-beta-template,integration-vite-rolldown-template,@playground/framework-express","","react-router-7.11.0/packages/create-react-router/__tests__/fixtures/basic,react-router-7.11.0/packages/react-router-express,react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/packages/react-router-dev",""
"express",17,0,"integration-vite-5-template,@react-router/serve,integration,integration-vite-6-template,integration-vite-plugin-cloudflare-template,integration-vite-7-beta-template,integration-rsc-vite-framework,integration-rsc-vite,integration-vite-rolldown-template","","react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/packages/react-router-serve,react-router-7.11.0/integration,react-router-7.11.0/integration/helpers/vite-6-template",""
"@react-router/serve",12,0,"integration-vite-5-template,integration-vite-6-template,integration-vite-7-beta-template,integration-rsc-vite-framework,integration-vite-rolldown-template,@playground/framework,@playground/framework-vite-7-beta,@playground/split-route-modules,@playground/framework-rolldown-vite","","react-router-7.11.0/packages/react-router-dev/__tests__/fixtures/basic,react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/integration/helpers/vite-6-template,react-router-7.11.0/integration/helpers/vite-7-beta-template",""
"compression",10,0,"@react-router/serve,integration-rsc-vite-framework,integration-rsc-vite,@playground/framework-express,@playground/rsc-vite-framework,@playground/framework,@playground/rsc-vite,ssr-data-router,multi-app","","react-router-7.11.0/packages/react-router-serve,react-router-7.11.0/integration/helpers/rsc-vite-framework,react-router-7.11.0/integration/helpers/rsc-vite,react-router-7.11.0/playground/framework-express",""
"@react-router/express",8,0,"integration-vite-5-template,@react-router/serve,integration,integration-vite-6-template,integration-vite-7-beta-template,integration-vite-rolldown-template,@playground/framework-express,@playground/framework","","react-router-7.11.0/integration/helpers/vite-5-template,react-router-7.11.0/packages/react-router-serve,react-router-7.11.0/integration,react-router-7.11.0/integration/helpers/vite-6-template",""
