"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,488,1,117,4.5,10.60869565217391,22.98064718252156,104,1,13,1,2.260869565217391,2.3422191054989394,0.7352941176470589,9.558823529411764,0.7352941176470589,1.6624040920716112,1.7222199305139259,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@types",43,229,1,39,3,5.325581395348838,7.083585755387686,118,1,15,1,2.744186046511628,3.1704966056545985,0.7352941176470589,11.029411764705884,0.7352941176470589,2.017783857729138,2.331247504157793,"@react-router/routes,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@babel",5,51,2,17,10,10.2,6.418722614352486,6,1,2,1,1.2,0.4472135954999579,0.7352941176470589,1.4705882352941178,0.7352941176470589,0.8823529411764707,0.3288335261029103,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@remix-run",5,5,1,1,1,1,0,5,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/vite,@react-router/plugin,@react-router/cloudflare,@react-router/cloudflare-dev-proxy",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7352941176470589,3.6764705882352944,2.9411764705882355,2.450980392156863,1.530636764313333,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,0,"@react-router/react-router-architect,@react-router/arcTableSessionStorage",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4705882352941178,1.4705882352941178,1.4705882352941178,1.4705882352941178,0,"@react-router/react-router-node,@react-router/server",""
