"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",127,204,4,132,26,3300,"Environment.config,isRunnableDevEnvironment,UserConfig.plugins,PluginContainer.buildStart,Plugin,ViteDevServer.ssrLoadModule,ModuleRunner.import,ManifestChunk.css,init,Connect.IncomingMessage.url,readdirSync,Logger.error,DevEnvironment.reloadModule,PluginContext.resolve,ResolvedConfig,cp,PluginContext.environment,Dirent.isFile,mkdir,existsSync,ResolvedConfig.configFile,ModuleNode.url,ResolvedConfig.build,Dirent.path,ConfigEnv.command,Hash.update,ResolvedId.id,ViteDevServer.ssrFixStacktrace,createLogger,picocolors,ViteDevServer,ResolvedConfig.mode,PreviewServer.middlewares,readFile,ManifestChunk.assets,UserConfig.environments,PreviewServer,UserConfig.build,DevEnvironment.name,UserConfig.server,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,readdir,ResolvedConfig.logger,rename,Hash.digest,Logger.info,UserConfig.root,ManifestChunk.file,createServer,ResolvedBuildOptions.assetsDir,DevEnvironment.moduleGraph,loadConfigFromFile,ViteDevServer.middlewares,HotBroadcaster.send,URL.href,createHash,ViteDevServer.hot,ViteDevServer.environments,EnvironmentOptions.resolve,ConfigEnv.isSsrBuild,rmSync,ServerResponse.end,ResolvedConfig.server,Connect.Server.use,ViteBuilder.environments,RunnableDevEnvironment.runner,UserConfig.logLevel,rm,normalizePath,Environment.name,ViteBuilder.build,defaultClientConditions,Plugin.name,EnvironmentOptions,UserConfig.base,Dirent.name,ViteDevServer.pluginContainer,ViteDevServer.config,.pathToFileURL,ServerResponse.setHeader,EnvironmentOptions.optimizeDeps,ResolvedConfig.command,ViteDevServer.transformRequest,ModuleNode.file,HotUpdatePluginContext.environment,EnvironmentModuleGraph.getModulesByFile,TransformPluginContext.environment,RollupLog.code,ResolvedEnvironmentOptions.build,ResolvedBuildEnvironmentOptions.outDir,RollupLog.message,DevEnvironment.pluginContainer,ResolvedConfig.base,BuildEnvironmentOptions.rollupOptions,EnvironmentPluginContainer.transform,PluginOption,dist,path.dirname,join,path.normalize,RollupLog.pos,relative,EnvironmentModuleNode.id,RollupOptions.onwarn,isCSSRequest,ResolvedConfig.environments,resolve,EnvironmentModuleNode.file,node",""
"vite","@types",24,44,4,132,26,3300,"jsesc,path.PlatformPath.join,path.PlatformPath.dirname,GeneratorResult.code,path.PlatformPath.relative,GeneratorResult,BabelFileResult.map,global.NodeJS.Process.env,global.Buffer.toString,path.PlatformPath.basename,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,transformAsync,path.PlatformPath.posix,pick,global.NodeRequire.resolve,path.PlatformPath.resolve,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,BabelFileResult.code",""
"vite","@remix-run",1,2,4,132,26,3300,"sendResponse",""
"remove-exports","@babel",17,58,1,23,4,2300,"MemberExpression.object,ExpressionStatement.expression,ExportSpecifier.local,ExportDeclaration.type,Identifier.name,FunctionDeclaration.id,VariableDeclaration.declarations,Expression.type,ExportSpecifier.exported,ExportNamedDeclaration.declaration,ClassDeclaration.id,ExportNamedDeclaration.specifiers,ExportDefaultDeclaration.declaration,LVal.type,VariableDeclarator.id,AssignmentExpression.left,ParseResult",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.node,NodePath.remove,NodePath.parentPath,NodePath.isProgram",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isFunctionDeclaration,NodePath.isIdentifier,NodePath.isExportNamedDeclaration,NodePath.replaceWith,NodePath.scope,Scope.generateUidIdentifier,NodePath.isExportDefaultDeclaration,NodePath.isExpression,NodePath.isVariableDeclaration,NodePath.node,NodePath.get",""
"with-props","@babel",10,14,1,21,4,2100,"importSpecifier,stringLiteral,variableDeclaration,callExpression,ParseResult,importDeclaration,Program.body,ParseResult.program,variableDeclarator,identifier",""
"cloudflare","no namespace",14,20,1,16,4,1600,"ViteDevServer.ssrLoadModule,Plugin.name,EnvironmentOptions.resolve,Plugin,ViteDevServer.middlewares,UserConfig.root,ResolvedServerOptions.middlewareMode,ConfigEnv.mode,ViteDevServer.config,ResolvedConfig.plugins,ResolvedConfig.server,GetPlatformProxyOptions,Connect.Server.use,EnvironmentResolveOptions.externalConditions",""
"cloudflare","@remix-run",1,1,1,16,4,1600,"sendResponse",""
"cloudflare","@types",1,1,1,16,4,1600,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,16,4,1600,"ViteDevServer.ssrLoadModule,Plugin.name,EnvironmentOptions.resolve,Plugin,ViteDevServer.middlewares,UserConfig.root,ResolvedServerOptions.middlewareMode,ConfigEnv.mode,ViteDevServer.config,ResolvedConfig.plugins,ResolvedConfig.server,GetPlatformProxyOptions,Connect.Server.use,EnvironmentResolveOptions.externalConditions",""
"cloudflare-dev-proxy","@remix-run",1,1,1,16,4,1600,"sendResponse",""
"cloudflare-dev-proxy","@types",1,1,1,16,4,1600,"global.NodeJS.Process.cwd",""
"warn-on-client-source-maps","no namespace",12,14,1,12,2,1200,"ResolvedConfig.environments,ResolvedBuildEnvironmentOptions.sourcemap,ResolvedConfig.mode,picocolors,ResolvedEnvironmentOptions.build,ResolvedBuildOptions.ssr,Plugin,ConfigEnv.command,ResolvedBuildOptions.sourcemap,ResolvedConfig.logger,ResolvedConfig.build,Logger.warn",""
"run","@types",5,7,1,8,5,800,"global.NodeRequire.main,global.NodeJS.ProcessVersions.node,global.NodeJS.Process.versions,semver,major",""
"run","no namespace",3,4,1,8,5,800,"arg,arg.Result._,arg.Result.""--no-typescript""",""
"plugin","no namespace",150,235,18,140,27,777.7777777777777,"UserConfig,RollupLog.message,RollupLog.code,readFileSync,defaultServerConditions,UserConfig.environments,UserConfig.build,Environment.config,isRunnableDevEnvironment,UserConfig.plugins,PluginContainer.buildStart,Plugin,ViteDevServer.ssrLoadModule,ModuleRunner.import,ManifestChunk.css,init,Connect.IncomingMessage.url,readdirSync,Logger.error,DevEnvironment.reloadModule,PluginContext.resolve,ResolvedConfig,cp,PluginContext.environment,Dirent.isFile,mkdir,existsSync,ResolvedConfig.configFile,ModuleNode.url,ResolvedConfig.build,Dirent.path,ConfigEnv.command,Hash.update,ResolvedId.id,ViteDevServer.ssrFixStacktrace,createLogger,picocolors,ViteDevServer,ResolvedConfig.mode,PreviewServer.middlewares,readFile,ManifestChunk.assets,PreviewServer,DevEnvironment.name,UserConfig.server,ConfigEnv.mode,ResolvedServerOptions.middlewareMode,readdir,ResolvedConfig.logger,rename,Hash.digest,Logger.info,UserConfig.root,ManifestChunk.file,createServer,ResolvedBuildOptions.assetsDir,DevEnvironment.moduleGraph,loadConfigFromFile,ViteDevServer.middlewares,HotBroadcaster.send,URL.href,createHash,ViteDevServer.hot,ViteDevServer.environments,EnvironmentOptions.resolve,ConfigEnv.isSsrBuild,rmSync,ServerResponse.end,ResolvedConfig.server,Connect.Server.use,ViteBuilder.environments,RunnableDevEnvironment.runner,UserConfig.logLevel,rm,normalizePath,Environment.name,ViteBuilder.build,defaultClientConditions,Plugin.name,EnvironmentOptions,UserConfig.base,Dirent.name,ViteDevServer.pluginContainer,ViteDevServer.config,.pathToFileURL,ServerResponse.setHeader,EnvironmentOptions.optimizeDeps,ResolvedConfig.command,ViteDevServer.transformRequest,ModuleNode.file,HotUpdatePluginContext.environment,ResolvedBuildOptions.emptyOutDir,resolveConfig,ResolvedBuildOptions.manifest,ModuleNode,EnvironmentModuleGraph.getModulesByFile,TransformPluginContext.environment,ResolvedEnvironmentOptions.build,ResolvedBuildEnvironmentOptions.outDir,DevEnvironment.pluginContainer,ResolvedConfig.base,BuildEnvironmentOptions.rollupOptions,EnvironmentPluginContainer.transform,PluginOption,dist,path.dirname,join,path.normalize,RollupLog.pos,relative,EnvironmentModuleNode.id,RollupOptions.onwarn,isCSSRequest,ResolvedConfig.environments,resolve,EnvironmentModuleNode.file",""
"plugin","@types",37,62,18,140,27,777.7777777777777,"path.PlatformPath.resolve,global.NodeRequire.resolve,kebabCase,path.PlatformPath.dirname,path.PlatformPath.join,path.PlatformPath.posix,jsesc,GeneratorResult.code,path.PlatformPath.relative,GeneratorResult,BabelFileResult.map,global.NodeJS.Process.env,global.Buffer.toString,path.PlatformPath.basename,global.NodeJS.Process.exit,global.NodeJS.Process.cwd,transformAsync,pick,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,BabelFileResult.code,path.PlatformPath.isAbsolute",""
"plugin","@remix-run",1,2,18,140,27,777.7777777777777,"sendResponse",""
"prompts-prompt-base","no namespace",10,75,2,14,6,700,"Key,beep,.createInterface,.emitKeypressEvents,node:readline,cursor,cursor.show,Interface.close,node:process",""
