"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-configuration-4.12.1",,,true,,,1,773,113,107,48,1,48,"/org/axonframework/config -> /org/axonframework/eventsourcing,/org/axonframework/config -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/config -> /org/axonframework/eventsourcing/eventstore/jpa,/org/axonframework/config -> /org/axonframework/eventsourcing/snapshotting","axon-configuration-4.12.1 -> axon-eventsourcing-4.12.1,axon-configuration-4.12.1 -> axon-messaging-4.12.1,axon-configuration-4.12.1 -> axon-modelling-4.12.1,axon-configuration-4.12.1 -> axon-disruptor-4.12.1","",""
"axon-configuration-4.12.1",,,true,,,2,1617,102,92,11,1,11,"/org/axonframework/config -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/config -> /org/axonframework/commandhandling/callbacks,/org/axonframework/config -> /org/axonframework/common/io,/org/axonframework/config -> /org/axonframework/common/stream","axon-configuration-4.12.1 -> axon-eventsourcing-4.12.1,axon-configuration-4.12.1 -> axon-messaging-4.12.1,axon-configuration-4.12.1 -> axon-modelling-4.12.1","",""
"axon-disruptor-4.12.1",,,true,,,1,773,113,107,13,1,13,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/disruptor/commandhandling -> /org/axonframework/commandhandling,/org/axonframework/disruptor/commandhandling -> /org/axonframework/commandhandling/callbacks","axon-disruptor-4.12.1 -> axon-eventsourcing-4.12.1,axon-disruptor-4.12.1 -> axon-messaging-4.12.1,axon-disruptor-4.12.1 -> axon-modelling-4.12.1","",""
"axon-disruptor-4.12.1",,,true,,,2,1617,102,92,18,1,18,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/snapshotting,/org/axonframework/disruptor/commandhandling -> /org/axonframework/common/annotation,/org/axonframework/disruptor/commandhandling -> /org/axonframework/common/io","axon-disruptor-4.12.1 -> axon-eventsourcing-4.12.1,axon-disruptor-4.12.1 -> axon-messaging-4.12.1","",""
"axon-disruptor-4.12.1",,,true,,,3,1185,98,65,6,1,6,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/async,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/replay,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/tokenstore,/org/axonframework/disruptor/commandhandling -> /org/axonframework/queryhandling","axon-disruptor-4.12.1 -> axon-messaging-4.12.1","",""
"axon-disruptor-4.12.1",,,true,,,4,224,62,27,2,1,2,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/messaging/responsetypes,/org/axonframework/disruptor/commandhandling -> /org/axonframework/queryhandling/registration","axon-disruptor-4.12.1 -> axon-messaging-4.12.1","",""
"axon-eventsourcing-4.12.1",,,false,,,1,773,113,107,15,8,7,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/eventsourcing/eventstore","axon-eventsourcing-4.12.1 -> axon-eventsourcing-4.12.1","",""
"axon-eventsourcing-4.12.1",,,false,,,2,1617,102,92,11,8,4,"/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing","axon-eventsourcing-4.12.1 -> axon-eventsourcing-4.12.1","",""
"axon-eventsourcing-4.12.1",,,false,,,3,1185,98,65,5,5,2,"/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing/conflictresolution","axon-eventsourcing-4.12.1 -> axon-eventsourcing-4.12.1","",""
"axon-eventsourcing-4.12.1",,,false,,,4,224,62,27,1,1,1,"/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/eventsourcing/conflictresolution","axon-eventsourcing-4.12.1 -> axon-eventsourcing-4.12.1","",""
"axon-eventsourcing-4.12.1",,,true,,,1,773,113,107,67,9,22,"/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/commandhandling,/org/axonframework/eventsourcing -> /org/axonframework/common,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/common,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/common","axon-eventsourcing-4.12.1 -> axon-messaging-4.12.1,axon-eventsourcing-4.12.1 -> axon-modelling-4.12.1","",""
"axon-eventsourcing-4.12.1",,,true,,,2,1617,102,92,168,9,32,"/org/axonframework/eventsourcing -> /org/axonframework/commandhandling,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/commandhandling,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/commandhandling,/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/commandhandling","axon-eventsourcing-4.12.1 -> axon-messaging-4.12.1,axon-eventsourcing-4.12.1 -> axon-modelling-4.12.1","",""
"axon-eventsourcing-4.12.1",,,true,,,3,1185,98,65,68,9,17,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/commandhandling,/org/axonframework/eventsourcing -> /org/axonframework/commandhandling/callbacks,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/commandhandling/callbacks,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/commandhandling/callbacks","axon-eventsourcing-4.12.1 -> axon-messaging-4.12.1,axon-eventsourcing-4.12.1 -> axon-modelling-4.12.1","",""
"axon-eventsourcing-4.12.1",,,true,,,4,224,62,27,6,3,4,"/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/commandhandling/callbacks,/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/common/caching,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/messaging/responsetypes,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/messaging/responsetypes","axon-eventsourcing-4.12.1 -> axon-messaging-4.12.1","",""
"axon-messaging-4.12.1",,,false,,,1,773,113,107,318,64,44,"/org/axonframework/messaging/timeout -> /org/axonframework/commandhandling,/org/axonframework/serialization -> /org/axonframework/commandhandling,/org/axonframework/tracing -> /org/axonframework/commandhandling,/org/axonframework/tracing/attributes -> /org/axonframework/commandhandling","axon-messaging-4.12.1 -> axon-messaging-4.12.1","",""
"axon-messaging-4.12.1",,,false,,,2,1617,102,92,587,54,30,"/org/axonframework/eventhandling/scheduling/jobrunr -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/scheduling/quartz -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/tokenstore -> /org/axonframework/commandhandling,/org/axonframework/eventhandling/tokenstore/jdbc -> /org/axonframework/commandhandling","axon-messaging-4.12.1 -> axon-messaging-4.12.1","",""
