"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.0.3",5,16,6,320,26,85,6,"io.opentelemetry.api.trace,io.opentelemetry.context.propagation,jakarta.annotation,io.opentelemetry.context","Tracer,SpanKind,Span,SpanBuilder,StatusCode,SpanContext,TextMapSetter,TextMapGetter,TextMapPropagator",""
"axon-server-connector-5.0.3",72,113,23,156.94444444444443,242,1197,23,"io.axoniq.axonserver.grpc,jakarta.annotation,io.axoniq.axonserver.grpc.event.dcb,io.grpc","MetaDataValue$DataCase,ProcessingKey,ProcessingInstruction$Builder,MetaDataValue,MetaDataValue$Builder,ProcessingInstruction,ErrorMessage,ErrorMessage$Builder,SerializedObject$Builder",""
"axon-spring-boot-autoconfigure-5.0.3",75,100,39,133.33333333333331,259,485,39,"org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties","AnyNestedCondition,AllNestedConditions,ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnBean,ConditionalOnProperty,SearchStrategy,SpringBootCondition,ConditionOutcome",""
"axon-metrics-micrometer-5.0.3",16,20,7,125,55,170,7,"io.micrometer.core.instrument,jakarta.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition","Clock,MeterRegistry,Timer,Timer$Builder,Tag,Tags,Counter,Gauge$Builder,Gauge",""
"axon-conversion-5.0.3",35,40,15,114.28571428571429,127,517,15,"jakarta.annotation,org.apache.avro,org.apache.avro.message,tools.jackson.databind","Nonnull,Nullable,AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,InvalidNumberEncodingException",""
"axon-test-5.0.3",78,32,12,41.02564102564103,105,496,12,"org.hamcrest,jakarta.annotation,org.junit.jupiter.api.extension,com.google.gson","Matcher,Description,TypeSafeMatcher,BaseMatcher,StringDescription,CoreMatchers,Nonnull,Nullable,ParameterResolutionException",""
"axon-eventsourcing-5.0.3",100,20,6,20,101,389,6,"jakarta.annotation,jakarta.persistence,org.slf4j,ScannedEntityCreator","Nonnull,Nullable,EntityManager,TypedQuery,Index,Lob,Table,GenerationType,Entity",""
"axon-common-5.0.3",156,29,11,18.58974358974359,116,560,11,"jakarta.annotation,org.slf4j,org.ehcache.event,javax.cache.event","Nonnull,Nullable,Logger,LoggerFactory,EventType,CacheEventListener,CacheEvent,EventOrdering,EventFiring",""
"axon-update-5.0.3",23,4,2,17.391304347826086,28,129,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,Logger,LoggerFactory",""
"axon-messaging-5.0.3",579,35,9,6.0449050086355784,633,3386,9,"jakarta.annotation,org.slf4j,com.fasterxml.jackson.annotation,jakarta.persistence","Nonnull,Nullable,Logger,LoggerFactory,JsonCreator,JsonProperty,JsonTypeInfo$Id,JsonGetter,JsonTypeInfo",""
"axon-modelling-5.0.3",92,4,2,4.3478260869565215,89,558,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,Logger,LoggerFactory",""
