"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-test-5.0.3","org.axonframework.test.matchers","org.hamcrest",36,142,23,"Description,BaseMatcher,Matcher,TypeSafeMatcher","matchers",""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,11,"MeterRegistry,Timer,Timer$Builder,Clock,Tag,Gauge$Builder,Tags,Gauge,Counter","micrometer",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,14,"GetSequenceAtResponse,TaggedEvent,Event,GetHeadResponse,GetTailResponse,AppendEventsResponse,Tag,StreamEventsRequest$Builder,Criterion$Builder,ConsistencyCondition$Builder,StreamEventsRequest,Tag$Builder,TagsAndNamesCriterion$Builder,Criterion,TagsAndNamesCriterion,SourceEventsRequest,ConsistencyCondition,SourceEventsRequest$Builder,TaggedEvent$Builder,Event$Builder,SourceEventsResponse,SequencedEvent,StreamEventsResponse","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","io.grpc",17,35,13,"Status,Metadata,Metadata$AsciiMarshaller,Metadata$Key,Status$Code,StatusRuntimeException,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ClientCall$Listener,CallOptions,ClientInterceptor,Channel,MethodDescriptor,ForwardingClientCallListener$SimpleForwardingClientCallListener","util",""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","org.apache.avro",16,54,10,"AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,InvalidNumberEncodingException,SchemaCompatibility,InvalidAvroMagicException,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityResult","avro",""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",15,87,24,"Logger,LoggerFactory","pooled",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,11,"SubscriptionQuery,QueryResponse,QueryRequest,QueryRequest$Builder,QueryResponse$Builder,QueryUpdate,QueryUpdate$Builder","query",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc",12,94,28,"ErrorMessage,InstructionAck$Builder,InstructionAck,ErrorMessage$Builder,MetaDataValue$DataCase,MetaDataValue,MetaDataValue$Builder","connector",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","org.slf4j",10,44,14,"LoggerFactory,Logger","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",10,37,11,"FlowControl,Registration,ReplyChannel,ResultStream,AxonServerConnection","query",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc",9,50,11,"ErrorMessage,SerializedObject$Builder,MetaDataValue$Builder,ProcessingInstruction$Builder,MetaDataValue,SerializedObject,ProcessingKey","query",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.extension.spring.config",9,33,41,"SpringAxonApplication,SpringComponentRegistry,SpringLifecycleRegistry,EventProcessorDefinition,DefaultProcessorModuleFactory,ProcessorModuleFactory,EventProcessorSettings$MapWrapper,SpringEventSourcedEntityLookup,MessageHandlerLookup","autoconfig",""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,46,5,"SpanKind,Span,Tracer,SpanBuilder,StatusCode,SpanContext","opentelemetry",""
"axon-tracing-opentelemetry-5.0.3","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,15,5,"TextMapSetter,TextMapPropagator,TextMapGetter,ContextPropagators","opentelemetry",""
"axon-common-5.0.3","org.axonframework.common.caching","org.ehcache.event",8,30,13,"EventOrdering,EventFiring,EventType,CacheEventListener,CacheEvent","caching",""
"axon-common-5.0.3","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryExpiredListener,CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryEvent,CacheEntryListenerException,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryRemovedListener","caching",""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","org.apache.avro.message",8,28,10,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException","avro",""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","tools.jackson.databind",8,39,5,"JavaType,ObjectMapper,JsonNode","jackson",""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","com.fasterxml.jackson.databind",8,42,5,"ObjectMapper,JsonNode,JavaType","jackson2",""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","org.slf4j",8,17,51,"Logger,LoggerFactory","annotation",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc.control",8,46,28,"TopologyChange,UpdateType,CommandSubscription,QuerySubscription,NodeInfo$Builder,NodeInfo","connector",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",8,63,6,"Command$Builder,CommandResponse$Builder,Command,CommandResponse","command",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.connector.event",8,38,14,"DcbEventChannel$AppendEventsTransaction,DcbEventChannel,EventStream,AggregateEventStream,EventChannel,AppendEventsTransaction","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","io.axoniq.axonserver.grpc",8,81,13,"ProcessingKey,ProcessingInstruction$Builder,MetaDataValue,MetaDataValue$Builder,ProcessingInstruction,ErrorMessage$Builder,SerializedObject,ErrorMessage","util",""
"axon-test-5.0.3","org.axonframework.test.extension","org.junit.jupiter.api.extension",8,28,4,"ParameterResolutionException,BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Store,ExtensionContext,ExtensionContext$Namespace,ParameterContext","extension",""
"axon-update-5.0.3","org.axonframework.update","org.slf4j",8,27,5,"Logger,LoggerFactory","update",""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","org.apache.avro.generic",7,29,10,"GenericRecord,GenericData,GenericDatumReader","avro",""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",7,16,13,"Logger,LoggerFactory","jpa",""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",7,40,13,"EntityManager,TypedQuery,Index,GenerationType,EntityExistsException","jpa",""
"axon-messaging-5.0.3","org.axonframework.messaging.core","reactor.core.publisher",7,30,80,"Mono,Flux,FluxSink","core",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc",7,31,6,"ErrorMessage,ProcessingInstruction$Builder,ProcessingKey,SerializedObject$Builder,SerializedObject","command",""
"axon-test-5.0.3","org.axonframework.test.fixture","org.hamcrest",7,47,32,"StringDescription,Matcher,CoreMatchers,Description","fixture",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector.query",6,19,11,"QueryHandler,QueryHandler$UpdateHandler,QueryDefinition,SubscriptionQueryResult,QueryChannel","query",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.springframework.context.annotation",6,10,41,"ConfigurationCondition$ConfigurationPhase,Condition,ConditionContext","autoconfig",""
"axon-common-5.0.3","org.axonframework.common","org.slf4j",5,14,34,"LoggerFactory,Logger","common",""
"axon-common-5.0.3","org.axonframework.common.configuration","org.slf4j",5,27,46,"LoggerFactory,Logger","configuration",""
"axon-common-5.0.3","org.axonframework.common.jpa","jakarta.persistence",5,11,4,"EntityManager,EntityManagerFactory","jpa",""
"axon-messaging-5.0.3","org.axonframework.messaging.core","org.reactivestreams",5,10,80,"Subscription,Subscriber,Publisher","core",""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","jakarta.validation",5,16,21,"ConstraintViolation,Validation,ValidatorFactory,Validator","interception",""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork.transaction.jpa","jakarta.persistence",5,16,2,"EntityManagerFactory,EntityManager,EntityTransaction","jpa",""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",5,77,4,"TypedQuery,Query,EntityManager,LockModeType","jpa",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","io.axoniq.axonserver.connector",5,38,28,"AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,AxonServerConnection","connector",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.control",5,40,14,"EventProcessorInfo$SegmentStatus,EventProcessorInfo,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.connector",5,37,14,"AxonServerConnection,ResultStream","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event",5,31,14,"EventWithToken,Event,Event$Builder,Confirmation","event",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.actuator.axonserver","org.springframework.boot.actuate.health",5,20,2,"Health$Builder,AbstractHealthIndicator,Status,SimpleStatusAggregator","axonserver",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.springframework.context",5,9,41,"ApplicationContext,ApplicationContextAware","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",5,14,41,"AnyNestedCondition,AllNestedConditions,SearchStrategy","autoconfig",""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","org.apache.avro.specific",4,14,10,"SpecificRecordBase,SpecificData","avro",""
"axon-messaging-5.0.3","org.axonframework.messaging.core.timeout","org.slf4j",4,15,8,"Logger,LoggerFactory","timeout",""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling","org.slf4j",4,23,24,"Logger,LoggerFactory","queryhandling",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc",4,15,14,"SerializedObject,MetaDataValue,MetaDataValue$Builder,SerializedObject$Builder","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","org.slf4j",4,9,13,"Logger,LoggerFactory","util",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","org.axonframework.extension.spring.config",4,9,19,"EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings$ProcessorMode,EventProcessorSettings","springboot",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","jakarta.persistence",4,9,41,"EntityManagerFactory","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.springframework.beans.factory",4,19,41,"BeanFactoryUtils,BeanClassLoaderAware,NoSuchBeanDefinitionException,BeanFactory","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.apache.avro.message",4,10,41,"SchemaStore,SchemaStore$Cache","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.service.connection","org.springframework.boot.testcontainers.service.connection",4,9,4,"ContainerConnectionSource,ContainerConnectionDetailsFactory,ContainerConnectionDetailsFactory$ContainerConnectionDetails","connection",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util","org.springframework.boot.autoconfigure.condition",4,12,7,"ConditionOutcome,SpringBootCondition","util",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.util","org.springframework.context.annotation",4,7,7,"ImportBeanDefinitionRegistrar,ConfigurationCondition,ConditionContext,ConfigurationCondition$ConfigurationPhase","util",""
"axon-test-5.0.3","org.axonframework.test.server","com.google.gson",4,7,2,"JsonElement,JsonParser,JsonArray,JsonObject","server",""
"axon-update-5.0.3","org.axonframework.update.detection","org.slf4j",4,11,4,"Logger,LoggerFactory","detection",""
"axon-common-5.0.3","org.axonframework.common.caching","javax.cache.configuration",3,9,13,"CacheEntryListenerConfiguration,Factory","caching",""
"axon-common-5.0.3","org.axonframework.common.infra","com.fasterxml.jackson.databind",3,14,8,"ObjectMapper,SerializationFeature,JsonNode","infra",""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","tools.jackson.core",3,6,5,"JacksonException","jackson",""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson","tools.jackson.databind.node",3,12,5,"JsonNodeType,ObjectNode","jackson",""
"axon-conversion-5.0.3","org.axonframework.conversion.jackson2","com.fasterxml.jackson.databind.node",3,12,5,"JsonNodeType,ObjectNode","jackson2",""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore.inmemory","org.slf4j",3,14,5,"Logger,LoggerFactory","inmemory",""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.distributed","org.slf4j",3,9,10,"Logger,LoggerFactory","distributed",""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","org.slf4j",3,6,15,"LoggerFactory,Logger","unitofwork",""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.distributed","org.slf4j",3,4,11,"Logger,LoggerFactory","distributed",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","io.grpc",3,9,28,"ManagedChannelBuilder,ClientInterceptor","connector",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.command","org.slf4j",3,10,6,"Logger,LoggerFactory","command",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","com.google.protobuf",3,10,14,"ByteString","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.grpc",3,7,14,"StatusRuntimeException,Status$Code,Status","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","com.google.protobuf",3,8,13,"MessageLite,ByteString","util",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","org.springframework.boot.context.properties.bind",3,4,19,"BindResult,Bindable,Binder","springboot",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.springframework.transaction",3,5,41,"PlatformTransactionManager","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","tools.jackson.databind",3,8,41,"ObjectMapper","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","tools.jackson.dataformat.cbor",3,9,41,"CBORMapper,CBORMapper$Builder","autoconfig",""
