"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.eventhandling.pooled.WorkPackage$EventFilter","WorkPackage$EventFilter",0.005778431101440665,0.005778431101440665,3,2,""
"org.axonframework.eventsourcing.AbstractSnapshotter$Builder","AbstractSnapshotter$Builder",0.0057638114684166845,0.0057638114684166845,3,11,""
"org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine","JdbcEventStorageEngine",0.005760716953304287,0.005760716953304287,3,38,""
"org.axonframework.eventsourcing.eventstore.jdbc.JdbcSQLErrorCodesResolver","JdbcSQLErrorCodesResolver",0.00574788780151751,0.00574788780151751,2,1,""
"org.axonframework.eventhandling.deadletter.jpa.NoJpaConverterFoundException","NoJpaConverterFoundException",0.005747714563639016,0.005747714563639016,2,1,""
"org.axonframework.axonserver.connector.event.axon.QueryResultStream","QueryResultStream",0.005747105693811134,0.005747105693811134,3,1,""
"org.axonframework.common.lock.PessimisticLockFactory","PessimisticLockFactory",0.005743743615191609,0.005743743615191609,6,7,""
"org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue","JdbcSequencedDeadLetterQueue",0.005706040013323598,0.005706040013323598,3,24,""
"org.axonframework.axonserver.connector.util.GrpcPayloadSerializer","GrpcPayloadSerializer",0.00568343480508241,0.00568343480508241,4,5,""
"org.axonframework.eventhandling.tokenstore.jpa.TokenEntry$PK","TokenEntry$PK",0.005679715428070029,0.005679715428070029,3,,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine$Builder","JpaEventStorageEngine$Builder",0.0056747334180421195,0.0056747334180421195,2,13,""
"org.axonframework.modelling.command.inspection.ChildEntity","ChildEntity",0.005637879851184791,0.005637879851184791,4,2,""
"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder","DeadlineJob$DeadlineJobDataBinder",0.005634554201231501,0.005634554201231501,2,8,""
"org.axonframework.axonserver.connector.util.ExceptionSerializer","ExceptionSerializer",0.005600228866616541,0.005600228866616541,7,1,""
"org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails","DbSchedulerBinaryDeadlineDetails",0.0055489591295743235,0.0055489591295743235,2,8,""
"org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager$Builder","DbSchedulerDeadlineManager$Builder",0.0055489591295743235,0.0055489591295743235,2,12,""
"org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder","QuartzEventScheduler$DirectEventJobDataBinder",0.005454425373875811,0.005454425373875811,2,9,""
"org.axonframework.config.AggregateConfigurer","AggregateConfigurer",0.005436479722720602,0.005436479722720602,1,41,""
"org.axonframework.axonserver.connector.util.GrpcObjectSerializer","GrpcObjectSerializer",0.005435211642087935,0.005435211642087935,4,5,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException",0.005403157994564098,0.005403157994564098,26,1,""
"org.axonframework.axonserver.connector.event.axon.GrpcMetaDataAwareSerializer","GrpcMetaDataAwareSerializer",0.005375998350285351,0.005375998350285351,2,5,""
"org.axonframework.eventhandling.TrackingEventProcessor$1","TrackingEventProcessor$1",0.005347667414468554,0.005347667414468554,3,1,""
"org.axonframework.eventhandling.TrackingEventProcessor$State","TrackingEventProcessor$State",0.005347667414468554,0.005347667414468554,3,,""
"org.axonframework.eventhandling.TrackingEventProcessor$Worker","TrackingEventProcessor$Worker",0.005347667414468554,0.005347667414468554,3,,""
"org.axonframework.modelling.command.AggregateInvocationException","AggregateInvocationException",0.005302469559466847,0.005302469559466847,2,1,""
"org.axonframework.config.Configuration$1","Configuration$1",0.005299960838338,0.005299960838338,1,3,""
"org.axonframework.deadline.jobrunr.JobRunrDeadlineManager$Builder","JobRunrDeadlineManager$Builder",0.005251470079526054,0.005251470079526054,2,12,""
"org.axonframework.messaging.annotation.MessageHandler","MessageHandler",0.005242282679602137,0.005242282679602137,8,2,""
"org.axonframework.modelling.saga.AssociationResolver","AssociationResolver",0.005233253210294318,0.005233253210294318,5,2,""
"org.axonframework.common.ExceptionUtils","ExceptionUtils",0.005215087698879587,0.005215087698879587,7,1,""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory","InterceptorChainParameterResolverFactory",0.005165927560707664,0.005165927560707664,4,8,""
"org.axonframework.eventhandling.pooled.Coordinator$1","Coordinator$1",0.005149067146646855,0.005149067146646855,3,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine","AbstractEventStorageEngine",0.0051426553046106365,0.0051426553046106365,2,18,""
"org.axonframework.modelling.saga.AbstractSagaManager$Builder","AbstractSagaManager$Builder",0.00513114405963361,0.00513114405963361,3,11,""
"org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker","TrackingEventProcessor$TrackingSegmentWorker",0.005107285589537988,0.005107285589537988,2,9,""
"org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager","DbSchedulerDeadlineManager",0.005103911290251408,0.005103911290251408,3,28,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder","JpaSequencedDeadLetterQueue$Builder",0.005101551049786403,0.005101551049786403,2,8,""
"org.axonframework.axonserver.connector.util.ProcessingInstructionHelper","ProcessingInstructionHelper",0.005098704302392937,0.005098704302392937,3,,""
"org.axonframework.tracing.TracingHandlerEnhancerDefinition","TracingHandlerEnhancerDefinition",0.0050973810479986534,0.0050973810479986534,3,6,""
"org.axonframework.modelling.saga.repository.SagaStore$Entry","SagaStore$Entry",0.005090766906930986,0.005090766906930986,12,1,""
"org.axonframework.queryhandling.SimpleQueryBus$1","SimpleQueryBus$1",0.005070222100227953,0.005070222100227953,5,1,""
"org.axonframework.eventhandling.ResetNotSupportedException","ResetNotSupportedException",0.005062817573123769,0.005062817573123769,3,1,""
"org.axonframework.messaging.responsetypes.ConvertingResponseMessage","ConvertingResponseMessage",0.005060216281957665,0.005060216281957665,2,8,""
"org.axonframework.springboot.autoconfig.TransactionAutoConfiguration","TransactionAutoConfiguration",0.005059052492822736,0.005059052492822736,3,1,""
"org.axonframework.modelling.command.GenericJpaRepository","GenericJpaRepository",0.005056996428723468,0.005056996428723468,2,10,""
