"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: External_Dependencies/Package_json_dependencies_occurrence.cypher"
"react",47,0,"@playground/rsc-vite-framework,@playground/framework-spa,@playground/framework-vite-5,@playground/vite-plugin-cloudflare,@playground/framework-vite-7-beta,@playground/split-route-modules-spa,@playground/data,@playground/framework,@playground/rsc-vite","","react-router-7.13.1/playground/rsc-vite-framework,react-router-7.13.1/playground/framework-spa,react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/vite-plugin-cloudflare",""
"react-dom",47,0,"@playground/rsc-vite-framework,@playground/framework-spa,@playground/framework-vite-5,@playground/vite-plugin-cloudflare,@playground/framework-vite-7-beta,@playground/split-route-modules-spa,@playground/data,@playground/framework,@playground/rsc-vite","","react-router-7.13.1/playground/rsc-vite-framework,react-router-7.13.1/playground/framework-spa,react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/vite-plugin-cloudflare",""
"react-router",27,0,"@playground/rsc-vite-framework,@playground/framework-spa,@playground/framework-vite-5,@playground/vite-plugin-cloudflare,@playground/framework-vite-7-beta,@playground/split-route-modules-spa,@playground/data,@playground/framework,@playground/rsc-vite","","react-router-7.13.1/playground/rsc-vite-framework,react-router-7.13.1/playground/framework-spa,react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/vite-plugin-cloudflare",""
"react-router-dom",23,0,"basic-data-router,multi-app,basic,search-params,custom-link,custom-filter-link,basic-data-router,custom-query-parse-serialization,navigation-blocking","","react-router-7.13.1/packages/create-react-router/__tests__/fixtures/basic,react-router-7.13.1/examples/view-transitions,react-router-7.13.1/examples/multi-app,react-router-7.13.1/examples/basic",""
"isbot",21,0,"@remix-run/react-router,@playground/framework-spa,@playground/framework-vite-5,@playground/vite-plugin-cloudflare,@playground/framework-vite-7-beta,@playground/split-route-modules-spa,@playground/framework,@playground/split-route-modules,@playground/framework-express","","react-router-7.13.1,react-router-7.13.1/playground/framework-spa,react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/vite-plugin-cloudflare",""
"@react-router/node",20,0,"@playground/framework-spa,@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/split-route-modules-spa,@playground/framework,@playground/split-route-modules,@playground/framework-express,@playground/framework-rolldown-vite,@playground/framework","","react-router-7.13.1/playground/framework-spa,react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/framework-vite-7-beta,react-router-7.13.1/playground/split-route-modules-spa",""
"express",17,0,"@playground/rsc-vite-framework,@playground/vite-plugin-cloudflare,@playground/framework,@playground/rsc-vite,@playground/framework-express,@react-router/serve,integration,integration-rsc-vite-framework,integration-vite-7-beta-template","","react-router-7.13.1/playground/rsc-vite-framework,react-router-7.13.1/playground/vite-plugin-cloudflare,react-router-7.13.1/playground/middleware,react-router-7.13.1/playground/rsc-vite",""
"@react-router/serve",12,0,"@playground/framework-vite-5,@playground/framework-vite-7-beta,@playground/split-route-modules,@playground/framework-rolldown-vite,@playground/framework,integration-rsc-vite-framework,integration-vite-7-beta-template,integration-vite-6-template,integration-vite-rolldown-template","","react-router-7.13.1/playground/framework-vite-5,react-router-7.13.1/playground/framework-vite-7-beta,react-router-7.13.1/playground/split-route-modules,react-router-7.13.1/playground/framework-rolldown-vite",""
"compression",10,0,"@playground/rsc-vite-framework,@playground/framework,@playground/rsc-vite,@playground/framework-express,@react-router/serve,integration-rsc-vite-framework,integration-rsc-vite,multi-app,ssr-data-router","","react-router-7.13.1/playground/rsc-vite-framework,react-router-7.13.1/playground/middleware,react-router-7.13.1/playground/rsc-vite,react-router-7.13.1/playground/framework-express",""
"@react-router/express",8,0,"@playground/framework,@playground/framework-express,@react-router/serve,integration,integration-vite-7-beta-template,integration-vite-6-template,integration-vite-rolldown-template,integration-vite-5-template","","react-router-7.13.1/playground/middleware,react-router-7.13.1/playground/framework-express,react-router-7.13.1/packages/react-router-serve,react-router-7.13.1/integration",""
