"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package.cypher"
"axon-test-5.0.3","org.axonframework.test.matchers","org.hamcrest",36,142,23,"TypeSafeMatcher,Matcher,Description,BaseMatcher","matchers",""
"axon-metrics-micrometer-5.0.3","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,11,"MeterRegistry,Tag,Timer$Builder,Timer,Clock,Tags,Counter,Gauge,Gauge$Builder","micrometer",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,14,"Tag$Builder,ConsistencyCondition,Criterion$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest,Tag,TagsAndNamesCriterion,SourceEventsRequest$Builder,Criterion,ConsistencyCondition$Builder,StreamEventsRequest$Builder,SourceEventsRequest,SourceEventsResponse,SequencedEvent,AppendEventsResponse,StreamEventsResponse,Event,TaggedEvent,GetHeadResponse,GetSequenceAtResponse,GetTailResponse,TaggedEvent$Builder,Event$Builder","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.util","io.grpc",17,35,13,"MethodDescriptor,CallOptions,Channel,ClientInterceptor,ClientCall,ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,Metadata,ForwardingClientCall$SimpleForwardingClientCall,Metadata$Key,Status,Metadata$AsciiMarshaller,Status$Code,StatusRuntimeException","util",""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","org.apache.avro",16,54,10,"InvalidAvroMagicException,SchemaNormalization,Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,AvroRuntimeException,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException","avro",""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",15,87,24,"LoggerFactory,Logger","pooled",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,11,"QueryResponse,QueryResponse$Builder,SubscriptionQuery,QueryRequest,QueryUpdate,QueryRequest$Builder,QueryUpdate$Builder","query",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc",12,94,28,"ErrorMessage,MetaDataValue$DataCase,ErrorMessage$Builder,MetaDataValue$Builder,MetaDataValue,InstructionAck,InstructionAck$Builder","connector",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.event","org.slf4j",10,44,14,"Logger,LoggerFactory","event",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",10,37,11,"ReplyChannel,FlowControl,Registration,ResultStream,AxonServerConnection","query",""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc",9,50,11,"ErrorMessage,SerializedObject,SerializedObject$Builder,MetaDataValue$Builder,ProcessingKey,ProcessingInstruction$Builder,MetaDataValue","query",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","org.axonframework.extension.spring.config",9,33,41,"SpringEventSourcedEntityLookup,MessageHandlerLookup,EventProcessorSettings$MapWrapper,EventProcessorDefinition,ProcessorModuleFactory,DefaultProcessorModuleFactory,SpringLifecycleRegistry,SpringComponentRegistry,SpringAxonApplication","autoconfig",""
