"communityId","artifactName","packageCount","packageNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-common-5.1.1",1,"lifecycle",""
0,"axon-messaging-5.1.1",17,"commandhandling,interception,retry,tracing,gateway,configuration,replay,core,attributes,queryhandling",""
0,"axon-modelling-5.1.1",1,"entity",""
0,"axon-server-connector-5.1.1",5,"command,query,shared",""
0,"axon-test-5.1.1",1,"util",""
0,"axon-tracing-opentelemetry-5.1.1",1,"opentelemetry",""
1,"axon-common-5.1.1",1,"annotation",""
1,"axon-messaging-5.1.1",10,"annotation,timeout,reflection",""
1,"axon-update-5.1.1",5,"update,api,detection,common,configuration",""
2,"axon-messaging-5.1.1",4,"eventhandling,interception,gateway,sequencing",""
2,"axon-test-5.1.1",4,"test,matchers,fixture,extension",""
3,"axon-common-5.1.1",7,"common,property,digest,caching,infra,lock,configuration",""
3,"axon-eventsourcing-5.1.1",3,"annotation,reflection,configuration",""
3,"axon-messaging-5.1.1",10,"conversion,subscribing,configuration,correlation,interception,monitoring",""
3,"axon-metrics-micrometer-5.1.1",3,"micrometer,reservoir,springboot",""
3,"axon-modelling-5.1.1",6,"modelling,annotation,child,repository,configuration",""
4,"axon-common-5.1.1",2,"jdbc,tx",""
4,"axon-messaging-5.1.1",10,"processing,errorhandling,segmenting,pooled,store,inmemory,jdbc,jpa,unitofwork,transaction",""
5,"axon-eventsourcing-5.1.1",8,"eventsourcing,api,inmemory,store,handler,eventstore,jpa",""
5,"axon-messaging-5.1.1",4,"streaming,token,annotation,eventstreaming",""
5,"axon-server-connector-5.1.1",2,"snapshot,event",""
6,"axon-common-5.1.1",4,"function,io,util,jpa",""
6,"axon-messaging-5.1.1",2,"jdbc,jpa",""
6,"axon-server-connector-5.1.1",3,"api,util,configuration",""
6,"axoniq-spring-boot-autoconfigure-5.1.1",5,"springboot,actuator,axonserver,autoconfig,connection",""
