"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: Artifact_Dependencies/Most_used_internal_dependencies_acreoss_artifacts.cypher"
"axon-messaging-4.12.0",43,389,58,339,32.46,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.commandhandling.distributed,org.axonframework.commandhandling.gateway,org.axonframework.common.annotation","CommandExecutionException,MonitorAwareCallback,CommandBusSpanFactory,NoHandlerForCommandException,CommandCallback",""
"axon-modelling-4.12.0",12,58,8,52,25.93,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository.jdbc","Aggregate,AbstractRepository$Builder,CommandTargetResolver,Repository,AggregateScopeDescriptor",""
"axon-configuration-4.12.0",8,30,1,15,66.67,"org.axonframework.config","Configuration,DefaultConfigurer,EventProcessingConfigurer$SubscribableMessageSourceDefinitionBuilder,TagsConfiguration,ConfigurationScopeAwareProvider",""
"axon-eventsourcing-4.12.0",7,28,6,35,21.05,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa","NoSnapshotTriggerDefinition,SnapshotTriggerDefinition,AggregateSnapshotter$Builder,SnapshotterSpanFactory,GenericAggregateFactory",""
"axon-server-connector-4.12.0",3,8,4,26,30.77,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.command","TopologyChangeListener,AxonServerConfiguration$PersistentStreamSettings,AxonServerConnectionManager,TargetContextResolver,AxonServerConnectionManager$Builder",""
"axon-test-4.12.0",1,2,1,1,0,"org.axonframework.test.server","AxonServerContainer",""
"axon-tracing-opentelemetry-4.12.0",1,1,1,2,0,"org.axonframework.tracing.opentelemetry","OpenTelemetrySpanFactory,OpenTelemetrySpanFactory$Builder",""
"axon-disruptor-4.12.0",1,1,1,1,0,"org.axonframework.disruptor.commandhandling","DisruptorCommandBus",""
