"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: Centrality/Centrality_10d_Bridges_Stream.cypher"
"org.axonframework.serialization","org.axonframework.serialization.converters",1771,176,0,7,""
"org.axonframework.serialization.upcasting.event","org.axonframework.serialization.upcasting",45,188,11,5,""
"org.axonframework.actuator","org.axonframework.actuator.axonserver",2,0,2,3,""
