"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-configuration-4.12.2",,,true,,,1,775,114,108,48,1,48,"/org/axonframework/config -> /org/axonframework/disruptor/commandhandling,/org/axonframework/config -> /org/axonframework/eventsourcing,/org/axonframework/config -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/config -> /org/axonframework/eventsourcing/eventstore/jpa","axon-configuration-4.12.2 -> axon-disruptor-4.12.2,axon-configuration-4.12.2 -> axon-eventsourcing-4.12.2,axon-configuration-4.12.2 -> axon-messaging-4.12.2,axon-configuration-4.12.2 -> axon-modelling-4.12.2","",""
"axon-configuration-4.12.2",,,true,,,2,1619,103,93,11,1,11,"/org/axonframework/config -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/config -> /org/axonframework/commandhandling/callbacks,/org/axonframework/config -> /org/axonframework/common/io,/org/axonframework/config -> /org/axonframework/common/property","axon-configuration-4.12.2 -> axon-eventsourcing-4.12.2,axon-configuration-4.12.2 -> axon-messaging-4.12.2,axon-configuration-4.12.2 -> axon-modelling-4.12.2","",""
"axon-disruptor-4.12.2",,,true,,,1,775,114,108,13,1,13,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/disruptor/commandhandling -> /org/axonframework/commandhandling,/org/axonframework/disruptor/commandhandling -> /org/axonframework/commandhandling/callbacks","axon-disruptor-4.12.2 -> axon-eventsourcing-4.12.2,axon-disruptor-4.12.2 -> axon-messaging-4.12.2,axon-disruptor-4.12.2 -> axon-modelling-4.12.2","",""
"axon-disruptor-4.12.2",,,true,,,2,1619,103,93,18,1,18,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventsourcing/snapshotting,/org/axonframework/disruptor/commandhandling -> /org/axonframework/common/annotation,/org/axonframework/disruptor/commandhandling -> /org/axonframework/common/io","axon-disruptor-4.12.2 -> axon-eventsourcing-4.12.2,axon-disruptor-4.12.2 -> axon-messaging-4.12.2","",""
"axon-disruptor-4.12.2",,,true,,,3,1185,98,65,6,1,6,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/async,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/replay,/org/axonframework/disruptor/commandhandling -> /org/axonframework/eventhandling/tokenstore,/org/axonframework/disruptor/commandhandling -> /org/axonframework/queryhandling","axon-disruptor-4.12.2 -> axon-messaging-4.12.2","",""
"axon-disruptor-4.12.2",,,true,,,4,224,62,27,2,1,2,"/org/axonframework/disruptor/commandhandling -> /org/axonframework/messaging/responsetypes,/org/axonframework/disruptor/commandhandling -> /org/axonframework/queryhandling/registration","axon-disruptor-4.12.2 -> axon-messaging-4.12.2","",""
"axon-eventsourcing-4.12.2",,,false,,,1,775,114,108,15,8,7,"/org/axonframework/eventsourcing/eventstore -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing -> /org/axonframework/eventsourcing/eventstore,/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/eventsourcing/eventstore","axon-eventsourcing-4.12.2 -> axon-eventsourcing-4.12.2","",""
"axon-eventsourcing-4.12.2",,,false,,,2,1619,103,93,11,8,4,"/org/axonframework/eventsourcing/conflictresolution -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing","axon-eventsourcing-4.12.2 -> axon-eventsourcing-4.12.2","",""
"axon-eventsourcing-4.12.2",,,false,,,3,1185,98,65,5,5,2,"/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing/eventstore/jdbc -> /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/eventsourcing/conflictresolution","axon-eventsourcing-4.12.2 -> axon-eventsourcing-4.12.2","",""
"axon-eventsourcing-4.12.2",,,false,,,4,224,62,27,1,1,1,"/org/axonframework/eventsourcing/eventstore/jdbc/statements -> /org/axonframework/eventsourcing/conflictresolution","axon-eventsourcing-4.12.2 -> axon-eventsourcing-4.12.2","",""
