"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"axon-eventsourcing-5.0.0",,,false,,,1,32,9,32,3,1,3,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/eventstore/inmemory","axon-eventsourcing-5.0.0 -> axon-eventsourcing-5.0.0","",""
"axon-eventsourcing-5.0.0",,,false,,,2,26,4,26,1,1,1,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/eventsourcing/eventstore","axon-eventsourcing-5.0.0 -> axon-eventsourcing-5.0.0","",""
"axon-eventsourcing-5.0.0",,,true,,,1,32,9,32,6,1,6,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity/annotation,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/configuration,/org/axonframework/eventsourcing/configuration -> /org/axonframework/messaging/eventhandling/configuration","axon-eventsourcing-5.0.0 -> axon-modelling-5.0.0,axon-eventsourcing-5.0.0 -> axon-messaging-5.0.0","",""
"axon-eventsourcing-5.0.0",,,true,,,2,26,4,26,10,1,10,"/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/entity,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling/repository,/org/axonframework/eventsourcing/configuration -> /org/axonframework/common/infra","axon-eventsourcing-5.0.0 -> axon-modelling-5.0.0,axon-eventsourcing-5.0.0 -> axon-common-5.0.0,axon-eventsourcing-5.0.0 -> axon-messaging-5.0.0","",""
"axon-messaging-5.0.0",,,false,,,1,32,9,32,4,4,4,"/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/eventhandling/replay,/org/axonframework/messaging/commandhandling/retry -> /org/axonframework/messaging/core/retry,/org/axonframework/messaging/core/reflection -> /org/axonframework/messaging/core/configuration/reflection,/org/axonframework/messaging/tracing/attributes -> /org/axonframework/messaging/tracing","axon-messaging-5.0.0 -> axon-messaging-5.0.0","",""
"axon-metrics-micrometer-5.0.0",,,false,,,1,32,9,32,1,1,1,"/org/axonframework/extension/metrics/micrometer -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.0.0 -> axon-metrics-micrometer-5.0.0","",""
"axon-metrics-micrometer-5.0.0",,,true,,,1,32,9,32,1,1,1,"/org/axonframework/extension/metrics/micrometer -> /org/axonframework/messaging/eventhandling/processing","axon-metrics-micrometer-5.0.0 -> axon-messaging-5.0.0","",""
"axon-spring-boot-autoconfigure-5.0.0",,,false,,,1,32,9,32,5,1,5,"/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/extension/springboot,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/extension/springboot/service/connection,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/extension/springboot/actuator/axonserver,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/extension/springboot/util","axon-spring-boot-autoconfigure-5.0.0 -> axon-spring-boot-autoconfigure-5.0.0","",""
"axon-spring-boot-autoconfigure-5.0.0",,,false,,,2,26,4,26,1,1,1,"/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/extension/springboot/actuator","axon-spring-boot-autoconfigure-5.0.0 -> axon-spring-boot-autoconfigure-5.0.0","",""
"axon-spring-boot-autoconfigure-5.0.0",,,true,,,1,32,9,32,7,1,7,"/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/conversion/avro,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/conversion/json,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/messaging/commandhandling/distributed,/org/axonframework/extension/springboot/autoconfig -> /org/axonframework/messaging/eventhandling/processing/streaming/token/store/jpa","axon-spring-boot-autoconfigure-5.0.0 -> axon-conversion-5.0.0,axon-spring-boot-autoconfigure-5.0.0 -> axon-messaging-5.0.0,axon-spring-boot-autoconfigure-5.0.0 -> axon-eventsourcing-5.0.0","",""
