"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,"axon-common-5.0.1","org.axonframework.common.property",19,15,""
1,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,"axon-test-5.0.1","org.axonframework.test.server",3,2,""
1,"axon-common-5.0.1","org.axonframework.common.property",19,15,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,""
1,"axon-common-5.0.1","org.axonframework.common.property",19,15,"axon-test-5.0.1","org.axonframework.test.server",3,2,""
1,"axon-test-5.0.1","org.axonframework.test.server",3,2,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,""
1,"axon-test-5.0.1","org.axonframework.test.server",3,2,"axon-common-5.0.1","org.axonframework.common.property",19,15,""
1,"axon-update-5.0.1","org.axonframework.update.api",18,11,"axon-update-5.0.1","org.axonframework.update.configuration",18,19,""
1,"axon-update-5.0.1","org.axonframework.update.configuration",18,19,"axon-update-5.0.1","org.axonframework.update.api",18,11,""
0.8571428571428571,"axon-common-5.0.1","org.axonframework.common.caching",22,43,"axon-common-5.0.1","org.axonframework.common.lock",17,21,""
0.8571428571428571,"axon-common-5.0.1","org.axonframework.common.caching",22,43,"axon-conversion-5.0.1","org.axonframework.conversion",426,21,""
0.8571428571428571,"axon-common-5.0.1","org.axonframework.common.lock",17,21,"axon-common-5.0.1","org.axonframework.common.caching",22,43,""
0.8571428571428571,"axon-conversion-5.0.1","org.axonframework.conversion",426,21,"axon-common-5.0.1","org.axonframework.common.caching",22,43,""
0.8,"axon-common-5.0.1","org.axonframework.common.digest",0,1,"axon-test-5.0.1","org.axonframework.test",7,13,""
0.8,"axon-test-5.0.1","org.axonframework.test",7,13,"axon-common-5.0.1","org.axonframework.common.digest",0,1,""
0.75,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,"axon-common-5.0.1","org.axonframework.common.digest",0,1,""
0.75,"axon-common-5.0.1","org.axonframework.common.digest",0,1,"axon-common-5.0.1","org.axonframework.common.annotation",1842,3,""
0.75,"axon-common-5.0.1","org.axonframework.common.digest",0,1,"axon-test-5.0.1","org.axonframework.test.server",3,2,""
0.75,"axon-common-5.0.1","org.axonframework.common.lock",17,21,"axon-conversion-5.0.1","org.axonframework.conversion",426,21,""
