"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_type.cypher"
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","AxonServerAutoConfiguration",15,31,11,15,"org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.context,org.springframework.boot.context.properties,org.springframework.lang,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,io.axoniq.framework.messaging.commandhandling.distributed,io.axoniq.framework.messaging.queryhandling.distributed,org.springframework.beans","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.springframework.context.ApplicationContextAware,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.context.ApplicationContext,org.springframework.lang.Nullable,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.framework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration,io.axoniq.framework.messaging.queryhandling.distributed.DistributedQueryBusConfiguration,org.springframework.beans.BeansException","autoconfig","io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","JpaDeadLetterQueueAutoConfiguration",11,20,8,11,"org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,jakarta.persistence,io.axoniq.framework.messaging.eventhandling.deadletter,org.axonframework.extension.springboot.util,io.axoniq.framework.messaging.eventhandling.deadletter.jpa,io.axoniq.framework.messaging.deadletter","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.context.annotation.Bean,jakarta.persistence.EntityManagerFactory,io.axoniq.framework.messaging.eventhandling.deadletter.SequencedDeadLetterQueueFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,org.axonframework.extension.springboot.util.RegisterDefaultEntities,io.axoniq.framework.messaging.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder,io.axoniq.framework.messaging.deadletter.SequencedDeadLetterQueue,io.axoniq.framework.messaging.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue","autoconfig","io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.springboot","MicrometerMetricsAutoConfiguration",11,19,7,11,"io.micrometer.core.instrument,io.micrometer.core.instrument.simple,org.springframework.boot.autoconfigure,org.axonframework.extension.springboot.autoconfig,org.springframework.boot.autoconfigure.condition,org.springframework.boot.context.properties,org.springframework.context.annotation","io.micrometer.core.instrument.MeterRegistry,io.micrometer.core.instrument.simple.SimpleMeterRegistry,org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureAfter,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.api","AxonServerConnectionManager$Builder",9,45,6,9,"io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.control,io.grpc,io.axoniq.axonserver.connector.impl,io.grpc.netty.shaded.io.grpc.netty,io.grpc.netty.shaded.io.netty.handler.ssl","io.axoniq.axonserver.connector.AxonServerConnectionFactory$Builder,io.axoniq.axonserver.grpc.control.NodeInfo$Builder,io.grpc.ManagedChannelBuilder,io.axoniq.axonserver.connector.AxonServerConnectionFactory,io.axoniq.axonserver.connector.impl.ServerAddress,io.axoniq.axonserver.grpc.control.NodeInfo,io.grpc.netty.shaded.io.grpc.netty.GrpcSslContexts,io.grpc.netty.shaded.io.netty.handler.ssl.SslContextBuilder,io.grpc.ClientInterceptor","api","io.axoniq.framework.axonserver.connector.api.AxonServerConnectionManager$Builder",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","JdbcDeadLetterQueueAutoConfiguration",10,23,6,10,"org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,io.axoniq.framework.messaging.eventhandling.deadletter,io.axoniq.framework.messaging.deadletter,io.axoniq.framework.messaging.eventhandling.deadletter.jdbc","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.context.annotation.Bean,io.axoniq.framework.messaging.eventhandling.deadletter.SequencedDeadLetterQueueFactory,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,io.axoniq.framework.messaging.deadletter.SequencedDeadLetterQueue,io.axoniq.framework.messaging.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue$Builder,io.axoniq.framework.messaging.eventhandling.deadletter.jdbc.DeadLetterSchema,io.axoniq.framework.messaging.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue","autoconfig","io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.command","AxonServerCommandBusConnector",10,40,5,10,"io.axoniq.axonserver.connector,org.slf4j,io.axoniq.axonserver.grpc.command,io.axoniq.framework.messaging.commandhandling.distributed,io.axoniq.axonserver.connector.command","io.axoniq.axonserver.connector.AxonServerConnection,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.grpc.command.Command,io.axoniq.axonserver.grpc.command.CommandResponse,io.axoniq.framework.messaging.commandhandling.distributed.CommandBusConnector$ResultCallback,io.axoniq.framework.messaging.commandhandling.distributed.CommandBusConnector,io.axoniq.framework.messaging.commandhandling.distributed.CommandBusConnector$Handler,io.axoniq.axonserver.connector.Registration,io.axoniq.axonserver.connector.command.CommandChannel","command","io.axoniq.framework.axonserver.connector.command.AxonServerCommandBusConnector",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","AggregateBasedAxonServerEventStorageEngine",11,55,5,11,"com.google.protobuf,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.event,io.axoniq.axonserver.grpc.event,io.axoniq.axonserver.grpc","com.google.protobuf.ByteString,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.event.AppendEventsTransaction,io.axoniq.axonserver.grpc.event.Event,io.axoniq.axonserver.grpc.MetaDataValue$Builder,io.axoniq.axonserver.grpc.event.Event$Builder,io.axoniq.axonserver.grpc.SerializedObject$Builder,io.axoniq.axonserver.connector.event.EventChannel,io.axoniq.axonserver.grpc.MetaDataValue,io.axoniq.axonserver.connector.event.AggregateEventStream,io.axoniq.axonserver.grpc.SerializedObject","event","io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","EventProcessorControlService",6,23,5,6,"io.axoniq.axonserver.connector,org.slf4j,io.axoniq.axonserver.grpc.control,io.axoniq.axonserver.connector.control,io.axoniq.axonserver.connector.admin","io.axoniq.axonserver.connector.AxonServerConnection,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.grpc.control.EventProcessorInfo,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.axonserver.connector.admin.AdminChannel","event","io.axoniq.framework.axonserver.connector.event.EventProcessorControlService",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.snapshot","AxonServerSnapshotStore",14,54,5,14,"io.axoniq.axonserver.grpc.event.dcb,io.grpc,com.google.protobuf,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb.AddSnapshotRequest$Builder,io.axoniq.axonserver.grpc.event.dcb.Snapshot$Builder,io.axoniq.axonserver.grpc.event.dcb.GetLastSnapshotRequest$Builder,io.grpc.Status$Code,com.google.protobuf.ByteString,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.grpc.event.dcb.AddSnapshotRequest,io.axoniq.axonserver.grpc.event.dcb.Snapshot,io.axoniq.axonserver.grpc.event.dcb.GetLastSnapshotRequest,io.grpc.StatusRuntimeException,io.grpc.Status,io.axoniq.axonserver.grpc.event.dcb.GetLastSnapshotResponse,io.axoniq.axonserver.grpc.event.dcb.AddSnapshotResponse,io.axoniq.axonserver.connector.event.SnapshotChannel","snapshot","io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","PostgresqlAutoConfiguration",6,6,5,6,"org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.context.properties,io.axoniq.framework.postgresql","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,org.springframework.context.annotation.Bean,org.springframework.boot.context.properties.EnableConfigurationProperties,io.axoniq.framework.postgresql.PostgresqlEventStorageEngine","autoconfig","io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration",""
