"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package_with_annotations.cypher"
"axon-test-5.1.1","org.axonframework.test.matchers","org.hamcrest",36,142,24,"Matcher,BaseMatcher,Description,TypeSafeMatcher","matchers",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,12,"Clock,Tag,Gauge,Tags,Gauge$Builder,MeterRegistry,Timer$Builder,Timer,Counter","micrometer",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,15,"TaggedEvent$Builder,Event$Builder,Event,Tag$Builder,Tag,TaggedEvent,AppendEventsResponse,SequencedEvent,StreamEventsResponse,GetTailResponse,GetHeadResponse,GetSequenceAtResponse,SourceEventsResponse,TagsAndNamesCriterion,SourceEventsRequest$Builder,ConsistencyCondition,Criterion$Builder,TagsAndNamesCriterion$Builder,Criterion,ConsistencyCondition$Builder,SourceEventsRequest,StreamEventsRequest,StreamEventsRequest$Builder","event",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",17,95,26,"Logger,LoggerFactory","pooled",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro",16,54,11,"SchemaNormalization,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException,SchemaCompatibility$SchemaCompatibilityResult,InvalidAvroMagicException,AvroRuntimeException,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$Incompatibility,Schema,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility","avro",""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",15,52,13,"EntityExistsException,Column,SequenceGenerator,GenerationType,Lob,Table,Basic,Id,GeneratedValue,Index,Entity,TypedQuery,EntityManager","jpa",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token","com.fasterxml.jackson.annotation",15,27,9,"JsonTypeInfo,JsonGetter,JsonCreator,JsonProperty,JsonTypeInfo$Id,JsonIgnore","token",""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",15,23,9,"ConditionalOnProperty,ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnBean","autoconfig",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,9,"QueryResponse$Builder,QueryResponse,SubscriptionQuery,QueryRequest,QueryUpdate,QueryRequest$Builder,QueryUpdate$Builder","query",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",11,89,5,"TypedQuery,EntityManager,LockModeType,Query,IdClass,Lob,Column,Entity,Id,Basic","jpa",""
