"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_package.cypher"
"axon-test-5.1.1","org.axonframework.test.matchers","org.hamcrest",36,142,24,"Matcher,Description,BaseMatcher,TypeSafeMatcher","matchers",""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",35,134,12,"Tag,Counter,MeterRegistry,Tags,Clock,Timer,Gauge$Builder,Gauge,Timer$Builder","micrometer",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,15,"AppendEventsResponse,Tag,ConsistencyCondition$Builder,Criterion,Criterion$Builder,TagsAndNamesCriterion,SourceEventsRequest$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest$Builder,StreamEventsRequest,Tag$Builder,ConsistencyCondition,SourceEventsRequest,SequencedEvent,SourceEventsResponse,Event$Builder,Event,TaggedEvent$Builder,TaggedEvent,StreamEventsResponse,GetHeadResponse,GetSequenceAtResponse,GetTailResponse","event",""
"axon-messaging-5.1.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",17,95,26,"Logger,LoggerFactory","pooled",""
"axon-conversion-5.1.1","org.axonframework.conversion.avro","org.apache.avro",16,54,11,"SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,AvroRuntimeException,SchemaCompatibility$SchemaCompatibilityResult,SchemaNormalization,Schema,SchemaCompatibility$SchemaPairCompatibility,InvalidAvroMagicException,SchemaCompatibility$Incompatibility,SchemaCompatibility,InvalidNumberEncodingException","avro",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,9,"QueryUpdate,QueryResponse,SubscriptionQuery,QueryRequest,QueryResponse$Builder,QueryRequest$Builder,QueryUpdate$Builder","query",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.util","io.grpc",11,21,12,"ClientCall$Listener,ForwardingClientCallListener$SimpleForwardingClientCallListener,Metadata,ForwardingClientCall$SimpleForwardingClientCall,ClientCall,ClientInterceptor,CallOptions,Channel,MethodDescriptor","util",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.event","org.slf4j",10,44,15,"Logger,LoggerFactory","event",""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector.query","io.axoniq.axonserver.connector",10,36,9,"ResultStream,FlowControl,ReplyChannel,Registration,AxonServerConnection","query",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,16,6,"TextMapSetter,TextMapGetter,TextMapPropagator,ContextPropagators","opentelemetry",""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,47,6,"SpanBuilder,SpanContext,Span,StatusCode,Tracer,SpanKind","opentelemetry",""
"axon-common-5.1.1","org.axonframework.common.caching","org.ehcache.event",8,30,13,"CacheEventListener,EventType,CacheEvent,EventOrdering,EventFiring","caching",""
