"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","externalTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_sorted.cypher"
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.api.trace",9,46,5,16,6,320,"Tracer,SpanKind,Span,SpanBuilder,SpanContext,StatusCode",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.context.propagation",9,15,5,16,6,320,"TextMapSetter,TextMapPropagator,TextMapGetter,ContextPropagators",""
"axon-tracing-opentelemetry-5.0.3","jakarta.annotation",3,8,5,16,6,320,"Nonnull",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.context",2,7,5,16,6,320,"Context,Scope",""
"axon-tracing-opentelemetry-5.0.3","org.slf4j",2,7,5,16,6,320,"LoggerFactory,Logger",""
"axon-tracing-opentelemetry-5.0.3","io.opentelemetry.api",1,2,5,16,6,320,"GlobalOpenTelemetry",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc",40,271,72,113,23,156.94444444444443,"MetaDataValue$Builder,MetaDataValue,MetaDataValue$DataCase,ErrorMessage,SerializedObject,SerializedObject$Builder,ProcessingKey,ProcessingInstruction$Builder,ProcessingInstruction,InstructionAck,InstructionAck$Builder,ErrorMessage$Builder",""
"axon-server-connector-5.0.3","jakarta.annotation",31,181,72,113,23,156.94444444444443,"Nullable,Nonnull",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.event.dcb",28,104,72,113,23,156.94444444444443,"SourceEventsResponse,SequencedEvent,AppendEventsResponse,StreamEventsResponse,Event,Tag$Builder,Tag,TaggedEvent,TaggedEvent$Builder,Event$Builder,GetHeadResponse,GetSequenceAtResponse,GetTailResponse,ConsistencyCondition,Criterion$Builder,TagsAndNamesCriterion$Builder,StreamEventsRequest,TagsAndNamesCriterion,SourceEventsRequest$Builder,Criterion,ConsistencyCondition$Builder,StreamEventsRequest$Builder,SourceEventsRequest",""
"axon-server-connector-5.0.3","io.grpc",23,51,72,113,23,156.94444444444443,"ForwardingClientCallListener$SimpleForwardingClientCallListener,ClientCall$Listener,StatusRuntimeException,Status,Status$Code,MethodDescriptor,CallOptions,Channel,ClientInterceptor,ClientCall,Metadata,ForwardingClientCall$SimpleForwardingClientCall,ManagedChannelBuilder,Metadata$Key,Metadata$AsciiMarshaller",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector",22,123,72,113,23,156.94444444444443,"Registration,AxonServerConnection,ReplyChannel,FlowControl,ResultStream,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder",""
"axon-server-connector-5.0.3","org.slf4j",19,70,72,113,23,156.94444444444443,"Logger,LoggerFactory",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.query",14,98,72,113,23,156.94444444444443,"QueryResponse,QueryResponse$Builder,QueryRequest$Builder,SubscriptionQuery,QueryRequest,QueryUpdate,QueryUpdate$Builder",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.control",13,86,72,113,23,156.94444444444443,"QuerySubscription,TopologyChange,UpdateType,CommandSubscription,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus,EventProcessorInfo,NodeInfo$Builder,NodeInfo",""
"axon-server-connector-5.0.3","com.google.protobuf",8,29,72,113,23,156.94444444444443,"MessageLite,ByteString",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.event",8,38,72,113,23,156.94444444444443,"AppendEventsTransaction,AggregateEventStream,EventChannel,DcbEventChannel$AppendEventsTransaction,DcbEventChannel,EventStream",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.command",8,63,72,113,23,156.94444444444443,"CommandResponse,Command,Command$Builder,CommandResponse$Builder",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.query",6,19,72,113,23,156.94444444444443,"QueryDefinition,SubscriptionQueryResult,QueryChannel,QueryHandler$UpdateHandler,QueryHandler",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.grpc.event",5,31,72,113,23,156.94444444444443,"Confirmation,Event,Event$Builder,EventWithToken",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.control",4,5,72,113,23,156.94444444444443,"ControlChannel,ProcessorInstructionHandler",""
"axon-server-connector-5.0.3","io.grpc.stub",4,11,72,113,23,156.94444444444443,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"axon-server-connector-5.0.3","reactor.core.scheduler",2,2,72,113,23,156.94444444444443,"Schedulers,Scheduler",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.admin",1,3,72,113,23,156.94444444444443,"AdminChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.command",1,3,72,113,23,156.94444444444443,"CommandChannel",""
"axon-server-connector-5.0.3","io.axoniq.axonserver.connector.impl",1,3,72,113,23,156.94444444444443,"ServerAddress",""
"axon-server-connector-5.0.3","io.grpc.netty.shaded.io.grpc.netty",1,1,72,113,23,156.94444444444443,"GrpcSslContexts",""
"axon-server-connector-5.0.3","io.grpc.netty.shaded.io.netty.handler.ssl",1,2,72,113,23,156.94444444444443,"SslContextBuilder",""
"axon-server-connector-5.0.3","javax.annotation",1,1,72,113,23,156.94444444444443,"Nonnull",""
"axon-server-connector-5.0.3","org.springframework.boot.context.properties",1,2,72,113,23,156.94444444444443,"ConfigurationProperties",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure.condition",52,84,75,100,39,133.33333333333331,"ConditionalOnProperty,ConditionalOnMissingBean,ConditionalOnBean,SearchStrategy,AnyNestedCondition,ConditionalOnClass,SpringBootCondition,ConditionOutcome,AllNestedConditions,ConditionalOnExpression",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.context.annotation",40,74,75,100,39,133.33333333333331,"Bean,Conditional,Import,Primary,ImportBeanDefinitionRegistrar,ConfigurationCondition$ConfigurationPhase,ConditionContext,Condition,ConfigurationCondition,Role",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure",33,34,75,100,39,133.33333333333331,"AutoConfiguration,AutoConfigurationPackages,AutoConfigureAfter,AutoConfigureBefore",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.context.properties",20,26,75,100,39,133.33333333333331,"ConfigurationProperties,EnableConfigurationProperties,NestedConfigurationProperty",""
"axon-spring-boot-autoconfigure-5.0.3","jakarta.annotation",15,30,75,100,39,133.33333333333331,"Nonnull,Nullable",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.config",13,42,75,100,39,133.33333333333331,"SpringLifecycleRegistry,SpringComponentRegistry,SpringAxonApplication,EventProcessorSettings$ProcessorMode,EventProcessorSettings$SubscribingEventProcessorSettings,EventProcessorSettings$PooledEventProcessorSettings,EventProcessorSettings,EventProcessorSettings$MapWrapper,EventProcessorDefinition,ProcessorModuleFactory,DefaultProcessorModuleFactory,SpringEventSourcedEntityLookup,MessageHandlerLookup",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.actuate.health",7,24,75,100,39,133.33333333333331,"Status,SimpleStatusAggregator,AbstractHealthIndicator,Health$Builder",""
"axon-spring-boot-autoconfigure-5.0.3","jakarta.persistence",6,13,75,100,39,133.33333333333331,"EntityManager,PersistenceContext,EntityManagerFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.context.properties.bind",5,11,75,100,39,133.33333333333331,"Binder,BindResult,Bindable,DefaultValue,ConstructorBinding",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.context",5,9,75,100,39,133.33333333333331,"ApplicationContext,ApplicationContextAware",""
"axon-spring-boot-autoconfigure-5.0.3","org.apache.avro.message",4,10,75,100,39,133.33333333333331,"SchemaStore,SchemaStore$Cache",""
"axon-spring-boot-autoconfigure-5.0.3","org.slf4j",4,6,75,100,39,133.33333333333331,"LoggerFactory,Logger",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory",4,19,75,100,39,133.33333333333331,"BeanClassLoaderAware,BeanFactoryUtils,NoSuchBeanDefinitionException,BeanFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.testcontainers.service.connection",4,9,75,100,39,133.33333333333331,"ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionDetailsFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.conversion.avro",3,8,75,100,39,133.33333333333331,"ClasspathAvroSchemaLoader,SpecificRecordBaseClasspathAvroSchemaLoader,AvroSchemaPackages",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.autoconfigure.service.connection",3,3,75,100,39,133.33333333333331,"ConnectionDetails",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.annotation",3,3,75,100,39,133.33333333333331,"Order",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.type",3,5,75,100,39,133.33333333333331,"AnnotationMetadata,AnnotatedTypeMetadata",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.transaction",3,5,75,100,39,133.33333333333331,"PlatformTransactionManager",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.databind",3,8,75,100,39,133.33333333333331,"ObjectMapper",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.dataformat.cbor",3,9,75,100,39,133.33333333333331,"CBORMapper,CBORMapper$Builder",""
"axon-spring-boot-autoconfigure-5.0.3","com.fasterxml.jackson.databind",2,8,75,100,39,133.33333333333331,"ObjectMapper",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.config.annotation",2,7,75,100,39,133.33333333333331,"HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.messaging.unitofwork",2,4,75,100,39,133.33333333333331,"SpringTransactionManager",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans",2,2,75,100,39,133.33333333333331,"BeansException",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.docker.compose.core",2,5,75,100,39,133.33333333333331,"RunningService,ConnectionPorts",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.boot.docker.compose.service.connection",2,5,75,100,39,133.33333333333331,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.env",2,2,75,100,39,133.33333333333331,"Environment",""
"axon-spring-boot-autoconfigure-5.0.3","tools.jackson.databind.json",2,5,75,100,39,133.33333333333331,"JsonMapper$Builder,JsonMapper",""
"axon-spring-boot-autoconfigure-5.0.3","io.axoniq.axonserver.connector",1,1,75,100,39,133.33333333333331,"AxonServerConnection",""
"axon-spring-boot-autoconfigure-5.0.3","io.axoniq.axonserver.connector.control",1,1,75,100,39,133.33333333333331,"ControlChannel",""
"axon-spring-boot-autoconfigure-5.0.3","org.apache.avro",1,2,75,100,39,133.33333333333331,"Schema",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring",1,1,75,100,39,133.33333333333331,"SpringUtils",""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.spring.authorization",1,2,75,100,39,133.33333333333331,"SecuredMessageHandlerDefinition",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory.config",1,3,75,100,39,133.33333333333331,"ConfigurableListableBeanFactory",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.beans.factory.support",1,1,75,100,39,133.33333333333331,"BeanDefinitionRegistry",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.core.io",1,1,75,100,39,133.33333333333331,"ResourceLoader",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.lang",1,1,75,100,39,133.33333333333331,"Nullable",""
"axon-spring-boot-autoconfigure-5.0.3","org.springframework.util",1,2,75,100,39,133.33333333333331,"MultiValueMap",""
"axon-metrics-micrometer-5.0.3","io.micrometer.core.instrument",37,141,16,20,7,125,"MeterRegistry,Tag,Tags,Clock,Timer$Builder,Timer,Counter,Gauge,Gauge$Builder",""
"axon-metrics-micrometer-5.0.3","jakarta.annotation",7,11,16,20,7,125,"Nonnull",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.autoconfigure",3,3,16,20,7,125,"AutoConfigureAfter,AutoConfigureBefore,AutoConfiguration",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.autoconfigure.condition",3,6,16,20,7,125,"ConditionalOnMissingBean,ConditionalOnClass,ConditionalOnProperty",""
"axon-metrics-micrometer-5.0.3","io.micrometer.core.instrument.simple",2,4,16,20,7,125,"SimpleMeterRegistry",""
"axon-metrics-micrometer-5.0.3","org.springframework.boot.context.properties",2,2,16,20,7,125,"ConfigurationProperties,EnableConfigurationProperties",""
"axon-metrics-micrometer-5.0.3","org.springframework.context.annotation",1,3,16,20,7,125,"Bean",""
"axon-conversion-5.0.3","jakarta.annotation",54,229,35,40,15,114.28571428571429,"Nullable,Nonnull",""
"axon-conversion-5.0.3","org.apache.avro",16,54,35,40,15,114.28571428571429,"InvalidNumberEncodingException,SchemaCompatibility$SchemaIncompatibilityType,SchemaNormalization,AvroRuntimeException,SchemaCompatibility$SchemaPairCompatibility,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility,SchemaCompatibility$SchemaCompatibilityType,Schema,SchemaCompatibility$Incompatibility",""
"axon-conversion-5.0.3","com.fasterxml.jackson.databind",8,42,35,40,15,114.28571428571429,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.0.3","org.apache.avro.message",8,28,35,40,15,114.28571428571429,"BadHeaderException,SchemaStore,BinaryMessageDecoder,BinaryMessageEncoder",""
"axon-conversion-5.0.3","org.slf4j",8,39,35,40,15,114.28571428571429,"Logger,LoggerFactory",""
"axon-conversion-5.0.3","tools.jackson.databind",8,39,35,40,15,114.28571428571429,"JsonNode,ObjectMapper,JavaType",""
"axon-conversion-5.0.3","org.apache.avro.generic",7,29,35,40,15,114.28571428571429,"GenericRecord,GenericData,GenericDatumReader",""
"axon-conversion-5.0.3","org.apache.avro.specific",4,14,35,40,15,114.28571428571429,"SpecificData,SpecificRecordBase",""
"axon-conversion-5.0.3","com.fasterxml.jackson.databind.node",3,12,35,40,15,114.28571428571429,"JsonNodeType,ObjectNode",""
"axon-conversion-5.0.3","tools.jackson.core",3,6,35,40,15,114.28571428571429,"JacksonException",""
"axon-conversion-5.0.3","tools.jackson.databind.node",3,12,35,40,15,114.28571428571429,"ObjectNode,JsonNodeType",""
"axon-conversion-5.0.3","tools.jackson.databind.json",2,5,35,40,15,114.28571428571429,"JsonMapper,JsonMapper$Builder",""
"axon-conversion-5.0.3","com.fasterxml.jackson.core",1,1,35,40,15,114.28571428571429,"JsonProcessingException",""
"axon-conversion-5.0.3","org.apache.avro.io",1,3,35,40,15,114.28571428571429,"DecoderFactory",""
"axon-conversion-5.0.3","org.apache.commons.lang3.tuple",1,4,35,40,15,114.28571428571429,"Pair",""
"axon-test-5.0.3","org.hamcrest",44,196,78,32,12,41.02564102564103,"Description,CoreMatchers,StringDescription,Matcher,BaseMatcher,TypeSafeMatcher",""
"axon-test-5.0.3","jakarta.annotation",35,234,78,32,12,41.02564102564103,"Nonnull,Nullable",""
"axon-test-5.0.3","org.junit.jupiter.api.extension",8,28,78,32,12,41.02564102564103,"ParameterResolutionException,BeforeEachCallback,AfterEachCallback,ParameterResolver,ExtensionContext$Store,ExtensionContext,ExtensionContext$Namespace,ParameterContext",""
"axon-test-5.0.3","com.google.gson",4,7,78,32,12,41.02564102564103,"JsonElement,JsonParser,JsonArray,JsonObject",""
"axon-test-5.0.3","org.jetbrains.annotations",3,4,78,32,12,41.02564102564103,"NotNull",""
"axon-test-5.0.3","org.slf4j",2,3,78,32,12,41.02564102564103,"LoggerFactory,Logger",""
"axon-test-5.0.3","org.testcontainers.containers",2,7,78,32,12,41.02564102564103,"GenericContainer,ContainerLaunchException",""
"axon-test-5.0.3","org.testcontainers.containers.wait.strategy",2,3,78,32,12,41.02564102564103,"HttpWaitStrategy,Wait",""
"axon-test-5.0.3","org.testcontainers.utility",2,9,78,32,12,41.02564102564103,"DockerImageName,MountableFile",""
"axon-test-5.0.3","org.awaitility",1,1,78,32,12,41.02564102564103,"Awaitility",""
"axon-test-5.0.3","org.awaitility.core",1,2,78,32,12,41.02564102564103,"ConditionFactory",""
"axon-test-5.0.3","org.junit.jupiter.api",1,2,78,32,12,41.02564102564103,"Assertions",""
"axon-eventsourcing-5.0.3","jakarta.annotation",73,301,100,20,6,20,"Nonnull,Nullable",""
"axon-eventsourcing-5.0.3","jakarta.persistence",15,52,100,20,6,20,"EntityManager,TypedQuery,EntityExistsException,GeneratedValue,Column,Index,SequenceGenerator,Id,Lob,Basic,Entity,Table,GenerationType",""
"axon-eventsourcing-5.0.3","org.slf4j",10,30,100,20,6,20,"Logger,LoggerFactory",""
"axon-eventsourcing-5.0.3","IdTypeParameterResolver",1,1,100,20,6,20,"IdTypeParameterResolver",""
"axon-eventsourcing-5.0.3","ScannedEntityCreator",1,4,100,20,6,20,"ScannedEntityCreator",""
"axon-eventsourcing-5.0.3","WrappedEventCriteriaBuilderMethod",1,1,100,20,6,20,"WrappedEventCriteriaBuilderMethod",""
"axon-common-5.0.3","jakarta.annotation",70,377,156,29,11,18.58974358974359,"Nonnull,Nullable",""
"axon-common-5.0.3","org.slf4j",14,49,156,29,11,18.58974358974359,"LoggerFactory,Logger",""
"axon-common-5.0.3","javax.cache.event",8,26,156,29,11,18.58974358974359,"CacheEntryListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryCreatedListener,CacheEntryEventFilter,CacheEntryRemovedListener,CacheEntryExpiredListener,CacheEntryUpdatedListener",""
"axon-common-5.0.3","org.ehcache.event",8,30,156,29,11,18.58974358974359,"EventType,EventFiring,EventOrdering,CacheEventListener,CacheEvent",""
"axon-common-5.0.3","jakarta.persistence",5,11,156,29,11,18.58974358974359,"EntityManager,EntityManagerFactory",""
"axon-common-5.0.3","com.fasterxml.jackson.databind",3,14,156,29,11,18.58974358974359,"JsonNode,SerializationFeature,ObjectMapper",""
"axon-common-5.0.3","javax.cache.configuration",3,9,156,29,11,18.58974358974359,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.0.3","com.fasterxml.jackson.databind.node",2,16,156,29,11,18.58974358974359,"ObjectNode,ArrayNode",""
"axon-common-5.0.3","javax.cache",1,13,156,29,11,18.58974358974359,"Cache",""
"axon-common-5.0.3","org.ehcache.config",1,2,156,29,11,18.58974358974359,"CacheRuntimeConfiguration",""
"axon-common-5.0.3","org.ehcache.core",1,13,156,29,11,18.58974358974359,"Ehcache",""
"axon-update-5.0.3","jakarta.annotation",14,85,23,4,2,17.391304347826086,"Nullable,Nonnull",""
"axon-update-5.0.3","org.slf4j",14,44,23,4,2,17.391304347826086,"LoggerFactory,Logger",""
"axon-messaging-5.0.3","jakarta.annotation",512,2949,579,35,9,6.0449050086355784,"Nonnull,Nullable",""
"axon-messaging-5.0.3","org.slf4j",56,204,579,35,9,6.0449050086355784,"Logger,LoggerFactory",""
"axon-messaging-5.0.3","com.fasterxml.jackson.annotation",19,33,579,35,9,6.0449050086355784,"JsonCreator,JsonProperty,JsonGetter,JsonTypeInfo,JsonTypeInfo$Id,JsonIgnore",""
