"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_package_usage_per_artifact_and_external_package.cypher"
"axon-conversion-5.0.3",5,35,15,5,100,"jakarta.annotation",5,30,100,85.71428571428572,"org.axonframework.conversion,org.axonframework.conversion.jackson,org.axonframework.conversion.converter,org.axonframework.conversion.jackson2,org.axonframework.conversion.avro","org.axonframework.conversion.Converter,org.axonframework.conversion.ConversionException,org.axonframework.conversion.ContentTypeConverter,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.PassThroughConverter,org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.slf4j",4,4,80,11.428571428571429,"org.axonframework.conversion,org.axonframework.conversion.jackson,org.axonframework.conversion.jackson2,org.axonframework.conversion.avro","org.axonframework.conversion.ChainingContentTypeConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.jackson2.Jackson2Converter,org.axonframework.conversion.avro.AvroConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"com.fasterxml.jackson.core",1,1,20,2.857142857142857,"org.axonframework.conversion.jackson2","org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"com.fasterxml.jackson.databind",1,5,20,14.285714285714286,"org.axonframework.conversion.jackson2","org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.Jackson2Converter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson2.JsonNodeToByteArrayConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"com.fasterxml.jackson.databind.node",1,2,20,5.714285714285714,"org.axonframework.conversion.jackson2","org.axonframework.conversion.jackson2.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.avro",1,4,20,11.428571428571429,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.SchemaIncompatibilityChecker,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.avro.generic",1,6,20,17.142857142857142,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.AvroConverterStrategy",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.avro.io",1,1,20,2.857142857142857,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.avro.message",1,6,20,17.142857142857142,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter,org.axonframework.conversion.avro.AvroConverterConfiguration,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.avro.specific",1,2,20,5.714285714285714,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.AvroUtil,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy",""
"axon-conversion-5.0.3",5,35,15,5,100,"org.apache.commons.lang3.tuple",1,1,20,2.857142857142857,"org.axonframework.conversion.avro","org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker",""
"axon-conversion-5.0.3",5,35,15,5,100,"tools.jackson.core",1,3,20,8.571428571428571,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"tools.jackson.databind",1,5,20,14.285714285714286,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.JacksonConverter,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"tools.jackson.databind.json",1,1,20,2.857142857142857,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.JacksonConverter",""
"axon-conversion-5.0.3",5,35,15,5,100,"tools.jackson.databind.node",1,2,20,5.714285714285714,"org.axonframework.conversion.jackson","org.axonframework.conversion.jackson.JsonNodeToObjectNodeConverter,org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"jakarta.annotation",7,60,100,60,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.configuration","org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.annotation.EventSourcedEntityFactoryDefinition,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition,org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver,org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory$IdTypeParameterResolver,org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactoryDefinition",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"org.slf4j",2,6,28.571428571428573,6,"org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$1,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.GapAwareTrackingTokenOperations,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"IdTypeParameterResolver",1,1,14.285714285714286,1,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"ScannedEntityCreator",1,1,14.285714285714286,1,"org.axonframework.eventsourcing.annotation.reflection","org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactory",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"WrappedEventCriteriaBuilderMethod",1,1,14.285714285714286,1,"org.axonframework.eventsourcing.annotation","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver",""
"axon-eventsourcing-5.0.3",7,100,6,7,100,"jakarta.persistence",1,4,14.285714285714286,4,"org.axonframework.eventsourcing.eventstore.jpa","org.axonframework.eventsourcing.eventstore.jpa.AggregateEventEntry,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"io.micrometer.core.instrument",3,13,100,81.25,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.springboot,org.axonframework.extension.metrics.micrometer.reservoir","org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.CapacityMonitor",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"io.micrometer.core.instrument.simple",2,2,66.66666666666667,12.5,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"jakarta.annotation",2,7,66.66666666666667,43.75,"org.axonframework.extension.metrics.micrometer,org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration$1",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"org.springframework.boot.autoconfigure",1,1,33.333333333333336,6.25,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"org.springframework.boot.autoconfigure.condition",1,1,33.333333333333336,6.25,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"org.springframework.boot.context.properties",1,2,33.333333333333336,12.5,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-metrics-micrometer-5.0.3",3,16,7,3,100,"org.springframework.context.annotation",1,1,33.333333333333336,6.25,"org.axonframework.extension.metrics.micrometer.springboot","org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration",""
"axon-modelling-5.0.3",7,92,2,7,100,"jakarta.annotation",7,76,100,82.6086956521739,"org.axonframework.modelling,org.axonframework.modelling.annotation,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.entity.child,org.axonframework.modelling.configuration,org.axonframework.modelling.repository","org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.EntityEvolvingComponent,org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.PayloadBasedEntityEvolver,org.axonframework.modelling.SimpleStateManager,org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.modelling.StateManager,org.axonframework.modelling.PropertyBasedEntityIdResolver,org.axonframework.modelling.HierarchicalStateManagerConfigurationEnhancer",""
"axon-modelling-5.0.3",7,92,2,7,100,"org.slf4j",2,2,28.571428571428573,2.1739130434782608,"org.axonframework.modelling,org.axonframework.modelling.entity.annotation","org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",""
"axon-server-connector-5.0.3",5,72,23,5,100,"io.axoniq.axonserver.grpc",5,18,100,25,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event,org.axonframework.axonserver.connector.command","org.axonframework.axonserver.connector.AxonServerException,org.axonframework.axonserver.connector.MetadataConverter$1,org.axonframework.axonserver.connector.ErrorCode,org.axonframework.axonserver.connector.InstructionAckSource,org.axonframework.axonserver.connector.ErrorCode$ExceptionBuilder,org.axonframework.axonserver.connector.MetadataConverter,org.axonframework.axonserver.connector.DefaultInstructionAckSource,org.axonframework.axonserver.connector.util.ProcessingInstructionUtils,org.axonframework.axonserver.connector.util.ExceptionConverter",""
