"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel",17,58,1,23,4,2300,"ParseResult,AssignmentExpression.left,Expression.type,ExportNamedDeclaration.declaration,ExportDefaultDeclaration.declaration,ExportSpecifier.exported,ExportSpecifier.local,ExportNamedDeclaration.specifiers,ClassDeclaration.id,ExportDeclaration.type,LVal.type,VariableDeclaration.declarations,MemberExpression.object,FunctionDeclaration.id,Identifier.name,ExpressionStatement.expression,VariableDeclarator.id",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.node,NodePath.parentPath,NodePath.remove",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"vite","no namespace",124,240,6,129,25,2150,"UserConfig.logLevel,ResolvedConfig.command,ResolvedId.id,Dirent.parentPath,PreviewServer,readFile,ManifestChunk.css,init,ResolvedConfig,rmSync,readdirSync,UserConfig.plugins,ViteDevServer.ssrLoadModule,Environment.config,PreviewServer.middlewares,ManifestChunk.assets,ViteDevServer.config,existsSync,UserConfig.server,HotBroadcaster.send,cp,UserConfig.build,ResolvedServerOptions.watch,ViteBuilder.build,PluginContext.resolve,ResolvedConfig.mode,loadConfigFromFile,ModuleRunner.import,ViteDevServer,ViteBuilder.environments,RunnableDevEnvironment.runner,EnvironmentOptions.resolve,EnvironmentOptions.optimizeDeps,rm,Dirent.path,ConfigEnv.mode,Environment.name,DevEnvironment.name,PluginContainer.buildStart,DevEnvironment.moduleGraph,Connect.Server.use,ServerResponse.end,ResolvedConfig.configFile,ViteDevServer.transformRequest,ServerResponse.setHeader,Hash.update,Dirent.isFile,HotUpdatePluginContext.environment,Connect.IncomingMessage.url,ConfigEnv.isSsrBuild,createServer,UserConfig.root,Logger.warn,defaultClientConditions,Dirent.name,Plugin,ViteDevServer.ssrFixStacktrace,normalizePath,ModuleNode.url,ResolvedConfig.logger,isRunnableDevEnvironment,ManifestChunk.file,Hash.digest,ConfigEnv.command,DevEnvironment.reloadModule,ResolvedBuildOptions.assetsDir,Logger.error,PluginContext.environment,mkdir,ResolvedConfig.server,createLogger,ResolvedConfig.build,EnvironmentOptions,ResolvedServerOptions.middlewareMode,ViteDevServer.pluginContainer,UserConfig.base,.pathToFileURL,UserConfig.environments,readdir,rename,Logger.info,Plugin.name,ModuleNode.file,createHash,ViteDevServer.environments,ViteDevServer.hot,ResolvedConfig.root,ViteDevServer.middlewares,picocolors,URL.href,join,ServerResponse.statusCode,relative,ResolvedConfig.environments,path.extname,ResolvedConfig.base,path.normalize,resolve,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,PluginOption,transformWithEsbuild,dist,path.join,ESBuildOptions,version,node",""
"vite","@types",22,51,6,129,25,2150,"GeneratorResult,jsesc,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,path.PlatformPath.resolve,path.PlatformPath.dirname,global.NonSharedBuffer.toString,global.NodeJS.Process.env,global.NodeJS.Process.exit,pick,BabelFileResult.map,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,path.PlatformPath.posix,path.PlatformPath.basename,GeneratorResult.code,global.NodeJS.Process.cwd,global.NodeJS.Require.resolve,transformAsync,path.PlatformPath.join,BabelFileResult.code,path.PlatformPath.relative",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.isExpression,NodePath.node,Scope.generateUidIdentifier,NodePath.isFunctionDeclaration,NodePath.scope,NodePath.get,NodePath.isVariableDeclaration,NodePath.isIdentifier,NodePath.isExportDefaultDeclaration,NodePath.replaceWith,NodePath.isExportNamedDeclaration",""
"with-props","@babel",10,14,1,21,4,2100,"identifier,variableDeclarator,ParseResult,stringLiteral,ParseResult.program,importDeclaration,variableDeclaration,Program.body,callExpression,importSpecifier",""
"cloudflare","no namespace",14,20,1,15,4,1500,"ConfigEnv.mode,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use,ResolvedServerOptions.middlewareMode,EnvironmentResolveOptions.externalConditions,Plugin,Plugin.name,GetPlatformProxyOptions,ResolvedConfig.server,ResolvedConfig.plugins,UserConfig.root,ViteDevServer.ssrLoadModule,ViteDevServer.middlewares",""
"cloudflare","@types",1,1,1,15,4,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,4,1500,"ConfigEnv.mode,EnvironmentOptions.resolve,ViteDevServer.config,Connect.Server.use,ResolvedServerOptions.middlewareMode,EnvironmentResolveOptions.externalConditions,Plugin,Plugin.name,GetPlatformProxyOptions,ResolvedConfig.server,ResolvedConfig.plugins,UserConfig.root,ViteDevServer.ssrLoadModule,ViteDevServer.middlewares",""
