"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_module_usage_spread_for_Typescript.cypher"
"node",20,231,1,76,3,11.55,21.91004335915381,33,1,8,1,1.65,1.7554426642213128,0.15408320493066255,1.2326656394453004,0.15408320493066255,0.2542372881355932,0.2704842317752408,"vite,plugin,commands,config",""
"@types/process",17,42,1,5,2,2.4705882352941178,1.5458673560021057,24,1,4,1,1.411764705882353,0.7952062255644572,0.15408320493066255,0.6163328197226502,0.15408320493066255,0.21752923049034714,0.12252792381578695,"dev,create-react-router,loading-indicator,prompts-prompt-base",""
"dist",15,80,1,26,4,5.333333333333334,6.309478885734052,31,1,5,1,2.0666666666666664,1.4375905768565218,0.15408320493066255,0.7704160246533127,0.15408320493066255,0.3184386235233693,0.22150856346017284,"react-router,cookies,sessions,routes",""
"@types/path",13,41,1,7,2,3.1538461538461537,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.15408320493066255,0.7704160246533127,0.15408320493066255,0.26075619295958274,0.18214667626301626,"normalizeSlashes,flatRoutes,react-router-fs-routes,utils",""
"node:fs",10,21,1,4,2,2.1,0.9944289260117533,14,1,3,1,1.4,0.8432740427115678,0.15408320493066255,0.4622496147919877,0.15408320493066255,0.21571648690292755,0.1299343671358348,"flatRoutes,react-router-fs-routes,utils,vite",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.15408320493066255,0.4622496147919877,0.15408320493066255,0.22256462934429033,0.11193885319827102,"utils,vite,plugin,commands",""
"promises",8,31,2,7,3.5,3.875,2.1001700611413083,16,1,4,1.5,2,1.3093073414159542,0.15408320493066255,0.6163328197226502,0.23112480739599384,0.3081664098613251,0.20174227140461545,"utils,vite,plugin,commands",""
"@types/module",7,7,1,1,1,1,0,9,1,2,1,1.2857142857142856,0.4879500364742666,0.15408320493066255,0.3081664098613251,0.15408320493066255,0.19810697776799469,0.07518490546598869,"vite,plugin,commands,run",""
"@types/babel__generator",6,10,1,2,2,1.6666666666666667,0.5163977794943222,9,1,3,1,1.5,0.8366600265340756,0.15408320493066255,0.4622496147919877,0.15408320493066255,0.23112480739599384,0.12891525832574355,"vite,plugin,generate,babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.15408320493066255,0.3081664098613251,0.15408320493066255,0.17976373908577298,0.06290420500213606,"vite,plugin,server,react-router-node",""
