"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_overall_for_Typescript.cypher"
"no namespace",53,97,595,1390,140,649,"<Cookie> of module <react-router> imports <SerializeOptions> from external namespace <>,<Cookie> of module <react-router> imports <ParseOptions> from external namespace <>,<Cookie> of module <cookies> imports <SerializeOptions> from external namespace <>,<Cookie> of module <cookies> imports <ParseOptions> from external namespace <>",""
"@types",51,94,351,827,140,649,"<AwaitContextProvider> of module <react-router> imports <React.createElement> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.ProviderProps> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.FunctionComponentElement> from external namespace <@types>,<AwaitContextProvider> of module <react-router> imports <React.Context.Provider> from external namespace <@types>",""
"@babel",5,7,68,148,140,649,"<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<transpile> of module <useJavascript> imports <lib> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <ParseResult> from external namespace <@babel>,<removeExports> of module <remove-exports> imports <AssignmentExpression.left> from external namespace <@babel>",""
"@cloudflare",3,5,52,68,140,649,"<RequestHandler> of module <react-router-cloudflare> imports <EventContext> from external namespace <@cloudflare>,<RequestHandler> of module <react-router-cloudflare> imports <Response> from external namespace <@cloudflare>,<RequestHandler> of module <worker> imports <EventContext> from external namespace <@cloudflare>,<RequestHandler> of module <worker> imports <Response> from external namespace <@cloudflare>",""
"@architect",2,1,10,14,140,649,"<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.put> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <tables> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <ArcTable.get> from external namespace <@architect>,<createArcTableSessionStorage> of module <arcTableSessionStorage> imports <functions> from external namespace <@architect>",""
"@mjackson",2,2,4,4,140,649,"<RequestListenerOptions> of module <server> imports <ClientAddress> from external namespace <@mjackson>,<RequestListenerOptions> of module <react-router-node> imports <ClientAddress> from external namespace <@mjackson>,<createRequestListener> of module <server> imports <createRequestListener> from external namespace <@mjackson>,<createRequestListener> of module <react-router-node> imports <createRequestListener> from external namespace <@mjackson>",""
