"internalModuleName","externalModuleName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_module_usage_per_internal_module_sorted_for_Typescript.cypher"
"remove-exports","@babel/lib",16,56,1,23,4,2300,"AssignmentExpression.left,Expression.type,ExportNamedDeclaration.declaration,ExportDefaultDeclaration.declaration,ExportSpecifier.exported,ExportSpecifier.local,ExportNamedDeclaration.specifiers,ClassDeclaration.id,ExportDeclaration.type,LVal.type,VariableDeclaration.declarations,MemberExpression.object,FunctionDeclaration.id,Identifier.name,ExpressionStatement.expression,VariableDeclarator.id",""
"remove-exports","@types/babel__traverse",4,24,1,23,4,2300,"NodePath.isProgram,NodePath.node,NodePath.parentPath,NodePath.remove",""
"remove-exports","dist",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"remove-exports","@babel/babel-parser",1,2,1,23,4,2300,"ParseResult",""
"vite","node",84,148,6,129,25,2150,"UserConfig.logLevel,ResolvedConfig.command,PreviewServer,ManifestChunk.css,ResolvedConfig,UserConfig.plugins,ViteDevServer.ssrLoadModule,Environment.config,PreviewServer.middlewares,ManifestChunk.assets,ViteDevServer.config,UserConfig.server,HotBroadcaster.send,UserConfig.build,ResolvedServerOptions.watch,ViteBuilder.build,ResolvedConfig.mode,loadConfigFromFile,ViteDevServer,ViteBuilder.environments,RunnableDevEnvironment.runner,EnvironmentOptions.resolve,EnvironmentOptions.optimizeDeps,ConfigEnv.mode,Environment.name,DevEnvironment.name,PluginContainer.buildStart,DevEnvironment.moduleGraph,Connect.Server.use,ResolvedConfig.configFile,ViteDevServer.transformRequest,HotUpdatePluginContext.environment,Connect.IncomingMessage.url,ConfigEnv.isSsrBuild,createServer,UserConfig.root,Logger.warn,defaultClientConditions,Plugin,ViteDevServer.ssrFixStacktrace,normalizePath,ModuleNode.url,ResolvedConfig.logger,isRunnableDevEnvironment,ManifestChunk.file,ConfigEnv.command,DevEnvironment.reloadModule,ResolvedBuildOptions.assetsDir,Logger.error,ResolvedConfig.server,createLogger,ResolvedConfig.build,EnvironmentOptions,ResolvedServerOptions.middlewareMode,ViteDevServer.pluginContainer,UserConfig.base,UserConfig.environments,Logger.info,Plugin.name,ModuleNode.file,ViteDevServer.environments,ViteDevServer.hot,ResolvedConfig.root,ViteDevServer.middlewares,ResolvedConfig.environments,ResolvedConfig.base,ResolvedBuildEnvironmentOptions.outDir,ResolvedEnvironmentOptions.build,PluginOption,transformWithEsbuild,ESBuildOptions,version,node",""
"vite","@types/process",7,15,6,129,25,2150,"global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,global.NodeJS.Process.env,global.NodeJS.Process.exit,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.cwd",""
"vite","dist",7,23,6,129,25,2150,"join,relative,path.extname,path.normalize,resolve,dist,path.join",""
"vite","promises",7,14,6,129,25,2150,"readFile,cp,rm,mkdir,readdir,rename",""
"vite","@types/path",6,25,6,129,25,2150,"path.PlatformPath.resolve,path.PlatformPath.dirname,path.PlatformPath.posix,path.PlatformPath.basename,path.PlatformPath.join,path.PlatformPath.relative",""
"vite","fs",5,10,6,129,25,2150,"Dirent.parentPath,Dirent.path,Dirent.isFile,Dirent.name,existsSync",""
"vite","http",5,8,6,129,25,2150,"ServerResponse.end,ServerResponse.setHeader,ServerResponse.statusCode",""
