"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2719,1080,1216,"/org/axonframework/springboot/autoconfig uses /org/axonframework/springboot/util,/org/axonframework/springboot/DistributedCommandBusProperties$JGroupsProperties$Gossip.class uses /org/axonframework/springboot/DistributedCommandBusProperties$JGroupsProperties.class,/org/axonframework/springboot/DistributedCommandBusProperties.class uses /org/axonframework/springboot/DistributedCommandBusProperties$JGroupsProperties.class,/org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory.class uses /org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails.class",""
1,95,85,41,"/org/axonframework/actuator/axonserver uses /org/axonframework/actuator,/org/axonframework/springboot/autoconfig uses /org/axonframework/springboot,/org/axonframework/springboot/util uses /org/axonframework/springboot,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot/autoconfig",""
2,2583,786,487,"/org/axonframework/springboot/autoconfig uses /org/axonframework/actuator/axonserver,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot,/org/axonframework/springboot/autoconfig uses /org/axonframework/springboot/service/connection,/org/axonframework/springboot/autoconfig/legacyjpa uses /org/axonframework/springboot/util",""
4,2655,460,562,"/org/axonframework/springboot/service/connection uses /org/axonframework/test/server,/org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/config/Configuration.class uses /org/axonframework/eventsourcing/Snapshotter.class",""
