"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityStronglyConnectedComponentId",0,1,"react-router-7.18.1/cli","cli",""
"communityStronglyConnectedComponentId",1,1,"react-router-7.18.1/cli","cli",""
"communityStronglyConnectedComponentId",2,1,"react-router-7.18.1/copy-template","copy-template",""
"communityStronglyConnectedComponentId",3,1,"react-router-7.18.1/create-react-router","create-react-router",""
"communityStronglyConnectedComponentId",4,1,"react-router-7.18.1/loading-indicator","loading-indicator",""
"communityStronglyConnectedComponentId",5,1,"react-router-7.18.1/prompt","prompt",""
"communityStronglyConnectedComponentId",6,1,"react-router-7.18.1/prompts-confirm","prompts-confirm",""
"communityStronglyConnectedComponentId",7,1,"react-router-7.18.1/prompts-multi-select","prompts-multi-select",""
"communityStronglyConnectedComponentId",8,1,"react-router-7.18.1/prompts-prompt-base","prompts-prompt-base",""
"communityStronglyConnectedComponentId",9,1,"react-router-7.18.1/prompts-select","prompts-select",""
"communityStronglyConnectedComponentId",10,1,"react-router-7.18.1/prompts-text","prompts-text",""
"communityStronglyConnectedComponentId",11,1,"react-router-7.18.1/utils","utils",""
"communityStronglyConnectedComponentId",12,1,"react-router-7.18.1/flatRoutes","flatRoutes",""
"communityStronglyConnectedComponentId",13,1,"react-router-7.18.1/react-router-fs-routes","react-router-fs-routes",""
"communityStronglyConnectedComponentId",14,1,"react-router-7.18.1/manifest","manifest",""
"communityStronglyConnectedComponentId",15,1,"react-router-7.18.1/normalizeSlashes","normalizeSlashes",""
"communityStronglyConnectedComponentId",16,1,"react-router-7.18.1/config","config",""
"communityStronglyConnectedComponentId",17,1,"react-router-7.18.1/manifest","manifest",""
"communityStronglyConnectedComponentId",18,1,"react-router-7.18.1/routes","routes",""
"communityStronglyConnectedComponentId",19,1,"react-router-7.18.1/commands","commands",""
"communityStronglyConnectedComponentId",20,1,"react-router-7.18.1/detectPackageManager","detectPackageManager",""
"communityStronglyConnectedComponentId",21,1,"react-router-7.18.1/run","run",""
"communityStronglyConnectedComponentId",22,1,"react-router-7.18.1/useJavascript","useJavascript",""
"communityStronglyConnectedComponentId",23,1,"react-router-7.18.1/format","format",""
"communityStronglyConnectedComponentId",24,1,"react-router-7.18.1/is-react-router-repo","is-react-router-repo",""
"communityStronglyConnectedComponentId",25,1,"react-router-7.18.1/context","context",""
"communityStronglyConnectedComponentId",26,1,"react-router-7.18.1/generate","generate",""
"communityStronglyConnectedComponentId",27,1,"react-router-7.18.1/typegen","typegen",""
"communityStronglyConnectedComponentId",28,1,"react-router-7.18.1/params","params",""
"communityStronglyConnectedComponentId",29,1,"react-router-7.18.1/route","route",""
"communityStronglyConnectedComponentId",30,1,"react-router-7.18.1/babel","babel",""
"communityStronglyConnectedComponentId",31,1,"react-router-7.18.1/build","build",""
"communityStronglyConnectedComponentId",32,1,"react-router-7.18.1/cache","cache",""
"communityStronglyConnectedComponentId",33,1,"react-router-7.18.1/cloudflare-dev-proxy","cloudflare-dev-proxy",""
"communityStronglyConnectedComponentId",34,1,"react-router-7.18.1/combine-urls","combine-urls",""
"communityStronglyConnectedComponentId",35,1,"react-router-7.18.1/dev","dev",""
"communityStronglyConnectedComponentId",36,1,"react-router-7.18.1/has-dependency","has-dependency",""
"communityStronglyConnectedComponentId",37,1,"react-router-7.18.1/has-rsc-plugin","has-rsc-plugin",""
"communityStronglyConnectedComponentId",38,1,"react-router-7.18.1/load-dotenv","load-dotenv",""
"communityStronglyConnectedComponentId",39,1,"react-router-7.18.1/node-adapter","node-adapter",""
"communityStronglyConnectedComponentId",40,1,"react-router-7.18.1/optimize-deps-entries","optimize-deps-entries",""
"communityStronglyConnectedComponentId",41,2,"react-router-7.18.1/plugin,react-router-7.18.1/styles","plugin,styles",""
"communityStronglyConnectedComponentId",42,1,"react-router-7.18.1/profiler","profiler",""
"communityStronglyConnectedComponentId",43,1,"react-router-7.18.1/remove-exports","remove-exports",""
"communityStronglyConnectedComponentId",44,1,"react-router-7.18.1/resolve-file-url","resolve-file-url",""
"communityStronglyConnectedComponentId",45,1,"react-router-7.18.1/resolve-relative-route-file-path","resolve-relative-route-file-path",""
"communityStronglyConnectedComponentId",46,1,"react-router-7.18.1/route-chunks","route-chunks",""
"communityStronglyConnectedComponentId",47,1,"react-router-7.18.1/ssr-externals","ssr-externals",""
"communityStronglyConnectedComponentId",48,1,"react-router-7.18.1/virtual-module","virtual-module",""
"communityStronglyConnectedComponentId",49,1,"react-router-7.18.1/vite-node","vite-node",""
"communityStronglyConnectedComponentId",50,1,"react-router-7.18.1/vite","vite",""
"communityStronglyConnectedComponentId",51,1,"react-router-7.18.1/with-props","with-props",""
"communityStronglyConnectedComponentId",52,1,"react-router-7.18.1/prerender","prerender",""
"communityStronglyConnectedComponentId",53,1,"react-router-7.18.1/validate-plugin-order","validate-plugin-order",""
"communityStronglyConnectedComponentId",54,1,"react-router-7.18.1/warn-on-client-source-maps","warn-on-client-source-maps",""
"communityStronglyConnectedComponentId",55,1,"react-router-7.18.1/plugin","plugin",""
"communityStronglyConnectedComponentId",56,1,"react-router-7.18.1/virtual-route-config","virtual-route-config",""
"communityStronglyConnectedComponentId",57,1,"react-router-7.18.1/virtual-route-modules","virtual-route-modules",""
"communityStronglyConnectedComponentId",58,2,"react-router-7.18.1/react-router-cloudflare,react-router-7.18.1/worker","react-router-cloudflare,worker",""
"communityStronglyConnectedComponentId",59,1,"react-router-7.18.1/workersKVStorage","workersKVStorage",""
"communityStronglyConnectedComponentId",60,2,"react-router-7.18.1/react-router-express,react-router-7.18.1/server","react-router-express,server",""
"communityStronglyConnectedComponentId",61,1,"react-router-7.18.1/defineRoutes","defineRoutes",""
"communityStronglyConnectedComponentId",62,1,"react-router-7.18.1/manifest","manifest",""
"communityStronglyConnectedComponentId",63,1,"react-router-7.18.1/normalizeSlashes","normalizeSlashes",""
"communityStronglyConnectedComponentId",64,30,"react-router-7.18.1/dom-export,react-router-7.18.1/react-router,react-router-7.18.1/context,react-router-7.18.1/errors,react-router-7.18.1/dom,react-router-7.18.1/entry,react-router-7.18.1/fog-of-war,react-router-7.18.1/routeModules,react-router-7.18.1/history,react-router-7.18.1/instrumentation,react-router-7.18.1/links,react-router-7.18.1/router,react-router-7.18.1/utils,react-router-7.18.1/server,react-router-7.18.1/build,react-router-7.18.1/cookies,react-router-7.18.1/data,react-router-7.18.1/headers,react-router-7.18.1/mode,react-router-7.18.1/routeMatching,react-router-7.18.1/routes,react-router-7.18.1/serverHandoff,react-router-7.18.1/sessions,react-router-7.18.1/single-fetch,react-router-7.18.1/urls,react-router-7.18.1/cookieStorage,react-router-7.18.1/memoryStorage,react-router-7.18.1/route-data,react-router-7.18.1/turbo-stream,react-router-7.18.1/unflatten","dom-export,react-router,context,errors,dom,entry,fog-of-war,routeModules,history,instrumentation,links,router,utils,server,build,cookies,data,headers,mode,routeMatching,routes,serverHandoff,sessions,single-fetch,urls,cookieStorage,memoryStorage,route-data,turbo-stream,unflatten",""
"communityStronglyConnectedComponentId",65,1,"react-router-7.18.1/tsup","tsup",""
"communityStronglyConnectedComponentId",66,1,"react-router-7.18.1/tsup","tsup",""
"communityStronglyConnectedComponentId",67,1,"react-router-7.18.1/actions","actions",""
"communityStronglyConnectedComponentId",68,1,"react-router-7.18.1/href","href",""
"communityStronglyConnectedComponentId",69,1,"react-router-7.18.1/links","links",""
"communityStronglyConnectedComponentId",70,1,"react-router-7.18.1/markup","markup",""
"communityStronglyConnectedComponentId",71,1,"react-router-7.18.1/url","url",""
"communityStronglyConnectedComponentId",72,1,"react-router-7.18.1/browser","browser",""
"communityStronglyConnectedComponentId",73,1,"react-router-7.18.1/crypto","crypto",""
"communityStronglyConnectedComponentId",74,1,"react-router-7.18.1/dev","dev",""
"communityStronglyConnectedComponentId",75,1,"react-router-7.18.1/warnings","warnings",""
"communityStronglyConnectedComponentId",76,1,"react-router-7.18.1/future","future",""
"communityStronglyConnectedComponentId",77,1,"react-router-7.18.1/register","register",""
"communityStronglyConnectedComponentId",78,1,"react-router-7.18.1/route-module-annotations","route-module-annotations",""
"communityStronglyConnectedComponentId",79,1,"react-router-7.18.1/route-module","route-module",""
"communityStronglyConnectedComponentId",80,1,"react-router-7.18.1/serializes-to","serializes-to",""
"communityStronglyConnectedComponentId",81,1,"react-router-7.18.1/utils","utils",""
"communityStronglyConnectedComponentId",82,1,"react-router-7.18.1/flatten","flatten",""
"communityStronglyConnectedComponentId",83,1,"react-router-7.18.1/utils","utils",""
"communityStronglyConnectedComponentId",84,1,"react-router-7.18.1/binaryTypes","binaryTypes",""
"communityStronglyConnectedComponentId",85,2,"react-router-7.18.1/react-router-architect,react-router-7.18.1/server","react-router-architect,server",""
"communityStronglyConnectedComponentId",86,1,"react-router-7.18.1/arcTableSessionStorage","arcTableSessionStorage",""
"communityStronglyConnectedComponentId",87,1,"react-router-7.18.1/server","server",""
"communityStronglyConnectedComponentId",88,1,"react-router-7.18.1/stream","stream",""
"communityStronglyConnectedComponentId",89,1,"react-router-7.18.1/fileStorage","fileStorage",""
