"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,28,"./lib/errors.ts,./lib/dom/dom.ts,./lib/router/url.ts,./lib/server-runtime/dev.ts,./lib/server-runtime/mode.ts,./lib/server-runtime/routeMatching.ts,./lib/server-runtime/warnings.ts,./lib/server-runtime/sessions/cookieStorage.ts,./lib/server-runtime/sessions/memoryStorage.ts",""
0.87,1,"./lib/server-runtime/errors.ts",""
0.83,3,"./lib/server-runtime/entry.ts,./prompts-multi-select.ts,./prompts-select.ts",""
0.82,1,"./lib/dom/ssr/fog-of-war.ts",""
0.8,2,"./vite/optimize-deps-entries.ts,./vite/resolve-relative-route-file-path.ts",""
0.76,1,"./lib/server-runtime/urls.ts",""
0.71,1,"./lib/router/instrumentation.ts",""
0.7,1,"./lib/context.ts",""
0.68,1,"./lib/server-runtime/headers.ts",""
0.67,17,"./index-react-server-client.ts,./lib/href.ts,./lib/dom/ssr/links.ts,./lib/router/links.ts,./lib/server-runtime/build.ts,./vendor/turbo-stream-v2/utils.ts,./flatRoutes.ts,./index.ts,./prompts-confirm.ts",""
0.6,4,"./lib/server-runtime/data.ts,./lib/server-runtime/sessions.ts,./lib/types/route-data.ts,./vite/build.ts",""
0.51,1,"./lib/server-runtime/routes.ts",""
0.5,5,"./dom-export.ts,./lib/dom/ssr/entry.ts,./index.ts,./prompts-prompt-base.ts,./vite/styles.ts",""
0.49,1,"./lib/router/router.ts",""
0.47,1,"./lib/server-runtime/cookies.ts",""
0.45,1,"./lib/dom/ssr/routeModules.ts",""
0.44,1,"./lib/types/route-module-annotations.ts",""
0.43,2,"./lib/router/history.ts,./lib/server-runtime/single-fetch.ts",""
0.4,2,"./lib/rsc/server.rsc.ts,./prompt.ts",""
0.33,6,"./lib/actions.ts,./lib/server-runtime/serverHandoff.ts,./lib/types/route-module.ts,./vendor/turbo-stream-v2/turbo-stream.ts,./vendor/turbo-stream-v2/unflatten.ts,./utils.ts",""
0.32,1,"./lib/router/utils.ts",""
0.31,1,"./index-react-server.ts",""
0.3,2,"./lib/server-runtime/server.ts,./vite/rsc/virtual-route-modules.ts",""
0.29,1,"./vite/babel.ts",""
0.22,1,"./config/routes.ts",""
0.2,1,"./typegen/index.ts",""
0.19,1,"./typegen/generate.ts",""
0.18,2,"./vite/vite.ts,./vite/rsc/plugin.ts",""
0.17,1,"./index.ts",""
0.15,1,"./config/config.ts",""
0.13,1,"./cli/commands.ts",""
0.09,1,"./vite/plugin.ts",""
0,30,"./tsup.config.rsc.ts,./tsup.config.ts,./lib/dom/ssr/markup.ts,./lib/rsc/html-stream/browser.ts,./lib/server-runtime/crypto.ts,./lib/types/serializes-to.ts,./lib/types/utils.ts,./defineRoutes.ts,./manifest.ts",""
